unix_seconds,pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789326074.3178487,367187,0.0,0.859375,1,0,0,0,0
1789326075.3182607,367187,99.0,1120.15234375,66,0,4096,30,4
1789326076.3186493,367187,99.0,1614.8984375,66,0,4096,71,6
1789326077.319057,367187,124.9,1789.453125,70,0,4096,97,7
1789326078.3193977,367187,116.0,1834.4921875,70,0,4096,101,7
1789326079.3198469,367187,115.9,1920.65234375,70,0,8192,169,11
1789326080.3203077,367187,122.9,1959.71484375,70,0,8192,175,11
1789326081.3207734,367187,99.0,1999.99609375,72,0,8192,177,11
1789326082.321153,367187,99.0,2050.48046875,72,0,8192,177,11
1789326083.3215342,367187,152.9,2177.48046875,72,0,8192,177,11
1789326084.3219907,367187,186.9,2197.09765625,73,0,8192,177,11
1789326085.3223627,367187,120.0,2197.1171875,73,0,8192,177,11
1789326086.3227909,367187,124.9,2197.91015625,73,0,8192,177,11
1789326087.3231254,367187,124.0,2198.34375,73,0,8192,177,11
1789326088.323554,367187,122.9,2233.2890625,73,0,8192,177,11
1789326089.3239207,367187,141.9,2236.0625,74,0,8192,177,11
1789326090.3243883,367187,162.9,2274.0546875,75,0,8192,177,11
1789326091.3249307,367187,159.9,2274.9375,75,0,8192,177,11
1789326092.3253908,367187,125.9,2277.39453125,75,0,8192,177,11
1789326093.3258195,367187,188.9,2300.91796875,75,0,8192,177,11
1789326094.3261702,367187,149.9,2301.0234375,75,0,8192,177,11
1789326095.3266227,367187,136.9,2307.77734375,75,0,8192,177,11
1789326096.3272212,367187,143.9,2308.10546875,76,0,8192,177,11
1789326097.3276532,367187,144.9,2309.34375,76,0,8192,177,11
1789326098.3281367,367187,180.9,2361.85546875,76,0,8192,177,11
1789326099.328596,367187,185.9,2362.08203125,76,0,8192,177,11
1789326100.3290145,367187,130.9,2363.9140625,76,0,8192,177,11
1789326101.329373,367187,248.9,2369.484375,76,0,8192,177,11
1789326102.3298042,367187,287.9,2370.33984375,76,0,8192,177,11
1789326103.3301816,367187,280.9,2371.734375,76,0,8192,177,11
1789326104.3305774,367187,320.9,2461.07421875,75,0,8192,177,11
1789326105.3310165,367187,141.9,2488.85546875,75,0,8192,177,11
1789326106.3314087,367187,114.0,2495.84765625,75,0,8192,177,11
1789326107.3318574,367187,141.9,2455.328125,75,0,122695680,177,11
1789326108.332391,367187,141.9,2483.94921875,76,0,122880000,178,11
1789326109.33287,367187,172.9,2488.83203125,76,0,122880000,178,11
1789326110.3332295,367187,161.9,2499.46484375,76,0,122880000,178,11
1789326111.3336737,367187,135.9,2502.67578125,76,0,122880000,178,11
1789326112.3340318,367187,121.0,2503.1796875,76,0,122880000,178,11
1789326113.3343906,367187,114.0,2528.9921875,76,0,122880000,178,11
1789326114.334833,367187,110.0,2529.08984375,76,0,122880000,178,11
1789326115.3352342,367187,125.0,2536.0859375,76,0,122884096,178,11
1789326116.3356936,367187,107.0,2536.0859375,76,0,122884096,178,11
1789326117.336137,367187,190.9,2604.21484375,75,0,122884096,178,11
1789326118.3365817,367187,163.9,2621.0703125,74,0,122884096,178,11
1789326119.3370059,367187,115.0,2621.3125,74,0,122884096,178,11
1789326120.3374271,367187,114.0,2621.515625,74,0,122884096,178,11
1789326121.337804,367187,113.0,2621.76171875,74,0,122884096,178,11
1789326122.3381705,367187,107.0,2621.76171875,74,0,122884096,178,11
1789326123.338644,367187,111.9,2621.78515625,74,0,122884096,178,11
1789326124.3391092,367187,111.9,2621.921875,74,0,122884096,178,11
1789326125.3395324,367187,114.0,2621.921875,74,0,122884096,178,11
1789326126.3399339,367187,109.0,2626.0,74,0,122884096,178,11
1789326127.340305,367187,109.0,2628.0,74,0,122884096,178,11
1789326128.3407147,367187,111.0,2628.0078125,74,0,122884096,178,11
1789326129.3412914,367187,110.9,2633.6328125,74,0,122884096,178,11
1789326130.341792,367187,188.9,2706.546875,75,0,146751488,179,11
1789326131.3421142,367187,122.0,2709.05859375,75,0,146751488,179,11
1789326132.342536,367187,110.0,2709.09765625,75,0,146751488,179,11
1789326133.3428423,367187,108.0,2709.21484375,75,0,146751488,179,11
1789326134.3432515,367187,118.0,2719.78515625,76,0,153534464,180,11
1789326135.3436399,367187,249.9,2868.19140625,75,0,153534464,180,11
1789326136.3439293,367187,128.0,2868.1953125,75,0,153534464,180,11
1789326137.3442593,367187,109.0,2868.1953125,75,0,153534464,180,11
1789326138.3445988,367187,126.0,2868.1953125,75,0,153534464,180,11
1789326139.3450751,367187,108.9,2868.1953125,75,0,153534464,180,11
1789326140.345343,367187,108.0,2868.1953125,75,0,153534464,180,11
1789326141.3456836,367187,113.0,2868.59765625,75,0,153534464,180,11
1789326142.346038,367187,171.9,2882.50390625,75,0,153534464,180,11
1789326143.3463728,367187,141.0,2883.0390625,75,0,153534464,180,11
1789326144.3468227,367187,104.0,2883.0390625,75,0,153534464,180,11
1789326145.3472016,367187,132.0,2883.0390625,75,0,153534464,180,11
1789326146.3475924,367187,119.0,2877.30078125,75,0,153534464,180,11
1789326147.348069,367187,130.9,2877.53515625,74,0,153534464,180,11
1789326148.3484669,367187,241.9,2979.13671875,75,0,165359616,181,11
1789326149.348904,367187,218.9,2995.421875,75,0,165359616,181,11
1789326150.349163,367187,121.0,2996.171875,75,0,165359616,181,11
1789326151.3494203,367187,155.0,2997.10546875,75,0,165363712,181,11
1789326152.3497622,367187,114.0,2997.10546875,75,0,165363712,181,11
1789326153.3499823,367187,117.0,2997.10546875,75,0,165363712,181,11
1789326154.350353,367187,135.9,2997.3203125,74,0,165363712,181,11
1789326155.3507323,367187,120.0,2960.54296875,74,0,165363712,181,11
1789326156.351148,367187,137.9,2960.82421875,74,0,165363712,181,11
1789326157.3514564,367187,116.0,2960.82421875,74,0,165363712,181,11
1789326158.3518841,367187,115.0,2960.82421875,74,0,165363712,181,11
1789326159.3522453,367187,113.0,2960.82421875,74,0,165363712,181,11
1789326160.352554,367187,116.0,2960.82421875,74,0,165363712,181,11
1789326161.3529258,367187,183.9,3004.10546875,75,0,182169600,182,11
1789326162.3532522,367187,191.9,3065.8828125,75,0,182169600,182,11
1789326163.3536339,367187,134.9,3007.15234375,76,0,192860160,183,11
1789326164.3540096,367187,115.0,3007.15234375,76,0,192860160,183,11
1789326165.3544729,367187,118.9,3007.15234375,76,0,192860160,183,11
