timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 03:15:45.320, 1656, 27, 5, 58, 9.47, 360, 6001
2026/09/14 03:15:46.325, 2223, 21, 7, 60, 19.47, 1995, 8001
2026/09/14 03:15:47.325, 3350, 33, 8, 62, 26.19, 2340, 8001
2026/09/14 03:15:48.325, 5374, 100, 78, 66, 35.23, 2190, 8001
2026/09/14 03:15:49.326, 5497, 45, 12, 65, 45.03, 2580, 8001
2026/09/14 03:15:50.326, 5479, 100, 82, 68, 43.33, 2100, 8001
2026/09/14 03:15:51.326, 5466, 30, 8, 67, 47.91, 2580, 8001
2026/09/14 03:15:52.326, 5393, 7, 4, 63, 28.36, 2580, 8001
2026/09/14 03:15:53.327, 5419, 7, 4, 63, 23.84, 1890, 8001
2026/09/14 03:15:54.327, 5442, 99, 54, 67, 42.99, 2175, 8001
2026/09/14 03:15:55.327, 5571, 97, 56, 70, 55.32, 2250, 8001
2026/09/14 03:15:56.328, 5561, 21, 6, 66, 41.65, 2580, 8001
2026/09/14 03:15:57.328, 5486, 20, 6, 67, 39.47, 2550, 8001
2026/09/14 03:15:58.328, 5517, 25, 9, 67, 40.24, 2580, 8001
2026/09/14 03:15:59.328, 5513, 100, 61, 70, 45.40, 2115, 8001
2026/09/14 03:16:00.329, 5428, 21, 7, 67, 37.44, 2565, 8001
2026/09/14 03:16:01.329, 5454, 100, 73, 69, 52.40, 2295, 8001
2026/09/14 03:16:02.330, 5457, 31, 11, 71, 51.70, 2535, 8001
2026/09/14 03:16:03.330, 5387, 99, 56, 70, 40.76, 2400, 8001
2026/09/14 03:16:04.330, 5418, 57, 8, 69, 50.91, 2565, 8001
2026/09/14 03:16:05.331, 5442, 100, 63, 72, 44.96, 2130, 8001
2026/09/14 03:16:06.331, 5393, 100, 50, 71, 41.63, 2055, 8001
2026/09/14 03:16:07.331, 5394, 24, 7, 69, 39.13, 2565, 8001
2026/09/14 03:16:08.332, 5442, 97, 55, 72, 50.57, 2175, 8001
2026/09/14 03:16:09.332, 5610, 97, 53, 73, 54.71, 2385, 8001
2026/09/14 03:16:10.332, 5543, 98, 57, 74, 54.77, 2385, 8001
2026/09/14 03:16:11.332, 5563, 97, 55, 72, 48.74, 2160, 8001
2026/09/14 03:16:12.334, 5503, 98, 52, 74, 53.99, 2415, 8001
2026/09/14 03:16:13.335, 5518, 96, 58, 73, 54.99, 2235, 8001
2026/09/14 03:16:14.335, 5381, 98, 52, 73, 54.92, 2370, 8001
2026/09/14 03:16:15.336, 5457, 26, 8, 72, 41.79, 2565, 8001
2026/09/14 03:16:16.336, 5650, 6, 4, 70, 33.31, 2565, 8001
2026/09/14 03:16:17.337, 5597, 100, 78, 68, 32.57, 2070, 8001
2026/09/14 03:16:18.340, 5452, 36, 11, 72, 51.35, 2565, 8001
2026/09/14 03:16:19.340, 5395, 99, 58, 76, 43.58, 2355, 8001
2026/09/14 03:16:20.340, 5468, 83, 62, 73, 45.80, 1965, 8001
2026/09/14 03:16:21.340, 5467, 99, 55, 74, 53.90, 2130, 8001
2026/09/14 03:16:22.341, 5394, 100, 59, 75, 54.78, 2265, 8001
2026/09/14 03:16:23.342, 5442, 28, 8, 72, 34.22, 2010, 8001
2026/09/14 03:16:24.344, 5441, 28, 8, 72, 36.31, 2565, 8001
2026/09/14 03:16:25.345, 5418, 29, 9, 72, 35.03, 2565, 8001
2026/09/14 03:16:26.345, 5369, 35, 11, 71, 33.67, 2130, 8001
2026/09/14 03:16:27.346, 5442, 24, 7, 72, 35.66, 2565, 8001
2026/09/14 03:16:28.347, 5441, 31, 8, 72, 36.54, 2565, 8001
2026/09/14 03:16:29.348, 5394, 21, 7, 72, 38.43, 2565, 8001
2026/09/14 03:16:30.350, 5441, 47, 29, 76, 40.57, 2100, 8001
2026/09/14 03:16:31.352, 5369, 19, 6, 72, 36.79, 2565, 8001
2026/09/14 03:16:32.352, 5442, 6, 4, 72, 31.29, 2160, 8001
2026/09/14 03:16:33.354, 5442, 99, 55, 75, 57.21, 1995, 8001
2026/09/14 03:16:34.355, 5444, 35, 14, 73, 44.65, 2565, 8001
2026/09/14 03:16:35.355, 5394, 31, 8, 73, 38.70, 2565, 8001
2026/09/14 03:16:36.356, 5442, 31, 10, 74, 36.42, 2565, 8001
2026/09/14 03:16:37.356, 5722, 38, 14, 72, 34.13, 2340, 8001
2026/09/14 03:16:38.358, 5697, 41, 16, 74, 39.50, 2565, 8001
2026/09/14 03:16:39.359, 5625, 34, 11, 74, 42.49, 2565, 8001
2026/09/14 03:16:40.360, 5674, 25, 7, 73, 39.01, 2565, 8001
2026/09/14 03:16:41.360, 5698, 40, 16, 74, 37.16, 2220, 8001
2026/09/14 03:16:42.362, 5673, 34, 13, 73, 37.25, 2370, 8001
2026/09/14 03:16:43.363, 5625, 30, 15, 71, 32.33, 2370, 8001
2026/09/14 03:16:44.364, 6722, 27, 8, 75, 36.56, 2565, 8001
2026/09/14 03:16:45.364, 6698, 25, 9, 73, 36.69, 2565, 8001
2026/09/14 03:16:46.366, 6655, 81, 46, 75, 44.12, 2175, 8001
2026/09/14 03:16:47.367, 6728, 20, 6, 73, 40.89, 2565, 8001
2026/09/14 03:16:48.368, 6727, 24, 7, 75, 36.66, 2565, 8001
2026/09/14 03:16:49.368, 6725, 28, 9, 73, 34.59, 2565, 8001
2026/09/14 03:16:50.369, 6750, 29, 9, 74, 35.72, 2565, 8001
2026/09/14 03:16:51.371, 6747, 21, 7, 73, 37.62, 2565, 8001
2026/09/14 03:16:52.371, 6698, 26, 7, 73, 34.56, 2565, 8001
2026/09/14 03:16:53.372, 6673, 37, 9, 71, 26.04, 1890, 8001
2026/09/14 03:16:54.374, 6728, 16, 7, 72, 27.02, 2565, 8001
2026/09/14 03:16:55.374, 6728, 99, 60, 75, 48.29, 2310, 8001
2026/09/14 03:16:56.377, 6727, 55, 41, 77, 58.09, 2325, 8001
2026/09/14 03:16:57.377, 6655, 46, 13, 74, 43.96, 2565, 8001
2026/09/14 03:16:58.380, 6728, 31, 11, 74, 42.37, 2340, 8001
2026/09/14 03:16:59.381, 6721, 71, 17, 78, 50.46, 2475, 8001
2026/09/14 03:17:00.381, 6721, 19, 6, 74, 31.21, 2565, 8001
2026/09/14 03:17:01.382, 6649, 74, 19, 77, 39.64, 2460, 8001
2026/09/14 03:17:02.382, 6698, 47, 14, 74, 39.69, 2565, 8001
2026/09/14 03:17:03.383, 6673, 22, 7, 74, 36.82, 2565, 8001
2026/09/14 03:17:04.384, 6721, 31, 9, 74, 35.12, 2565, 8001
2026/09/14 03:17:05.384, 6649, 33, 13, 75, 43.28, 2565, 8001
2026/09/14 03:17:06.386, 6749, 73, 19, 75, 58.69, 2535, 8001
2026/09/14 03:17:07.387, 6747, 71, 17, 78, 39.32, 2535, 8001
2026/09/14 03:17:08.388, 6697, 19, 6, 73, 32.01, 2565, 8001
2026/09/14 03:17:09.388, 6673, 38, 11, 74, 39.65, 2565, 8001
2026/09/14 03:17:10.390, 6746, 9, 6, 74, 41.76, 2565, 8001
2026/09/14 03:17:11.390, 6721, 99, 73, 76, 43.57, 2175, 8001
2026/09/14 03:17:12.391, 6697, 34, 10, 75, 55.58, 2100, 8001
2026/09/14 03:17:13.394, 6649, 24, 8, 75, 47.49, 2565, 8001
2026/09/14 03:17:14.395, 6728, 11, 7, 73, 42.24, 2565, 8001
2026/09/14 03:17:15.395, 6704, 98, 59, 79, 59.54, 2220, 8001
2026/09/14 03:17:16.395, 6727, 96, 55, 78, 40.14, 2565, 8001
2026/09/14 03:17:17.396, 6704, 29, 9, 75, 40.61, 2565, 8001
2026/09/14 03:17:18.396, 6655, 24, 9, 75, 42.28, 2565, 8001
2026/09/14 03:17:19.397, 6728, 26, 9, 75, 44.75, 2565, 8001
2026/09/14 03:17:20.398, 6698, 62, 37, 76, 44.69, 2220, 8001
2026/09/14 03:17:21.400, 6738, 23, 8, 75, 44.09, 2565, 8001
2026/09/14 03:17:22.400, 6737, 27, 10, 75, 37.31, 2565, 8001
2026/09/14 03:17:23.401, 6735, 99, 60, 76, 35.59, 2100, 8001
2026/09/14 03:17:24.404, 6734, 32, 10, 75, 44.87, 2565, 8001
2026/09/14 03:17:25.404, 6735, 31, 11, 75, 36.11, 2565, 8001
2026/09/14 03:17:26.405, 6650, 33, 11, 74, 35.91, 2280, 8001
2026/09/14 03:17:27.405, 6669, 27, 8, 74, 31.59, 2055, 8001
2026/09/14 03:17:28.405, 6716, 29, 8, 72, 26.02, 2475, 8001
2026/09/14 03:17:29.406, 6715, 42, 21, 75, 39.64, 2565, 8001
2026/09/14 03:17:30.407, 6699, 25, 10, 74, 36.68, 2565, 8001
2026/09/14 03:17:31.408, 6675, 28, 7, 72, 27.57, 1905, 8001
2026/09/14 03:17:32.409, 6723, 29, 7, 71, 22.51, 1890, 8001
2026/09/14 03:17:33.410, 6675, 100, 65, 74, 25.18, 1890, 8001
2026/09/14 03:17:34.411, 6906, 43, 15, 73, 43.01, 2565, 8001
2026/09/14 03:17:35.411, 6931, 23, 7, 73, 34.59, 2145, 8001
2026/09/14 03:17:36.413, 6901, 32, 8, 72, 23.41, 1905, 8001
2026/09/14 03:17:37.414, 6762, 30, 8, 71, 23.13, 1890, 8001
2026/09/14 03:17:38.415, 6674, 36, 10, 71, 24.60, 1905, 8001
2026/09/14 03:17:39.416, 6699, 34, 8, 70, 23.39, 1905, 8001
2026/09/14 03:17:40.417, 6746, 39, 9, 71, 23.65, 1890, 8001
2026/09/14 03:17:41.418, 6747, 99, 50, 72, 26.89, 2250, 8001
2026/09/14 03:17:42.419, 6722, 38, 14, 74, 47.43, 2565, 8001
2026/09/14 03:17:43.420, 6644, 100, 78, 75, 41.97, 2265, 8001
2026/09/14 03:17:44.423, 6717, 26, 7, 74, 53.49, 2565, 8001
2026/09/14 03:17:45.423, 6717, 100, 56, 76, 37.80, 2505, 8001
2026/09/14 03:17:46.424, 6699, 100, 66, 77, 41.78, 2385, 8001
2026/09/14 03:17:47.424, 6650, 28, 8, 73, 38.77, 2550, 8001
2026/09/14 03:17:48.424, 6723, 23, 7, 77, 33.73, 2430, 8001
2026/09/14 03:17:49.426, 6723, 31, 10, 75, 48.47, 2565, 8001
2026/09/14 03:17:50.427, 6698, 100, 73, 76, 48.76, 2040, 8001
2026/09/14 03:17:51.427, 6650, 100, 62, 77, 51.43, 2355, 8001
2026/09/14 03:17:52.428, 6883, 88, 22, 77, 51.38, 2565, 8001
2026/09/14 03:17:53.428, 6757, 45, 25, 76, 43.13, 2565, 8001
2026/09/14 03:17:54.430, 6680, 40, 12, 75, 50.51, 2085, 8001
2026/09/14 03:17:55.432, 6736, 24, 7, 74, 40.47, 2565, 8001
2026/09/14 03:17:56.432, 6742, 31, 10, 76, 40.51, 2130, 8001
2026/09/14 03:17:57.434, 6736, 99, 57, 76, 55.88, 2070, 8001
2026/09/14 03:17:58.435, 6736, 53, 13, 75, 53.09, 2520, 8001
2026/09/14 03:17:59.435, 6734, 22, 7, 74, 46.37, 2565, 8001
2026/09/14 03:18:00.435, 6734, 100, 64, 77, 45.23, 2085, 8001
2026/09/14 03:18:01.438, 6722, 29, 10, 74, 36.12, 2565, 8001
2026/09/14 03:18:02.438, 6699, 24, 7, 73, 28.90, 2040, 8001
2026/09/14 03:18:03.439, 6723, 49, 10, 74, 24.58, 1890, 8001
2026/09/14 03:18:04.439, 6722, 21, 7, 73, 32.37, 2565, 8001
2026/09/14 03:18:05.440, 6723, 21, 7, 73, 32.81, 1995, 8001
2026/09/14 03:18:06.442, 6644, 40, 10, 76, 46.81, 2565, 8001
2026/09/14 03:18:07.442, 6717, 70, 17, 78, 48.32, 2565, 8001
2026/09/14 03:18:08.442, 6716, 54, 13, 75, 42.86, 2565, 8001
2026/09/14 03:18:09.443, 6717, 53, 13, 76, 47.17, 2250, 8001
2026/09/14 03:18:10.445, 6699, 20, 6, 74, 39.85, 2565, 8001
2026/09/14 03:18:11.446, 6650, 32, 9, 74, 32.94, 2565, 8001
2026/09/14 03:18:12.446, 6744, 49, 10, 72, 24.44, 1890, 8001
2026/09/14 03:18:13.447, 6718, 36, 11, 71, 23.69, 1890, 8001
2026/09/14 03:18:14.450, 6716, 37, 10, 76, 38.05, 2565, 8001
2026/09/14 03:18:15.450, 6741, 14, 6, 73, 37.09, 2490, 8001
2026/09/14 03:18:16.452, 6741, 43, 11, 75, 40.78, 2535, 8001
2026/09/14 03:18:17.452, 6717, 37, 10, 76, 40.96, 2175, 8001
2026/09/14 03:18:18.453, 6692, 80, 64, 77, 45.13, 1965, 8001
2026/09/14 03:18:19.455, 6668, 47, 12, 75, 40.85, 2520, 8001
2026/09/14 03:18:20.455, 6644, 93, 50, 75, 56.39, 2010, 8001
