unix_seconds,pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789326945.3099134,389111,0.0,1.8828125,1,0,0,0,3
1789326946.3103726,389111,97.0,963.8125,66,0,4096,20,5
1789326947.3106852,389111,99.0,1613.79296875,66,0,4096,55,7
1789326948.311108,389111,121.9,1797.90625,70,0,4096,88,9
1789326949.3114913,389111,116.0,1827.390625,70,0,4096,92,9
1789326950.3118937,389111,114.0,1934.15234375,70,0,8192,161,11
1789326951.312236,389111,115.0,1953.33984375,70,0,8192,166,11
1789326952.3126075,389111,96.0,2005.16015625,71,0,8192,168,11
1789326953.3129635,389111,100.0,2073.10546875,71,0,8192,168,11
1789326954.313352,389111,165.9,2173.2109375,71,0,8192,168,11
1789326955.313739,389111,162.9,2237.26953125,73,0,8192,168,11
1789326956.3141766,389111,117.9,2237.28515625,73,0,8192,168,11
1789326957.3145957,389111,125.9,2250.67578125,73,0,8192,168,11
1789326958.315119,389111,118.9,2250.6875,73,0,8192,168,11
1789326959.3155122,389111,140.9,2269.66796875,73,0,8192,168,11
1789326960.3160212,389111,113.9,2269.67578125,73,0,8192,168,11
1789326961.316402,389111,195.9,2307.578125,76,0,8192,168,11
1789326962.3168676,389111,121.9,2331.79296875,76,0,8192,168,11
1789326963.3172514,389111,144.9,2351.28515625,76,0,8192,168,11
1789326964.3176665,389111,174.9,2377.65625,76,0,8192,168,11
1789326965.318066,389111,148.9,2399.8984375,76,0,8192,168,11
1789326966.318378,389111,133.0,2400.05078125,76,0,8192,168,11
1789326967.3187675,389111,110.0,2400.2734375,76,0,8192,168,11
1789326968.3191826,389111,179.9,2400.2734375,76,0,8192,168,11
1789326969.3195517,389111,175.9,2403.109375,76,0,8192,168,11
1789326970.3199024,389111,156.9,2403.34375,76,0,8192,168,11
1789326971.3202562,389111,191.9,2403.671875,76,0,8192,168,11
1789326972.3206663,389111,239.9,2403.67578125,76,0,8192,168,11
1789326973.321156,389111,251.9,2403.67578125,76,0,8192,168,11
1789326974.3215775,389111,242.9,2404.78125,75,0,8192,168,11
1789326975.3221002,389111,139.9,2410.26171875,75,0,8192,168,11
1789326976.3224826,389111,102.0,2361.25,75,0,122728448,168,11
1789326977.3230338,389111,138.9,2432.32421875,76,0,122896384,169,11
1789326978.3234286,389111,123.0,2443.41796875,76,0,122896384,169,11
1789326979.323765,389111,139.0,2452.703125,76,0,122896384,169,11
1789326980.324245,389111,157.9,2469.546875,76,0,122896384,169,11
1789326981.3246727,389111,161.9,2496.5390625,76,0,122896384,169,11
1789326982.3251488,389111,148.9,2499.6875,76,0,122896384,169,11
1789326983.325494,389111,121.0,2499.6875,76,0,122896384,169,11
