timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 20:13:41.000, 4179, 44, 19, 67, 26.65, 1890, 8001
2026/09/14 20:13:42.005, 4879, 37, 19, 68, 31.23, 2325, 8001
2026/09/14 20:13:43.005, 5977, 31, 18, 70, 42.06, 2565, 8001
2026/09/14 20:13:44.006, 6835, 36, 21, 71, 54.87, 2565, 8001
2026/09/14 20:13:45.006, 7629, 61, 25, 75, 54.08, 2550, 8001
2026/09/14 20:13:46.006, 7741, 44, 21, 74, 53.03, 2565, 8001
2026/09/14 20:13:47.006, 7801, 100, 79, 73, 53.15, 2130, 8001
2026/09/14 20:13:48.007, 7798, 56, 23, 74, 53.67, 2565, 8001
2026/09/14 20:13:49.007, 7611, 98, 19, 73, 50.26, 2565, 8001
2026/09/14 20:13:50.007, 7610, 100, 54, 73, 52.87, 2430, 8001
2026/09/14 20:13:51.008, 7606, 100, 43, 76, 54.46, 2250, 8001
2026/09/14 20:13:52.008, 7604, 100, 42, 74, 53.50, 2475, 8001
2026/09/14 20:13:53.008, 7607, 100, 38, 75, 54.93, 2430, 8001
2026/09/14 20:13:54.008, 7606, 100, 45, 76, 55.06, 2190, 8001
2026/09/14 20:13:55.009, 7604, 76, 23, 74, 54.05, 2535, 8001
2026/09/14 20:13:56.009, 7605, 100, 59, 76, 54.06, 2205, 8001
2026/09/14 20:13:57.009, 7608, 100, 21, 75, 56.13, 2565, 8001
2026/09/14 20:13:58.009, 7607, 100, 43, 77, 49.11, 2445, 8001
2026/09/14 20:13:59.010, 7604, 100, 42, 75, 55.02, 2460, 8001
2026/09/14 20:14:00.010, 7604, 100, 41, 75, 54.91, 2325, 8001
2026/09/14 20:14:01.010, 7607, 100, 55, 76, 55.28, 2130, 8001
2026/09/14 20:14:02.011, 7604, 78, 23, 76, 48.94, 2550, 8001
2026/09/14 20:14:03.011, 7604, 67, 20, 76, 49.29, 2565, 8001
2026/09/14 20:14:04.011, 7604, 96, 47, 78, 51.74, 2325, 8001
2026/09/14 20:14:05.011, 7607, 100, 22, 76, 51.79, 2565, 8001
2026/09/14 20:14:06.012, 7604, 95, 27, 77, 53.43, 2340, 8001
2026/09/14 20:14:07.012, 7608, 68, 20, 76, 53.58, 2565, 8001
