unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789388360.2072935,1298291,1298286,,12.3046875,34,0,0,8,0
1789388361.2138734,1298291,1298286,97.3,829.24609375,67,0,4096,11,0
1789388361.2139847,1298324,1298291,,9.66015625,1,0,0,2,2
1789388361.214051,1298327,1298291,,9.8125,1,0,0,2,0
1789388361.214111,1298329,1298291,,9.8125,1,0,0,2,0
1789388361.2141693,1298331,1298291,,9.5390625,1,0,0,2,3
1789388361.2142248,1298333,1298291,,9.85546875,1,0,0,2,1
1789388362.2210047,1298291,1298286,100.3,983.9140625,69,0,4096,15,0
1789388362.2211103,1298324,1298291,0.0,9.66015625,1,0,0,2,2
1789388362.2211788,1298327,1298291,0.0,9.8125,1,0,0,2,0
1789388362.2212398,1298329,1298291,0.0,9.8125,1,0,0,2,0
1789388362.2213025,1298331,1298291,0.0,9.5390625,1,0,0,2,3
1789388362.2213633,1298333,1298291,0.0,9.85546875,1,0,0,2,1
1789388363.2289836,1298291,1298286,74.4,1217.546875,71,0,4096,61,6
1789388363.2291,1298324,1298291,5.0,12.98828125,1,0,0,10,3
1789388363.2291763,1298327,1298291,5.0,13.0625,1,0,0,10,7
1789388363.2292483,1298329,1298291,4.0,13.0625,1,0,0,10,15
1789388363.2293172,1298331,1298291,4.0,12.7578125,1,0,0,10,4
1789388363.2293844,1298333,1298291,4.0,13.2421875,1,0,0,10,3
1789388364.2369595,1298291,1298286,100.2,1582.5859375,71,0,4096,66,6
1789388364.2370737,1298324,1298291,0.0,12.98828125,1,0,0,10,3
1789388364.2371495,1298327,1298291,0.0,13.0625,1,0,0,10,7
1789388364.2372198,1298329,1298291,0.0,13.0625,1,0,0,10,15
1789388364.2372851,1298331,1298291,0.0,12.7578125,1,0,0,10,4
1789388364.23735,1298333,1298291,0.0,13.2421875,1,0,0,10,3
1789388365.2452774,1298291,1298286,99.2,1719.3828125,71,32768,266240,94,6
1789388365.2454028,1298324,1298291,0.0,12.98828125,1,0,0,10,3
1789388365.2454875,1298327,1298291,0.0,13.0625,1,0,0,10,7
1789388365.245561,1298329,1298291,0.0,13.0625,1,0,0,10,15
1789388365.2456295,1298331,1298291,0.0,12.7578125,1,0,0,10,4
1789388365.2456963,1298333,1298291,0.0,13.2421875,1,0,0,10,3
1789388366.2560532,1298291,1298286,97.0,1783.7578125,71,32768,266240,104,7
1789388366.2561727,1298324,1298291,0.0,12.98828125,1,0,0,10,3
1789388366.2562537,1298327,1298291,0.0,13.0625,1,0,0,10,7
1789388366.2563283,1298329,1298291,0.0,13.0625,1,0,0,10,15
1789388366.256398,1298331,1298291,0.0,12.7578125,1,0,0,10,4
1789388366.2564664,1298333,1298291,0.0,13.2421875,1,0,0,10,3
1789388367.2637637,1298291,1298286,121.1,1926.06640625,74,32768,266240,115,7
1789388367.2638762,1298324,1298291,0.0,12.98828125,1,0,0,10,3
1789388367.26395,1298327,1298291,0.0,13.0625,1,0,0,10,7
1789388367.2640185,1298329,1298291,0.0,13.0625,1,0,0,10,15
1789388367.2640831,1298331,1298291,0.0,12.7578125,1,0,0,10,4
1789388367.2641468,1298333,1298291,4.0,13.2421875,1,0,0,18,14
1789388368.271072,1298291,1298286,123.1,1926.33203125,74,32768,266240,116,7
