unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789389121.5991335,1317976,1317974,,12.28515625,34,0,0,6,0
1789389122.6099706,1317976,1317974,91.0,906.125,71,0,4096,31,0
1789389122.6101649,1318010,1317976,,34.8671875,1,0,0,8,4
1789389122.6102931,1318012,1317976,,9.64453125,1,0,0,2,0
1789389122.6104183,1318014,1317976,,9.95703125,1,0,0,2,3
1789389122.6105406,1318016,1317976,,9.7109375,1,0,0,2,0
1789389122.6106591,1318018,1317976,,12.96875,1,0,0,9,1
1789389123.6160426,1317976,1317974,86.5,1622.484375,71,0,4096,76,1
1789389123.6161203,1318010,1317976,0.0,13.2265625,1,0,0,10,4
1789389123.6161668,1318012,1317976,4.0,12.92578125,1,0,0,10,2
1789389123.6162102,1318014,1317976,3.0,13.25390625,1,0,0,10,3
1789389123.616252,1318016,1317976,4.0,13.01171875,1,0,0,10,4
1789389123.616293,1318018,1317976,0.0,12.96875,1,0,0,10,1
1789389124.6234753,1317976,1317974,106.2,1828.90625,74,0,4096,112,2
1789389124.6235638,1318010,1317976,0.0,13.2265625,1,0,0,10,4
1789389124.623622,1318012,1317976,0.0,12.92578125,1,0,0,10,2
1789389124.6236746,1318014,1317976,0.0,13.25390625,1,0,0,10,3
1789389124.6237268,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389124.6237774,1318018,1317976,3.0,12.96875,1,0,0,18,1
1789389125.6293395,1317976,1317974,126.3,1897.8515625,74,32768,266240,114,2
1789389125.6294227,1318010,1317976,0.0,13.2265625,1,0,0,10,4
1789389125.6294746,1318012,1317976,0.0,12.92578125,1,0,0,10,2
1789389125.629523,1318014,1317976,0.0,13.25390625,1,0,0,10,3
1789389125.629569,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389125.6296136,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389126.6350524,1317976,1317974,101.4,1920.19140625,74,32768,270336,146,2
1789389126.63514,1318010,1317976,0.0,13.2265625,1,0,0,10,4
1789389126.6351938,1318012,1317976,0.0,12.92578125,1,0,0,10,2
1789389126.6352408,1318014,1317976,0.0,13.25390625,1,0,0,10,3
1789389126.635286,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389126.6353295,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389127.6415777,1317976,1317974,121.2,1935.484375,74,32768,270336,176,2
1789389127.6416922,1318010,1317976,3.0,13.2265625,1,0,0,18,4
1789389127.6417618,1318012,1317976,0.0,12.92578125,1,0,0,10,2
1789389127.641811,1318014,1317976,0.0,13.25390625,1,0,0,10,3
1789389127.6418617,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389127.641919,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389128.647412,1317976,1317974,92.5,1936.9375,74,32768,270336,182,2
1789389128.6475,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389128.6475563,1318012,1317976,15.9,22.6171875,1,0,0,47,5
1789389128.647608,1318014,1317976,14.9,22.77734375,1,0,0,51,8
1789389128.6476574,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389128.647705,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389129.6537607,1317976,1317974,122.2,2051.375,75,32768,270336,182,2
1789389129.6538575,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389129.653917,1318012,1317976,81.5,37.66796875,1,0,0,203,38
1789389129.653971,1318014,1317976,49.7,22.24609375,1,0,0,142,17
1789389129.6540236,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389129.654075,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389130.6600304,1317976,1317974,148.1,2134.83203125,76,32768,270336,182,2
1789389130.6601217,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389130.6601799,1318012,1317976,76.5,50.64453125,1,0,0,422,55
1789389130.660234,1318014,1317976,5.0,22.24609375,1,0,0,145,19
1789389130.6602864,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389130.660337,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389131.6664507,1317976,1317974,185.8,2275.015625,78,32768,270336,182,2
1789389131.6665416,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389131.6666021,1318012,1317976,68.6,59.953125,1,0,0,657,76
1789389131.6666584,1318014,1317976,7.0,22.24609375,1,0,0,149,20
1789389131.6667118,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389131.6667614,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389132.6750388,1317976,1317974,192.3,2410.28515625,79,32768,270336,182,2
1789389132.6751156,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389132.675163,1318012,1317976,27.8,76.984375,1,0,0,671,115
1789389132.6752079,1318014,1317976,5.0,22.24609375,1,0,0,153,21
1789389132.6752512,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389132.6752915,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389133.6821082,1317976,1317974,143.0,2411.6484375,79,32768,270336,182,2
1789389133.6822083,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389133.6822727,1318012,1317976,4.0,76.984375,1,0,0,673,116
1789389133.682333,1318014,1317976,5.0,29.515625,1,0,0,156,22
1789389133.6823905,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389133.682444,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389134.68802,1317976,1317974,149.1,2437.8046875,79,32768,270336,182,2
1789389134.6881013,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389134.6881537,1318012,1317976,0.0,76.984375,1,0,0,673,116
1789389134.6882007,1318014,1317976,15.9,50.984375,1,0,0,166,23
1789389134.6882482,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389134.6882925,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389135.693609,1317976,1317974,143.2,2464.53125,79,32768,270336,182,2
1789389135.6936903,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389135.6937418,1318012,1317976,0.0,76.984375,1,0,0,673,116
1789389135.6937897,1318014,1317976,4.0,50.984375,1,0,0,170,24
1789389135.693836,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389135.693884,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389136.6997476,1317976,1317974,132.2,2464.53515625,79,32768,270336,182,2
1789389136.6998305,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389136.6998818,1318012,1317976,0.0,76.984375,1,0,0,673,116
1789389136.6999264,1318014,1317976,0.0,50.984375,1,0,0,170,24
1789389136.699969,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389136.7000113,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389137.706531,1317976,1317974,128.1,2464.54296875,79,32768,270336,182,2
1789389137.7066276,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389137.7066927,1318012,1317976,1.0,76.984375,1,0,0,673,117
1789389137.7067518,1318014,1317976,0.0,50.984375,1,0,0,170,24
1789389137.7068071,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389137.7068655,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389138.712488,1317976,1317974,129.2,2464.546875,79,32768,270336,182,2
1789389138.7126184,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389138.7126987,1318012,1317976,3.0,76.984375,1,0,0,676,117
1789389138.712759,1318014,1317976,0.0,50.984375,1,0,0,170,24
1789389138.7128222,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389138.7128832,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389139.7188122,1317976,1317974,135.1,2464.546875,79,32768,270336,182,2
1789389139.7189054,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389139.7189639,1318012,1317976,0.0,76.984375,1,0,0,676,117
1789389139.7190175,1318014,1317976,0.0,50.984375,1,0,0,170,24
1789389139.719069,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389139.7191186,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389140.724889,1317976,1317974,138.2,2470.1171875,79,32768,270336,182,2
1789389140.7249765,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389140.7250328,1318012,1317976,0.0,76.984375,1,0,0,676,117
1789389140.7250829,1318014,1317976,2.0,50.984375,1,0,0,172,24
1789389140.7251327,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389140.7251809,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389141.7310984,1317976,1317974,162.0,2499.19140625,79,32768,270336,182,2
1789389141.731183,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389141.7312384,1318012,1317976,11.9,76.984375,1,0,0,684,120
1789389141.7312896,1318014,1317976,0.0,50.984375,1,0,0,172,24
1789389141.7313383,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389141.7313876,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389142.7374756,1317976,1317974,131.2,2499.1953125,79,32768,270336,182,2
1789389142.737565,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389142.7376242,1318012,1317976,5.0,76.984375,1,0,0,687,123
1789389142.737678,1318014,1317976,0.0,50.984375,1,0,0,172,24
1789389142.7377298,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389142.7377803,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389143.7431908,1317976,1317974,113.4,2499.19921875,79,32768,270336,182,2
1789389143.7432725,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389143.743325,1318012,1317976,0.0,76.984375,1,0,0,687,123
1789389143.7433722,1318014,1317976,0.0,50.984375,1,0,0,172,24
1789389143.7434182,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389143.743462,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389144.74861,1317976,1317974,127.3,2499.671875,79,32768,270336,182,2
1789389144.7486887,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389144.7487383,1318012,1317976,0.0,76.984375,1,0,0,687,123
1789389144.7487829,1318014,1317976,2.0,50.984375,1,0,0,173,24
1789389144.7488275,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389144.7488732,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389145.7584727,1317976,1317974,140.6,2510.09375,79,32768,270336,182,2
1789389145.7586186,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389145.7587342,1318012,1317976,0.0,76.984375,1,0,0,687,123
1789389145.758845,1318014,1317976,3.0,50.984375,1,0,0,178,24
1789389145.758959,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389145.7590635,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389146.7645218,1317976,1317974,123.3,2510.09765625,79,32768,270336,182,2
1789389146.7646046,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389146.7646582,1318012,1317976,0.0,76.984375,1,0,0,687,123
1789389146.7647054,1318014,1317976,0.0,50.984375,1,0,0,178,24
1789389146.7647502,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389146.7647932,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389147.7723105,1317976,1317974,153.8,2531.98046875,80,32768,270336,182,2
1789389147.7724001,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389147.7724578,1318012,1317976,6.9,76.984375,1,0,0,691,129
1789389147.7725122,1318014,1317976,0.0,50.984375,1,0,0,178,24
1789389147.7725632,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389147.772612,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389148.7782056,1317976,1317974,133.2,2533.16015625,80,32768,270336,182,2
1789389148.7782993,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389148.7783525,1318012,1317976,6.0,76.984375,1,0,0,695,133
1789389148.7783997,1318014,1317976,0.0,50.984375,1,0,0,178,24
1789389148.7784445,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389148.778489,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389149.7842648,1317976,1317974,127.2,2535.13671875,80,32768,270336,182,2
1789389149.7843475,1318010,1317976,0.0,13.2265625,1,0,0,18,4
1789389149.7844007,1318012,1317976,0.0,76.984375,1,0,0,695,133
1789389149.7844486,1318014,1317976,0.0,50.984375,1,0,0,178,24
1789389149.7844954,1318016,1317976,0.0,13.01171875,1,0,0,10,4
1789389149.7845407,1318018,1317976,0.0,12.96875,1,0,0,18,1
1789389150.7900872,1317976,1317974,178.0,2555.61328125,80,32768,270336,182,2
