timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 20:23:47.025, 1675, 31, 18, 68, 32.87, 2400, 8001
2026/09/14 20:23:48.029, 2383, 33, 18, 68, 33.34, 2400, 8001
2026/09/14 20:23:49.029, 3514, 42, 27, 69, 38.02, 2565, 8001
2026/09/14 20:23:50.029, 4250, 63, 27, 71, 42.90, 2565, 8001
2026/09/14 20:23:51.030, 5271, 56, 24, 71, 55.06, 2565, 8001
2026/09/14 20:23:52.030, 5377, 61, 24, 71, 52.48, 2565, 8001
2026/09/14 20:23:53.030, 5442, 100, 77, 72, 50.22, 2115, 8001
2026/09/14 20:23:54.030, 5430, 65, 31, 75, 52.52, 2175, 8001
2026/09/14 20:23:55.031, 5417, 29, 18, 71, 46.51, 2565, 8001
2026/09/14 20:23:56.031, 5417, 100, 55, 73, 51.78, 2025, 8001
2026/09/14 20:23:57.031, 5417, 49, 22, 73, 51.55, 2490, 8001
2026/09/14 20:23:58.032, 5416, 100, 54, 75, 52.08, 2385, 8001
2026/09/14 20:23:59.032, 5418, 99, 56, 74, 54.94, 2250, 8001
2026/09/14 20:24:00.032, 5417, 100, 57, 75, 53.79, 2070, 8001
2026/09/14 20:24:01.032, 5417, 100, 54, 74, 52.71, 2250, 8001
2026/09/14 20:24:02.033, 5417, 100, 51, 76, 54.47, 2100, 8001
2026/09/14 20:24:03.033, 5417, 100, 55, 74, 55.00, 2190, 8001
2026/09/14 20:24:04.033, 5444, 51, 22, 74, 52.65, 2565, 8001
2026/09/14 20:24:05.034, 5418, 48, 21, 74, 45.19, 2565, 8001
2026/09/14 20:24:06.034, 5417, 65, 24, 75, 50.79, 2565, 8001
2026/09/14 20:24:07.034, 5418, 100, 55, 75, 53.64, 1875, 8001
2026/09/14 20:24:08.034, 5418, 58, 24, 75, 46.40, 2565, 8001
2026/09/14 20:24:09.035, 5417, 100, 54, 74, 54.22, 2400, 8001
2026/09/14 20:24:10.035, 5417, 100, 54, 75, 54.23, 2115, 8001
2026/09/14 20:24:11.035, 5417, 47, 21, 75, 47.79, 2565, 8001
2026/09/14 20:24:12.036, 5417, 53, 25, 75, 49.50, 2565, 8001
2026/09/14 20:24:13.036, 5431, 46, 21, 75, 46.51, 2565, 8001
2026/09/14 20:24:14.036, 5432, 54, 21, 75, 46.63, 2565, 8001
2026/09/14 20:24:15.037, 5430, 51, 22, 76, 52.42, 2565, 8001
2026/09/14 20:24:16.037, 5427, 77, 45, 75, 47.06, 2055, 8001
2026/09/14 20:24:17.037, 5427, 46, 21, 75, 55.23, 2565, 8001
2026/09/14 20:24:18.037, 5428, 100, 55, 78, 54.50, 2385, 8001
2026/09/14 20:24:19.037, 5417, 43, 21, 76, 48.08, 2565, 8001
2026/09/14 20:24:20.038, 5417, 48, 21, 76, 45.13, 2565, 8001
2026/09/14 20:24:21.038, 5618, 100, 60, 77, 54.00, 2175, 8001
2026/09/14 20:24:22.038, 5458, 99, 54, 77, 57.19, 2175, 8001
2026/09/14 20:24:23.038, 5456, 67, 25, 76, 49.29, 2505, 8001
2026/09/14 20:24:24.039, 5433, 48, 21, 76, 48.97, 2565, 8001
2026/09/14 20:24:25.039, 5433, 83, 50, 77, 47.99, 2145, 8001
