unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789388627.01997,1304302,1304300,,16.734375,33,0,0,3,0
1789388628.0258238,1304302,1304300,87.5,930.28125,71,0,4096,28,0
1789388628.025947,1304335,1304302,,20.2109375,1,0,0,8,2
1789388628.0260053,1304338,1304302,,9.75,1,0,0,2,1
1789388628.0260694,1304340,1304302,,9.71875,1,0,0,2,0
1789388628.0261207,1304342,1304302,,9.62890625,1,0,0,2,0
1789388628.0261717,1304344,1304302,,13.109375,1,0,0,9,5
1789388629.0312462,1304302,1304300,86.5,1627.34375,71,0,4096,69,6
1789388629.031322,1304335,1304302,0.0,12.875,1,0,0,10,3
1789388629.0313702,1304338,1304302,2.0,13.0625,1,0,0,10,3
1789388629.0314143,1304340,1304302,3.0,13.03125,1,0,0,10,2
1789388629.031457,1304342,1304302,3.0,12.89453125,1,0,0,10,1
1789388629.0314984,1304344,1304302,0.0,13.109375,1,0,0,10,5
1789388630.036754,1304302,1304300,108.4,1759.20703125,74,0,4096,121,9
1789388630.0368357,1304335,1304302,0.0,12.875,1,0,0,10,3
1789388630.0368898,1304338,1304302,0.0,13.0625,1,0,0,10,3
1789388630.036936,1304340,1304302,0.0,13.03125,1,0,0,10,2
1789388630.03698,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388630.0370247,1304344,1304302,3.0,13.109375,1,0,0,18,8
1789388631.0423782,1304302,1304300,128.3,1797.65625,74,0,4096,123,9
1789388631.04246,1304335,1304302,0.0,12.875,1,0,0,10,3
1789388631.0425107,1304338,1304302,0.0,13.0625,1,0,0,10,3
1789388631.0425582,1304340,1304302,0.0,13.03125,1,0,0,10,2
1789388631.0426044,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388631.0426483,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388632.0482383,1304302,1304300,104.4,1839.44921875,74,0,8192,147,9
1789388632.0483217,1304335,1304302,0.0,12.875,1,0,0,10,3
1789388632.0483768,1304338,1304302,0.0,13.0625,1,0,0,10,3
1789388632.0484254,1304340,1304302,0.0,13.03125,1,0,0,10,2
1789388632.0484712,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388632.0485153,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388633.0536106,1304302,1304300,114.4,1872.07421875,74,0,8192,196,11
1789388633.0536904,1304335,1304302,3.0,12.875,1,0,0,18,4
1789388633.0537434,1304338,1304302,0.0,13.0625,1,0,0,10,3
1789388633.05379,1304340,1304302,0.0,13.03125,1,0,0,10,2
1789388633.053834,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388633.0538814,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388634.0595481,1304302,1304300,118.3,1873.01953125,74,0,8192,201,11
1789388634.0596373,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388634.059694,1304338,1304302,0.0,13.0625,1,0,0,10,3
1789388634.0597456,1304340,1304302,0.0,13.03125,1,0,0,10,2
1789388634.059794,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388634.0598426,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388635.065936,1304302,1304300,84.5,1947.49609375,74,0,8192,203,12
1789388635.0660279,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388635.066088,1304338,1304302,62.6,32.9453125,1,0,0,147,11
1789388635.0661442,1304340,1304302,54.7,22.0390625,1,0,0,139,5
1789388635.0661983,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388635.0662518,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388636.0720313,1304302,1304300,153.1,2047.57421875,76,0,8192,203,12
1789388636.0721135,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388636.072165,1304338,1304302,79.5,43.578125,1,0,0,330,21
1789388636.0722122,1304340,1304302,8.9,22.04296875,1,0,0,145,24
1789388636.0722582,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388636.0723026,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388637.078013,1304302,1304300,148.1,2132.6484375,76,0,8192,203,12
1789388637.0780995,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388637.0781581,1304338,1304302,67.6,49.73046875,1,0,0,654,26
1789388637.0782146,1304340,1304302,0.0,22.04296875,1,0,0,145,24
1789388637.0782645,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388637.0783124,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388638.0843425,1304302,1304300,149.1,2212.40625,76,0,8192,203,12
1789388638.084435,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388638.0844934,1304338,1304302,24.8,77.01953125,1,0,0,665,35
1789388638.0845475,1304340,1304302,0.0,22.04296875,1,0,0,145,24
1789388638.0845976,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388638.0846453,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388639.0905566,1304302,1304300,139.1,2229.05859375,76,0,8192,203,12
1789388639.0906434,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388639.090704,1304338,1304302,13.9,77.01953125,1,0,0,673,37
1789388639.0907583,1304340,1304302,0.0,22.04296875,1,0,0,145,24
1789388639.090809,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388639.0908685,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388640.0963786,1304302,1304300,133.2,2235.484375,78,0,8192,203,12
1789388640.0964642,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388640.0965176,1304338,1304302,0.0,77.01953125,1,0,0,673,37
1789388640.0965662,1304340,1304302,7.0,22.04296875,1,0,0,149,40
1789388640.0966132,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388640.096658,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388641.1034179,1304302,1304300,153.9,2296.6953125,78,0,8192,203,12
1789388641.1035213,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388641.1035912,1304338,1304302,0.0,77.01953125,1,0,0,673,37
1789388641.1036549,1304340,1304302,8.9,22.04296875,1,0,0,156,58
1789388641.1037164,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388641.1037734,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388642.1091542,1304302,1304300,162.1,2296.69921875,78,0,8192,203,12
1789388642.1092334,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388642.1092854,1304338,1304302,0.0,77.01953125,1,0,0,673,37
1789388642.109333,1304340,1304302,8.9,22.1015625,1,0,0,164,61
1789388642.1093795,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388642.1094263,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388643.119819,1304302,1304300,143.5,2319.40234375,78,0,8192,203,12
1789388643.1199648,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388643.1200738,1304338,1304302,0.0,77.01953125,1,0,0,673,37
1789388643.1201777,1304340,1304302,11.9,50.765625,1,0,0,169,63
1789388643.1202793,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388643.120379,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388644.1261132,1304302,1304300,115.3,2319.41015625,78,0,8192,203,12
1789388644.1262004,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388644.1262574,1304338,1304302,0.0,77.01953125,1,0,0,673,37
1789388644.126311,1304340,1304302,0.0,50.765625,1,0,0,169,63
1789388644.126361,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388644.1264083,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388645.1361825,1304302,1304300,131.7,2324.96875,78,0,8192,203,12
1789388645.1362631,1304335,1304302,0.0,12.875,1,0,0,18,4
1789388645.1363144,1304338,1304302,4.0,77.01953125,1,0,0,675,37
1789388645.1363606,1304340,1304302,0.0,50.765625,1,0,0,169,63
1789388645.136406,1304342,1304302,0.0,12.89453125,1,0,0,10,1
1789388645.1364498,1304344,1304302,0.0,13.109375,1,0,0,18,8
1789388646.1464007,1304302,1304300,119.8,2324.9765625,78,0,8192,203,12
