case,file,pages,seconds,ocr_lines,recognition_calls,json_bytes,warnings
clean/batch-1,2403.01632v4.pdf,47,28.478477505,417,417,23747545,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
clean/batch-1,2303.18223v16.pdf,144,49.633640573,717,717,122683687,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
clean/batch-1,2410.05779v3.pdf,16,24.920339266,291,291,6709938,"{""OcrPartialOverlap"": 28}"
clean/batch-1,2412.05210v1.pdf,12,17.986492324,439,439,11806282,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
clean/batch-1,2604.18583v1.pdf,15,14.368404641,100,100,10599141,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
clean/batch-1,2603.01919v2.pdf,23,32.384765461,1101,1101,16723841,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/batch-1,2604.21959v1.pdf,3,7.584554093,87,87,875582,{}
clean/batch-1,2604.18584v1.pdf,32,42.091804626,882,882,15843831,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/batch-1,2606.17056v1.pdf,25,39.909319846,831,831,9183038,"{""OcrPartialOverlap"": 4}"
clean/batch-1,2609.04184v1.pdf,8,15.149846204,239,239,5934915,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
clean/batch-1,2609.04180v1.pdf,23,24.85839274,755,755,12356449,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
clean/batch-1,2609.04203v1.pdf,20,7.002328385,287,287,15110081,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
clean/batch-16,2403.01632v4.pdf,47,29.580770322,417,197,23747547,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
clean/batch-16,2303.18223v16.pdf,144,49.298432369,717,202,122683682,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
clean/batch-16,2410.05779v3.pdf,16,22.409043322,291,182,6709935,"{""OcrPartialOverlap"": 28}"
clean/batch-16,2412.05210v1.pdf,12,19.364962037,439,166,11806288,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
clean/batch-16,2603.01919v2.pdf,23,23.288750197,1101,193,16723840,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/batch-16,2604.18583v1.pdf,15,14.046158164,100,30,10599133,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
clean/batch-16,2604.21959v1.pdf,3,7.478577663,87,27,875581,{}
clean/batch-16,2604.18584v1.pdf,32,32.96151311,882,380,15843835,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/batch-16,2606.17056v1.pdf,25,25.59103394,831,163,9183038,"{""OcrPartialOverlap"": 4}"
clean/batch-16,2609.04180v1.pdf,23,19.245166742,755,134,12356456,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
clean/batch-16,2609.04184v1.pdf,8,12.115574075,239,68,5934918,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
clean/batch-16,2609.04203v1.pdf,20,6.356542489,287,56,15110081,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
clean/batch-4,2403.01632v4.pdf,47,28.930001199,417,240,23747545,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
clean/batch-4,2303.18223v16.pdf,144,50.97127429,717,304,122683687,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
clean/batch-4,2410.05779v3.pdf,16,25.422189645,291,199,6709938,"{""OcrPartialOverlap"": 28}"
clean/batch-4,2412.05210v1.pdf,12,22.293346101,439,218,11806285,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
clean/batch-4,2603.01919v2.pdf,23,32.163305966,1101,370,16723835,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/batch-4,2604.18583v1.pdf,15,15.798403604,100,44,10599134,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
clean/batch-4,2604.21959v1.pdf,3,8.224925529,87,38,875582,{}
clean/batch-4,2604.18584v1.pdf,32,39.241888636,882,468,15843851,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
clean/batch-4,2606.17056v1.pdf,25,37.753113429,831,295,9183038,"{""OcrPartialOverlap"": 4}"
