timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 20:42:44.585, 1305, 16, 4, 58, 10.38, 1020, 7001
2026/09/14 20:42:45.590, 2003, 13, 4, 59, 14.10, 1890, 7001
2026/09/14 20:42:46.590, 3031, 81, 32, 66, 21.42, 2175, 8001
2026/09/14 20:42:47.590, 3012, 86, 8, 65, 45.85, 2565, 8001
2026/09/14 20:42:48.591, 3073, 86, 6, 65, 33.51, 2565, 8001
2026/09/14 20:42:49.591, 4874, 98, 17, 67, 46.32, 2175, 8001
2026/09/14 20:42:50.591, 4871, 100, 10, 70, 54.92, 2190, 8001
2026/09/14 20:42:51.591, 4872, 92, 7, 66, 43.44, 2565, 8001
2026/09/14 20:42:52.592, 4871, 94, 5, 65, 33.97, 2565, 8001
2026/09/14 20:42:53.592, 4831, 93, 5, 66, 33.63, 2565, 8001
2026/09/14 20:42:54.592, 4830, 94, 5, 66, 33.53, 2565, 8001
2026/09/14 20:42:55.592, 4838, 95, 7, 66, 35.36, 2565, 8001
2026/09/14 20:42:56.592, 4837, 77, 7, 69, 34.47, 2565, 8001
2026/09/14 20:42:57.593, 4965, 84, 6, 67, 48.09, 2565, 8001
2026/09/14 20:42:58.593, 4964, 93, 5, 67, 33.44, 2565, 8001
2026/09/14 20:42:59.593, 4966, 96, 7, 67, 34.95, 2565, 8001
2026/09/14 20:43:00.593, 4965, 94, 5, 67, 33.01, 2565, 8001
2026/09/14 20:43:01.594, 4965, 100, 14, 73, 46.88, 1860, 8001
2026/09/14 20:43:02.594, 5006, 84, 6, 68, 39.38, 2565, 8001
2026/09/14 20:43:03.594, 5071, 63, 11, 70, 39.43, 2370, 8001
2026/09/14 20:43:04.594, 5060, 97, 25, 73, 53.26, 2100, 8001
2026/09/14 20:43:05.595, 5061, 85, 6, 70, 48.75, 2565, 8001
2026/09/14 20:43:06.595, 5061, 93, 5, 69, 35.84, 2565, 8001
2026/09/14 20:43:07.595, 5023, 95, 8, 69, 35.87, 2565, 8001
2026/09/14 20:43:08.596, 5182, 94, 5, 68, 34.65, 2565, 8001
2026/09/14 20:43:09.596, 5137, 94, 5, 69, 34.04, 2565, 8001
2026/09/14 20:43:10.596, 5070, 93, 5, 69, 34.02, 2565, 8001
2026/09/14 20:43:11.597, 5070, 100, 52, 72, 40.94, 2190, 8001
2026/09/14 20:43:12.597, 5062, 78, 5, 69, 48.42, 2565, 8001
