unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789389764.579991,1331513,1331511,,12.8359375,34,0,0,4,2
1789389765.5855737,1331513,1331511,91.5,927.92578125,71,0,4096,22,2
1789389765.585674,1331547,1331513,,9.55078125,1,0,0,2,2
1789389765.5857296,1331549,1331513,,9.8515625,1,0,0,2,0
1789389765.5857823,1331551,1331513,,9.8046875,1,0,0,2,0
1789389765.5858371,1331553,1331513,,9.80859375,1,0,0,2,1
1789389765.5858934,1331555,1331513,,33.69140625,1,0,0,8,15
1789389766.5921137,1331513,1331511,80.5,1420.03125,71,11702272,4096,57,6
1789389766.5922165,1331547,1331513,3.0,12.81640625,1,0,0,10,3
1789389766.5922792,1331549,1331513,3.0,13.0859375,1,0,0,10,3
1789389766.592334,1331551,1331513,2.0,13.0546875,1,0,0,10,4
1789389766.5923889,1331553,1331513,2.0,13.0546875,1,0,0,10,1
1789389766.5924413,1331555,1331513,0.0,13.08984375,1,0,0,10,15
1789389767.5974207,1331513,1331511,99.5,1497.7109375,71,15896576,4096,86,6
1789389767.597498,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389767.597545,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389767.5975897,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389767.5976307,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389767.597683,1331555,1331513,0.0,13.08984375,1,0,0,10,15
1789389768.6038566,1331513,1331511,98.4,1569.578125,72,15896576,4096,118,6
1789389768.6039343,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389768.603985,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389768.6040246,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389768.6040633,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389768.6041088,1331555,1331513,3.0,13.08984375,1,0,0,16,20
1789389769.6096919,1331513,1331511,173.0,1657.125,74,15896576,4096,123,6
1789389769.6097744,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389769.609827,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389769.6098762,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389769.6099203,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389769.609964,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389770.6149685,1331513,1331511,153.2,1657.703125,74,15896576,4096,124,6
1789389770.6150458,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389770.615095,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389770.6151385,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389770.61518,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389770.6152222,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389771.6202261,1331513,1331511,132.3,1660.08203125,74,15896576,4096,124,6
1789389771.620301,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389771.6203492,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389771.620393,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389771.6204345,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389771.6204743,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389772.626646,1331513,1331511,137.1,1660.08203125,74,15896576,4096,124,6
1789389772.6267192,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389772.6267664,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389772.6268115,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389772.6268554,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389772.6269088,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389773.6322696,1331513,1331511,137.2,1660.09375,74,15896576,4096,124,6
1789389773.6323473,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389773.6323972,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389773.6324413,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389773.6324842,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389773.6325266,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389774.6380987,1331513,1331511,138.2,1660.09765625,74,15896576,4096,124,6
1789389774.6382074,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389774.6382663,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389774.6383178,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389774.6383657,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389774.6384108,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389775.6437798,1331513,1331511,138.2,1660.1015625,74,15896576,4096,124,6
1789389775.6438646,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389775.6439173,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389775.6439655,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389775.6440105,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389775.6440527,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389776.6492813,1331513,1331511,148.2,1660.73046875,74,15896576,4096,126,6
1789389776.6493587,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389776.6494088,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389776.6494522,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389776.6494942,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389776.6495354,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389777.6546688,1331513,1331511,120.4,1664.7109375,74,15896576,4096,128,6
1789389777.6547484,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389777.6547987,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389777.6548436,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389777.65489,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389777.6549337,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389778.6602461,1331513,1331511,99.4,1664.7109375,74,15896576,4096,128,6
1789389778.660324,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389778.660372,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389778.6604154,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389778.6604574,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389778.6604981,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389779.6658394,1331513,1331511,101.4,1664.7109375,74,15896576,4096,128,6
1789389779.665919,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389779.6659687,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389779.6661243,1331551,1331513,0.0,13.0546875,1,0,0,10,4
1789389779.6661806,1331553,1331513,0.0,13.0546875,1,0,0,10,1
1789389779.6662261,1331555,1331513,0.0,13.08984375,1,0,0,18,23
1789389780.6714473,1331513,1331511,99.4,1664.734375,74,15896576,8192,131,6
1789389780.6715233,1331547,1331513,0.0,12.81640625,1,0,0,10,3
1789389780.671571,1331549,1331513,0.0,13.0859375,1,0,0,10,3
1789389780.6716135,1331551,1331513,0.0,13.0546875,1,0,0,10,4
