timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 20:48:08.876, 1306, 28, 6, 57, 10.74, 1020, 7001
2026/09/14 20:48:09.880, 2007, 13, 4, 57, 11.50, 1890, 7001
2026/09/14 20:48:10.881, 3007, 37, 18, 59, 29.36, 2280, 8001
2026/09/14 20:48:11.881, 4882, 17, 5, 59, 24.11, 2280, 8001
2026/09/14 20:48:12.881, 5007, 81, 18, 66, 46.12, 2580, 8001
2026/09/14 20:48:13.882, 5069, 36, 8, 63, 40.50, 2580, 8001
2026/09/14 20:48:14.882, 5069, 35, 8, 65, 44.15, 2580, 8001
2026/09/14 20:48:15.882, 5039, 12, 3, 62, 38.86, 2580, 8001
2026/09/14 20:48:16.882, 5039, 100, 66, 66, 46.95, 2250, 8001
2026/09/14 20:48:17.883, 5224, 42, 9, 64, 44.49, 2580, 8001
2026/09/14 20:48:18.884, 5180, 96, 54, 69, 46.65, 2475, 8001
2026/09/14 20:48:19.884, 5072, 98, 51, 68, 54.78, 2295, 8001
2026/09/14 20:48:20.884, 5069, 100, 60, 69, 49.59, 2190, 8001
2026/09/14 20:48:21.884, 5081, 99, 52, 69, 54.77, 2460, 8001
2026/09/14 20:48:22.885, 5078, 61, 26, 68, 53.60, 2505, 8001
2026/09/14 20:48:23.885, 5069, 36, 7, 66, 38.92, 2565, 8001
2026/09/14 20:48:24.885, 5067, 48, 11, 69, 41.81, 2565, 8001
2026/09/14 20:48:25.886, 5067, 32, 6, 67, 38.04, 2565, 8001
2026/09/14 20:48:26.886, 5037, 100, 49, 70, 41.47, 2100, 8001
2026/09/14 20:48:27.886, 5037, 39, 8, 67, 38.30, 2565, 8001
2026/09/14 20:48:28.887, 5037, 42, 10, 68, 41.26, 2565, 8001
2026/09/14 20:48:29.887, 5031, 37, 8, 69, 48.21, 2565, 8001
2026/09/14 20:48:30.888, 5083, 47, 11, 69, 35.26, 2565, 8001
2026/09/14 20:48:31.888, 5138, 44, 12, 69, 36.92, 2565, 8001
2026/09/14 20:48:32.888, 5276, 44, 11, 69, 40.96, 2565, 8001
2026/09/14 20:48:33.889, 5299, 27, 6, 69, 40.44, 2565, 8001
2026/09/14 20:48:34.889, 5141, 99, 52, 72, 51.47, 2445, 8001
