unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789390542.3395,1350553,1350551,,12.33203125,34,0,0,6,2
1789390543.3451202,1350553,1350551,90.5,923.953125,71,0,4096,30,3
1789390543.345211,1350586,1350553,,13.05859375,1,0,0,7,6
1789390543.3452618,1350589,1350553,,9.8515625,1,0,0,2,0
1789390543.3453097,1350591,1350553,,9.91796875,1,0,0,2,0
1789390543.3453553,1350593,1350553,,9.96875,1,0,0,2,1
1789390543.3453982,1350595,1350553,,13.2421875,1,0,0,9,5
1789390544.3505557,1350553,1350551,86.5,1605.25,71,0,4096,68,6
1789390544.3506365,1350586,1350553,1.0,13.0390625,1,0,0,10,7
1789390544.3506858,1350589,1350553,3.0,13.2421875,1,0,0,10,2
1789390544.3507295,1350591,1350553,3.0,13.27734375,1,0,0,10,3
1789390544.3507738,1350593,1350553,4.0,13.26171875,1,0,0,10,2
1789390544.3508253,1350595,1350553,0.0,13.2421875,1,0,0,10,5
1789390545.3562167,1350553,1350551,103.4,1779.76171875,74,0,4096,111,6
1789390545.3562946,1350586,1350553,0.0,13.0390625,1,0,0,10,7
1789390545.3563452,1350589,1350553,0.0,13.2421875,1,0,0,10,2
1789390545.3563912,1350591,1350553,0.0,13.27734375,1,0,0,10,3
1789390545.3564363,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390545.356483,1350595,1350553,3.0,13.2421875,1,0,0,18,7
1789390546.3626654,1350553,1350551,129.2,1843.015625,74,0,4096,114,6
1789390546.3627632,1350586,1350553,0.0,13.0390625,1,0,0,10,7
1789390546.3628263,1350589,1350553,0.0,13.2421875,1,0,0,10,2
1789390546.3629029,1350591,1350553,0.0,13.27734375,1,0,0,10,3
1789390546.3629591,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390546.3630123,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390547.3685057,1350553,1350551,101.4,1850.1484375,74,0,8192,138,7
1789390547.3685908,1350586,1350553,0.0,13.0390625,1,0,0,10,7
1789390547.3686466,1350589,1350553,0.0,13.2421875,1,0,0,10,2
1789390547.3686957,1350591,1350553,0.0,13.27734375,1,0,0,10,3
1789390547.3687418,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390547.3687866,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390548.374038,1350553,1350551,117.4,1872.484375,74,0,8192,176,9
1789390548.374115,1350586,1350553,4.0,13.0390625,1,0,0,18,9
1789390548.374163,1350589,1350553,0.0,13.2421875,1,0,0,10,2
1789390548.3742063,1350591,1350553,0.0,13.27734375,1,0,0,10,3
1789390548.3742478,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390548.374289,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390549.3794184,1350553,1350551,109.4,1872.51953125,74,0,8192,182,9
1789390549.379488,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390549.37953,1350589,1350553,2.0,17.0859375,1,0,0,14,6
1789390549.379569,1350591,1350553,2.0,15.64453125,1,0,0,12,3
1789390549.379607,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390549.3796432,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390550.3852925,1350553,1350551,93.5,1955.64453125,74,0,8192,182,9
1789390550.385377,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390550.3854313,1350589,1350553,81.5,36.19140625,1,0,0,176,28
1789390550.3854823,1350591,1350553,61.6,22.3359375,1,0,0,141,14
1789390550.38553,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390550.3855774,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390551.3909755,1350553,1350551,149.2,1973.421875,76,0,8192,182,9
1789390551.391059,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390551.391113,1350589,1350553,80.5,50.96484375,1,0,0,377,45
1789390551.391164,1350591,1350553,8.0,22.33984375,1,0,0,145,21
1789390551.3912125,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390551.3912573,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390552.3967457,1350553,1350551,183.9,2181.78125,78,0,8192,182,9
1789390552.396829,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390552.3968952,1350589,1350553,69.6,54.09375,1,0,0,654,61
1789390552.3969498,1350591,1350553,6.0,22.33984375,1,0,0,149,21
1789390552.397001,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390552.397049,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390553.4028823,1350553,1350551,163.0,2281.9609375,78,0,8192,182,9
1789390553.4029691,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390553.4030225,1350589,1350553,31.8,77.09765625,1,0,0,667,65
1789390553.4030735,1350591,1350553,0.0,22.33984375,1,0,0,149,21
1789390553.403122,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390553.403168,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390554.408292,1350553,1350551,153.2,2322.70703125,78,0,8192,182,9
1789390554.408369,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390554.408418,1350589,1350553,7.0,77.09765625,1,0,0,672,70
1789390554.4084651,1350591,1350553,6.0,22.33984375,1,0,0,153,40
1789390554.4085097,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390554.4085522,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390555.4136853,1350553,1350551,149.2,2333.84375,78,0,8192,182,9
1789390555.4137626,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390555.4138105,1350589,1350553,0.0,77.09765625,1,0,0,672,70
1789390555.4138577,1350591,1350553,8.0,22.33984375,1,0,0,159,65
1789390555.4138997,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390555.413941,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390556.4193583,1350553,1350551,167.1,2343.6484375,78,0,8192,182,9
1789390556.4194381,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390556.4194887,1350589,1350553,0.0,77.09765625,1,0,0,672,70
1789390556.419534,1350591,1350553,17.9,51.0,1,0,0,169,112
1789390556.4195774,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390556.4196208,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390557.4255276,1350553,1350551,128.2,2359.03515625,78,0,8192,182,9
1789390557.4256177,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390557.4256768,1350589,1350553,0.0,77.09765625,1,0,0,672,70
1789390557.4257278,1350591,1350553,0.0,51.0,1,0,0,170,112
1789390557.4257734,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390557.4258192,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390558.4312408,1350553,1350551,124.3,2359.03515625,78,0,8192,182,9
1789390558.431321,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390558.4313736,1350589,1350553,0.0,77.09765625,1,0,0,672,70
1789390558.431423,1350591,1350553,0.0,51.0,1,0,0,170,112
1789390558.431469,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390558.431513,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390559.4373393,1350553,1350551,136.2,2359.2734375,78,0,8192,182,9
1789390559.4374256,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390559.4374826,1350589,1350553,2.0,77.09765625,1,0,0,674,70
1789390559.4375334,1350591,1350553,0.0,51.0,1,0,0,170,112
1789390559.4375818,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390559.4376295,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390560.4430768,1350553,1350551,145.2,2359.90234375,78,0,8192,182,9
1789390560.443154,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390560.4432032,1350589,1350553,7.0,77.09765625,1,0,0,678,79
1789390560.4432504,1350591,1350553,0.0,51.0,1,0,0,170,112
1789390560.4432943,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390560.4433362,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390561.451847,1350553,1350551,163.6,2359.90234375,78,0,8192,182,9
1789390561.4520218,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390561.4521341,1350589,1350553,12.9,77.09765625,1,0,0,686,95
1789390561.4522352,1350591,1350553,0.0,51.0,1,0,0,170,112
1789390561.452331,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390561.4524214,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390562.4584422,1350553,1350551,115.2,2359.9609375,78,0,8192,182,9
1789390562.458534,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390562.4585938,1350589,1350553,0.0,77.09765625,1,0,0,686,95
1789390562.4586482,1350591,1350553,0.0,51.0,1,0,0,170,112
1789390562.4586995,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390562.458752,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390563.4644082,1350553,1350551,128.2,2360.171875,78,0,8192,182,9
1789390563.4644926,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390563.4645462,1350589,1350553,0.0,77.09765625,1,0,0,686,95
1789390563.4645965,1350591,1350553,4.0,51.0,1,0,0,172,112
1789390563.464643,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390563.4646888,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390564.4705808,1350553,1350551,111.3,2360.69921875,78,0,8192,182,9
1789390564.4706755,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390564.4707332,1350589,1350553,0.0,77.09765625,1,0,0,686,95
1789390564.4707854,1350591,1350553,0.0,51.0,1,0,0,172,112
1789390564.470835,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390564.4708867,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390565.4771128,1350553,1350551,120.2,2361.0546875,78,0,8192,182,9
1789390565.477206,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390565.4772658,1350589,1350553,0.0,77.09765625,1,0,0,686,95
1789390565.4773214,1350591,1350553,1.0,51.0,1,0,0,173,118
1789390565.4773746,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390565.4774268,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390566.48268,1350553,1350551,151.2,2379.81640625,78,0,8192,182,9
1789390566.4827633,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390566.4828157,1350589,1350553,0.0,77.09765625,1,0,0,686,95
1789390566.4828653,1350591,1350553,4.0,51.0,1,0,0,178,125
1789390566.48291,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390566.4829538,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390567.488398,1350553,1350551,114.3,2379.82421875,78,0,8192,182,9
1789390567.4884834,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390567.488538,1350589,1350553,0.0,77.09765625,1,0,0,686,95
1789390567.488589,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390567.4886367,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390567.4886813,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390568.494516,1350553,1350551,159.0,2387.26171875,78,0,8192,182,9
1789390568.494611,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390568.4946733,1350589,1350553,11.9,77.09765625,1,0,0,693,97
1789390568.494731,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390568.494786,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390568.4948404,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390569.5005214,1350553,1350551,145.1,2387.3203125,78,0,8192,182,9
1789390569.5005996,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390569.5006502,1350589,1350553,1.0,77.09765625,1,0,0,694,97
1789390569.5006976,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390569.5007432,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390569.500785,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390570.5063143,1350553,1350551,181.9,2387.35546875,78,0,8192,182,9
1789390570.5064008,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390570.5064566,1350589,1350553,17.9,77.09765625,1,0,0,704,103
1789390570.5065062,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390570.5065536,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390570.5066001,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390571.5121057,1350553,1350551,165.0,2387.73046875,78,0,8192,182,9
1789390571.5121899,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390571.5122452,1350589,1350553,3.0,77.09765625,1,0,0,706,103
1789390571.5122957,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390571.512343,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390571.5123892,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390572.5178378,1350553,1350551,140.2,2387.7421875,78,0,8192,182,9
1789390572.5179214,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390572.5179744,1350589,1350553,2.0,77.09765625,1,0,0,708,103
1789390572.518023,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390572.5180676,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390572.5181117,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390573.5239573,1350553,1350551,111.3,2388.54296875,78,0,8192,182,9
1789390573.5240488,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390573.5241086,1350589,1350553,0.0,77.09765625,1,0,0,708,103
1789390573.524163,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390573.5242157,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390573.524265,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390574.529725,1350553,1350551,122.3,2398.37890625,78,0,8192,182,9
1789390574.5298061,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390574.529861,1350589,1350553,0.0,77.09765625,1,0,0,708,103
1789390574.529907,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390574.5299509,1350593,1350553,0.0,13.26171875,1,0,0,10,2
1789390574.529994,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390575.5360906,1350553,1350551,162.0,2374.94921875,78,0,23875584,183,9
1789390575.5361843,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390575.5362453,1350589,1350553,7.0,77.09765625,1,0,0,713,103
1789390575.536302,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390575.5363543,1350593,1350553,15.9,35.78515625,1,0,0,45,14
1789390575.536407,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390576.54189,1350553,1350551,148.1,2404.05859375,78,0,23875584,183,9
1789390576.5419717,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390576.5420256,1350589,1350553,1.0,77.09765625,1,0,0,714,103
1789390576.5420728,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390576.5421164,1350593,1350553,19.9,24.81640625,1,0,0,57,27
1789390576.54216,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390577.5472507,1350553,1350551,158.2,2408.73828125,78,0,23875584,183,9
1789390577.5473273,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390577.5473764,1350589,1350553,6.0,77.09765625,1,0,0,718,105
1789390577.5474236,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390577.5474672,1350593,1350553,7.0,24.81640625,1,0,0,61,29
1789390577.5475109,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390578.553246,1350553,1350551,160.0,2416.40625,78,0,23875584,183,9
1789390578.5533245,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390578.5533745,1350589,1350553,12.9,77.09765625,1,0,0,726,107
1789390578.55342,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390578.5534642,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390578.5535088,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390579.5590842,1350553,1350551,171.0,2429.20703125,78,0,23875584,183,9
1789390579.5591679,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390579.5592237,1350589,1350553,16.9,77.09765625,1,0,0,737,112
1789390579.5592759,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390579.5593252,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390579.559372,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390580.5647492,1350553,1350551,158.1,2440.3125,78,0,23875584,183,9
1789390580.564831,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390580.5648873,1350589,1350553,15.9,77.09765625,1,0,0,748,116
1789390580.5649366,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390580.5649855,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390580.5650322,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390581.5722802,1350553,1350551,158.8,2440.3125,78,0,23879680,183,9
1789390581.5723686,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390581.5724268,1350589,1350553,10.9,77.09765625,1,0,0,755,143
1789390581.5724802,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390581.5725322,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390581.5725808,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390582.5792274,1350553,1350551,241.3,2440.375,78,0,23879680,183,9
1789390582.5793226,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390582.5793877,1350589,1350553,11.9,77.09765625,1,0,0,764,144
1789390582.5794473,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390582.5795035,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390582.579559,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390583.5857537,1350553,1350551,242.4,2440.375,78,0,23879680,183,9
1789390583.5858464,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390583.5859118,1350589,1350553,14.9,77.09765625,1,0,0,776,144
1789390583.5859694,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390583.5860255,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390583.5860808,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390584.5922322,1350553,1350551,238.5,2440.375,78,0,23879680,183,9
1789390584.592329,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390584.5923922,1350589,1350553,14.9,77.09765625,1,0,0,787,146
1789390584.5924513,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390584.5925066,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390584.5925624,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390585.5979912,1350553,1350551,243.6,2458.359375,79,0,23879680,183,9
1789390585.5980735,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390585.598127,1350589,1350553,7.0,77.09765625,1,0,0,793,149
1789390585.5981758,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390585.5982218,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390585.5982666,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390586.6036413,1350553,1350551,116.3,2472.36328125,79,0,23879680,183,9
1789390586.603721,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390586.6037722,1350589,1350553,0.0,77.09765625,1,0,0,793,149
1789390586.60382,1350591,1350553,0.0,51.0,1,0,0,178,125
1789390586.6038668,1350593,1350553,0.0,24.81640625,1,0,0,61,29
1789390586.603911,1350595,1350553,0.0,13.2421875,1,0,0,18,7
1789390587.6098022,1350553,1350551,123.2,2472.37109375,79,0,23879680,183,9
1789390587.6098967,1350586,1350553,0.0,13.0390625,1,0,0,18,9
1789390587.6099563,1350589,1350553,0.0,77.09765625,1,0,0,793,149
