case,file,stage,count,total_ms,max_ms
clean/batch-1,2403.01632v4.pdf,DocumentContext,1,2.762416,2.762416
clean/batch-1,2403.01632v4.pdf,LayoutInference,47,4778.337581,265.025352
clean/batch-1,2403.01632v4.pdf,LayoutPostprocess,47,0.6975529999999999,0.050001
clean/batch-1,2403.01632v4.pdf,LayoutPreprocess,47,997.763942,33.327695
clean/batch-1,2403.01632v4.pdf,LayoutQueue,47,9148.039497000003,450.58173800000003
clean/batch-1,2403.01632v4.pdf,LayoutReadback,47,0.19919,0.008268
clean/batch-1,2403.01632v4.pdf,LinkValidate,1,14.915825,14.915825
clean/batch-1,2403.01632v4.pdf,Ocr,13,97989.576662,12945.409853
clean/batch-1,2403.01632v4.pdf,OcrDecode,417,2.1189640000000005,0.085104
clean/batch-1,2403.01632v4.pdf,OcrDetectionInference,13,2238.719886,204.850316
clean/batch-1,2403.01632v4.pdf,OcrDetectionPostprocess,13,136.775678,14.523161
clean/batch-1,2403.01632v4.pdf,OcrDetectionPreprocess,13,635.327332,54.076003
clean/batch-1,2403.01632v4.pdf,OcrOrientationInference,417,2349.979641,166.620076
clean/batch-1,2403.01632v4.pdf,OcrQueue,860,77004.79076499982,10162.523766
clean/batch-1,2403.01632v4.pdf,OcrReadback,847,1153.6583830000002,12.002627
clean/batch-1,2403.01632v4.pdf,OcrRecognitionInference,417,13828.815185999987,448.900721
clean/batch-1,2403.01632v4.pdf,OcrRecognitionPreprocess,834,401.8087649999996,3.219727
clean/batch-1,2403.01632v4.pdf,ParseTotal,1,28407.910829,28407.910829
clean/batch-1,2403.01632v4.pdf,PdfOpen,1,0.5165649999999999,0.5165649999999999
clean/batch-1,2403.01632v4.pdf,PdfRender,47,844.4491610000003,61.379324
clean/batch-1,2403.01632v4.pdf,PdfiumQueue,1,0.000598,0.000598
clean/batch-1,2403.01632v4.pdf,TableRules,7,4.3665910000000006,1.270941
clean/batch-1,2403.01632v4.pdf,TextExtract,47,561.639902,18.438384
clean/batch-1,2403.01632v4.pdf,TextFinish,94,702.098486,37.136326999999994
clean/batch-1,2403.01632v4.pdf,TextPrepare,47,3.059139,0.114032
clean/batch-1,2303.18223v16.pdf,DocumentContext,1,14.171291,14.171291
clean/batch-1,2303.18223v16.pdf,LayoutInference,144,12900.276623999993,229.85307799999998
clean/batch-1,2303.18223v16.pdf,LayoutPostprocess,144,2.032576,0.035945000000000005
clean/batch-1,2303.18223v16.pdf,LayoutPreprocess,144,3170.193321,32.50472
clean/batch-1,2303.18223v16.pdf,LayoutQueue,144,21393.159759,358.80452099999997
clean/batch-1,2303.18223v16.pdf,LayoutReadback,144,0.5948709999999998,0.011076
clean/batch-1,2303.18223v16.pdf,LinkValidate,1,70.80551799999999,70.80551799999999
clean/batch-1,2303.18223v16.pdf,Ocr,16,158329.532158,16178.465079999998
clean/batch-1,2303.18223v16.pdf,OcrDecode,717,2.9352649999999985,0.13334100000000002
clean/batch-1,2303.18223v16.pdf,OcrDetectionInference,16,2616.134898,234.626072
clean/batch-1,2303.18223v16.pdf,OcrDetectionPostprocess,16,282.239436,22.041655
clean/batch-1,2303.18223v16.pdf,OcrDetectionPreprocess,16,774.67706,58.332021
clean/batch-1,2303.18223v16.pdf,OcrOrientationInference,717,3081.1281679999997,184.65821499999998
clean/batch-1,2303.18223v16.pdf,OcrQueue,1466,133043.477935,14189.537063
clean/batch-1,2303.18223v16.pdf,OcrReadback,1450,1334.8205880000003,8.326982000000001
clean/batch-1,2303.18223v16.pdf,OcrRecognitionInference,717,16337.095773000014,570.186062
clean/batch-1,2303.18223v16.pdf,OcrRecognitionPreprocess,1434,463.1040869999994,2.545197
clean/batch-1,2303.18223v16.pdf,ParseTotal,1,49287.335929,49287.335929
clean/batch-1,2303.18223v16.pdf,PdfOpen,1,0.7652450000000001,0.7652450000000001
clean/batch-1,2303.18223v16.pdf,PdfRender,144,2513.955321,108.735127
clean/batch-1,2303.18223v16.pdf,PdfiumQueue,1,0.006537,0.006537
clean/batch-1,2303.18223v16.pdf,TableExternal,1,1317.864844,1317.864844
clean/batch-1,2303.18223v16.pdf,TableFill,1,1.565973,1.565973
clean/batch-1,2303.18223v16.pdf,TableRules,24,44.16528699999999,4.814145
clean/batch-1,2303.18223v16.pdf,TextExtract,144,2924.4093369999996,31.782617
clean/batch-1,2303.18223v16.pdf,TextFinish,288,6240.610807000003,143.80891100000002
clean/batch-1,2303.18223v16.pdf,TextPrepare,144,17.550502,0.295953
clean/batch-1,2303.18223v16.pdf,TsrInference,5,1307.8275720000001,1020.296227
clean/batch-1,2303.18223v16.pdf,TsrPostprocess,5,0.213843,0.106627
clean/batch-1,2303.18223v16.pdf,TsrPreprocess,5,5.505938,2.236987
clean/batch-1,2303.18223v16.pdf,TsrQueue,5,0.742221,0.175352
clean/batch-1,2410.05779v3.pdf,DocumentContext,1,1.019947,1.019947
clean/batch-1,2410.05779v3.pdf,LayoutInference,16,1195.076418,77.905162
clean/batch-1,2410.05779v3.pdf,LayoutPostprocess,16,0.21813000000000002,0.027583
clean/batch-1,2410.05779v3.pdf,LayoutPreprocess,16,327.759605,28.472943
clean/batch-1,2410.05779v3.pdf,LayoutQueue,16,2794.46916,208.498258
clean/batch-1,2410.05779v3.pdf,LayoutReadback,16,0.091695,0.008607
clean/batch-1,2410.05779v3.pdf,LinkValidate,1,6.291769,6.291769
clean/batch-1,2410.05779v3.pdf,Ocr,5,70576.715783,17825.550869000002
clean/batch-1,2410.05779v3.pdf,OcrDecode,291,1.9304720000000015,0.030484
clean/batch-1,2410.05779v3.pdf,OcrDetectionInference,5,788.596436,212.997635
clean/batch-1,2410.05779v3.pdf,OcrDetectionPostprocess,5,55.334765000000004,15.766134000000001
clean/batch-1,2410.05779v3.pdf,OcrDetectionPreprocess,5,265.978911,66.104569
clean/batch-1,2410.05779v3.pdf,OcrOrientationInference,291,1059.2212009999992,68.56656899999999
clean/batch-1,2410.05779v3.pdf,OcrQueue,592,52327.25204,12952.146429999999
clean/batch-1,2410.05779v3.pdf,OcrReadback,587,1653.8406089999994,16.230362000000003
clean/batch-1,2410.05779v3.pdf,OcrRecognitionInference,291,13765.702095,432.958775
clean/batch-1,2410.05779v3.pdf,OcrRecognitionPreprocess,582,476.4724529999999,4.65654
clean/batch-1,2410.05779v3.pdf,ParseTotal,1,24892.286399,24892.286399
clean/batch-1,2410.05779v3.pdf,PdfOpen,1,0.207683,0.207683
clean/batch-1,2410.05779v3.pdf,PdfRender,16,286.431061,30.599296000000002
clean/batch-1,2410.05779v3.pdf,PdfiumQueue,1,0.0039310000000000005,0.0039310000000000005
clean/batch-1,2410.05779v3.pdf,TableRules,6,9.90711,3.2606520000000003
clean/batch-1,2410.05779v3.pdf,TextExtract,16,178.85570499999997,20.947869
clean/batch-1,2410.05779v3.pdf,TextFinish,32,176.31769800000004,25.40671
clean/batch-1,2410.05779v3.pdf,TextPrepare,16,0.9607219999999997,0.108208
clean/batch-1,2412.05210v1.pdf,DocumentContext,1,32.88704499999999,32.88704499999999
clean/batch-1,2412.05210v1.pdf,LayoutInference,12,1063.770018,121.574872
