ocr_mode,concurrency,file,pages,seconds,parse_seconds,pdf_open_seconds,pdfium_queue_seconds,ocr_pages,ocr_lines,tsr_calls,json_bytes,warnings
ocr-off,2,2403.01632v4.pdf,47,5.030786139,4.950765125,0.000459291,4.91e-07,0,0,0,23446192,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
ocr-off,2,2410.05779v3.pdf,16,2.4495320769999998,2.4210126499999998,0.000318025,3.59e-06,0,0,0,6496318,{}
ocr-off,2,2412.05210v1.pdf,12,2.153520385,2.117339187,0.000470961,4.173999999999999e-06,0,0,0,11668972,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
ocr-off,2,2603.01919v2.pdf,23,7.923723246,7.877243686,0.000541024,3.629e-06,0,0,3,16495162,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-off,2,2303.18223v16.pdf,144,17.901184963,17.600368786,0.000944087,3.805e-06,0,0,5,122564442,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
ocr-off,2,2604.18583v1.pdf,15,2.610968602,2.5786300410000003,0.000217381,3.547e-06,0,0,0,10493117,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
ocr-off,2,2604.21959v1.pdf,3,0.574957796,0.559804627,0.000176987,3.303e-06,0,0,0,806691,{}
ocr-off,2,2604.18584v1.pdf,32,4.336854562,4.279081135,0.000492921,2.978e-06,0,0,2,15187874,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-off,2,2606.17056v1.pdf,25,2.803093561,2.7640562109999998,0.000498412,4.084e-06,0,0,0,9145159,{}
ocr-off,2,2609.04184v1.pdf,8,1.921943073,1.882577975,0.001156863,4.031e-06,0,0,1,5729341,"{""ContentLayoutOverlap"": 1}"
ocr-off,2,2609.04180v1.pdf,23,3.2316023720000002,3.180721992,0.000826703,3.422e-06,0,0,0,12170343,"{""ContentLayoutOverlap"": 3}"
ocr-off,2,2609.04203v1.pdf,20,2.295287086,2.25500765,0.0007206429999999999,7.244e-06,0,0,1,15053812,"{""ContentLayoutOverlap"": 5}"
ocr-off,3,2410.05779v3.pdf,16,1.9827399350000001,1.950074443,0.000504371,2.43e-07,0,0,0,6496318,{}
ocr-off,3,2412.05210v1.pdf,12,2.632427817,2.584833854,0.000315844,2.726e-06,0,0,0,11668972,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
ocr-off,3,2403.01632v4.pdf,47,8.4699579,8.400311137,0.000537196,3.09e-07,0,0,0,23446192,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
ocr-off,3,2604.18583v1.pdf,15,3.317396844,3.268750357,0.000302479,3.164e-06,0,0,0,10493117,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
ocr-off,3,2604.18584v1.pdf,32,8.926300562,8.861302006,0.000490869,3.86e-06,0,0,2,15187874,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-off,3,2603.01919v2.pdf,23,16.330680931,16.272555072,0.000631185,4.296e-06,0,0,3,16495162,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-off,3,2604.21959v1.pdf,3,0.317978256,0.308170239,0.000496324,4.236e-06,0,0,0,806691,{}
ocr-off,3,2303.18223v16.pdf,144,21.588216634,21.249132547,0.000820438,6.558e-06,0,0,5,122564442,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
ocr-off,3,2609.04184v1.pdf,8,3.255378931,3.225862367,0.000779598,2.641e-06,0,0,1,5729341,"{""ContentLayoutOverlap"": 1}"
ocr-off,3,2606.17056v1.pdf,25,4.130707828,4.095763086,0.000482495,4.153e-06,0,0,0,9145159,{}
ocr-off,3,2609.04180v1.pdf,23,4.291321815,4.245690206,0.000635561,2.598e-06,0,0,0,12170343,"{""ContentLayoutOverlap"": 3}"
ocr-off,3,2609.04203v1.pdf,20,2.534648006,2.4903645340000002,0.000790583,4.093e-06,0,0,1,15053812,"{""ContentLayoutOverlap"": 5}"
ocr-off,4,2412.05210v1.pdf,12,2.694587344,2.6576803570000003,0.000420488,4.34e-07,0,0,0,11668972,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
ocr-off,4,2410.05779v3.pdf,16,2.81192443,2.782263377,0.000319242,3.5899999999999997e-07,0,0,0,6496318,{}
ocr-off,4,2604.18583v1.pdf,15,5.083921135,5.0511845,0.000283247,3.212e-06,0,0,0,10493117,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
ocr-off,4,2403.01632v4.pdf,47,11.122241007,11.032524862,0.00043315700000000004,6.09e-07,0,0,0,23446192,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
ocr-off,4,2604.21959v1.pdf,3,0.827089947,0.811252424,0.000486872,4.507e-06,0,0,0,806691,{}
ocr-off,4,2604.18584v1.pdf,32,8.553870899,8.499531545,0.000587684,3.821e-06,0,0,2,15187874,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-off,4,2606.17056v1.pdf,25,5.174980889,5.133675383,0.000456058,4.66e-06,0,0,0,9145159,{}
ocr-off,4,2609.04180v1.pdf,23,4.44592444,4.398181537,0.000645399,3.613e-06,0,0,0,12170343,"{""ContentLayoutOverlap"": 3}"
ocr-off,4,2609.04184v1.pdf,8,9.052305299,9.019552963,0.001039188,3.837e-06,0,0,1,5729341,"{""ContentLayoutOverlap"": 1}"
ocr-off,4,2609.04203v1.pdf,20,5.542209754,5.489218421,0.000776427,3.705e-06,0,0,1,15053812,"{""ContentLayoutOverlap"": 5}"
ocr-off,4,2603.01919v2.pdf,23,23.81149505,23.756584266,0.000500358,1.658e-06,0,0,3,16495162,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-off,4,2303.18223v16.pdf,144,27.005230948,26.670498641000002,0.000781252,3.058e-06,0,0,5,122564442,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
ocr-off,5,2412.05210v1.pdf,12,3.272057979,3.2289427330000002,0.000270029,5.7e-07,0,0,0,11668972,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
ocr-off,5,2410.05779v3.pdf,16,3.395813688,3.3653408369999998,0.000387104,5.49e-07,0,0,0,6496318,{}
ocr-off,5,2604.18583v1.pdf,15,5.580814906,5.541379146,0.000448731,4.347e-06,0,0,0,10493117,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
ocr-off,5,2604.21959v1.pdf,3,1.087489036,1.072489868,0.000479156,3.502e-06,0,0,0,806691,{}
ocr-off,5,2604.18584v1.pdf,32,10.158314907,10.085884951,0.000569932,4.302e-06,0,0,2,15187874,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-off,5,2403.01632v4.pdf,47,14.068894357,13.969934574,0.000527255,2.126e-06,0,0,0,23446192,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
ocr-off,5,2603.01919v2.pdf,23,16.881791023,16.834082763,0.000543212,1.84e-07,0,0,3,16495162,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-off,5,2606.17056v1.pdf,25,7.136718715,7.107303671,0.000731637,5.201e-06,0,0,0,9145159,{}
ocr-off,5,2609.04184v1.pdf,8,4.332782654,4.306449382,0.001064951,7.914e-06,0,0,1,5729341,"{""ContentLayoutOverlap"": 1}"
ocr-off,5,2609.04180v1.pdf,23,5.815816073,5.77219594,0.000797052,5.977e-06,0,0,0,12170343,"{""ContentLayoutOverlap"": 3}"
ocr-off,5,2609.04203v1.pdf,20,9.517222579,9.458709773,0.000675076,4.427e-06,0,0,1,15053812,"{""ContentLayoutOverlap"": 5}"
ocr-off,5,2303.18223v16.pdf,144,26.967513949,26.627344993,0.001075194,2.94e-06,0,0,5,122564442,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
ocr-on,2,2403.01632v4.pdf,47,26.832721446,26.762280138,0.000431215,5.59e-07,13,417,0,23747544,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
ocr-on,2,2303.18223v16.pdf,144,46.807449411,46.470158997,0.00084318,6.714e-06,16,717,5,122683688,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
ocr-on,2,2410.05779v3.pdf,16,23.670231866,23.640606553,0.000204953,4.256e-06,5,291,0,6709934,"{""OcrPartialOverlap"": 28}"
ocr-on,2,2412.05210v1.pdf,12,19.143254558,19.102636863,0.000550724,7.306e-06,6,439,0,11806282,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
ocr-on,2,2604.18583v1.pdf,15,12.434720712,12.401305495999999,0.000305187,3.453e-06,8,100,0,10599141,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
ocr-on,2,2603.01919v2.pdf,23,31.277330598,31.220899119,0.00057661,3.566e-06,10,1101,3,16723841,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-on,2,2604.21959v1.pdf,3,6.534543151,6.526361985,0.000415726,4.385e-06,2,87,0,875582,{}
ocr-on,2,2604.18584v1.pdf,32,39.046833039,38.989804882,0.000400368,3.702e-06,13,882,2,15843826,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-on,2,2606.17056v1.pdf,25,37.932642169,37.897855532,0.000522723,3.511e-06,15,831,0,9183038,"{""OcrPartialOverlap"": 4}"
ocr-on,2,2609.04184v1.pdf,8,14.327426156,14.299420694,0.000716446,2.8719999999999998e-06,5,239,1,5934913,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
ocr-on,2,2609.04180v1.pdf,23,23.585986314,23.547787871,0.000552024,4.032e-06,9,755,0,12356448,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
ocr-on,2,2609.04203v1.pdf,20,6.754421541,6.713099159,0.0005870650000000001,2.893e-06,9,287,1,15110081,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
ocr-on,3,2410.05779v3.pdf,16,25.614820817000002,25.588558243,0.000318135,2.34e-07,5,291,0,6709934,"{""OcrPartialOverlap"": 28}"
ocr-on,3,2403.01632v4.pdf,47,47.35428318,47.28347825,0.000332006,3.46e-07,13,417,0,23747546,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
ocr-on,3,2412.05210v1.pdf,12,36.347882695,36.309485985,0.000462696,4.122e-06,6,439,0,11806276,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
ocr-on,3,2303.18223v16.pdf,144,67.674981285,67.334892341,0.000873695,2.674e-06,16,717,5,122683687,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
ocr-on,3,2604.18583v1.pdf,15,25.216950601,25.182191282,0.000290717,4.071e-06,8,100,0,10599141,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
ocr-on,3,2603.01919v2.pdf,23,41.963430799,41.905960892,0.000535474,4.867e-06,10,1101,3,16723840,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-on,3,2604.21959v1.pdf,3,9.883720576,9.866539049,0.000327074,3.637e-06,2,87,0,875582,{}
ocr-on,3,2604.18584v1.pdf,32,52.373453941,52.314926158,0.000444589,3.003e-06,13,882,2,15843825,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-on,3,2609.04180v1.pdf,23,45.488035334,45.441001776,0.000702445,4.195e-06,9,755,0,12356451,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
ocr-on,3,2609.04184v1.pdf,8,22.897091978,22.870740574,0.000857936,3.111e-06,5,239,1,5934914,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
ocr-on,3,2606.17056v1.pdf,25,55.675627773,55.641194049,0.000387713,3.709e-06,15,831,0,9183038,"{""OcrPartialOverlap"": 4}"
ocr-on,3,2609.04203v1.pdf,20,7.207034756,7.162923915,0.000631752,3.401e-06,9,287,1,15110081,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
ocr-on,4,2410.05779v3.pdf,16,33.144478243,33.1163477,0.000463099,2.42e-07,5,291,0,6709937,"{""OcrPartialOverlap"": 28}"
ocr-on,4,2412.05210v1.pdf,12,38.309190575,38.27347686,0.000437806,2e-07,6,439,0,11806279,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
ocr-on,4,2403.01632v4.pdf,47,69.250176068,69.178243902,0.000547803,2.12e-07,13,417,0,23747544,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
ocr-on,4,2604.18583v1.pdf,15,33.575556375,33.537888495,0.000358641,3.675e-06,8,100,0,10599141,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
ocr-on,4,2303.18223v16.pdf,144,79.238230479,78.89748501,0.000635988,2.8362e-05,16,717,5,122683685,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
ocr-on,4,2603.01919v2.pdf,23,51.670059625,51.616320299,0.000649234,4.387e-06,10,1101,3,16723840,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-on,4,2604.21959v1.pdf,3,21.851989883999998,21.842364423,0.000592081,3.81e-06,2,87,0,875582,{}
ocr-on,4,2609.04184v1.pdf,8,46.145345509,46.119924516,0.00077925,4.254e-06,5,239,1,5934914,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
ocr-on,4,2609.04180v1.pdf,23,57.524506075,57.486621978,0.000712172,4.127e-06,9,755,0,12356448,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
ocr-on,4,2604.18584v1.pdf,32,75.266713736,75.212585522,0.000591509,3.399e-06,13,882,2,15843832,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-on,4,2606.17056v1.pdf,25,72.244655994,72.210566139,0.000685418,5.074e-06,15,831,0,9183038,"{""OcrPartialOverlap"": 4}"
ocr-on,4,2609.04203v1.pdf,20,13.171270623,13.124184402,0.00084553,7.334e-06,9,287,1,15110083,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
ocr-on,5,2410.05779v3.pdf,16,37.853532751,37.822481492,0.000348096,2.75e-07,5,291,0,6709935,"{""OcrPartialOverlap"": 28}"
ocr-on,5,2412.05210v1.pdf,12,41.212793431,41.174240633,0.000401665,2.81e-07,6,439,0,11806279,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
ocr-on,5,2603.01919v2.pdf,23,71.235453825,71.183721701,0.000600022,2.47e-07,10,1101,3,16723839,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-on,5,2604.18583v1.pdf,15,43.157270848,43.123744558,0.000484316,3.411e-06,8,100,0,10599140,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
ocr-on,5,2403.01632v4.pdf,47,85.827813733,85.75266359,0.000361267,1.013e-06,13,417,0,23747547,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
ocr-on,5,2604.21959v1.pdf,3,19.679670318,19.664738403,0.000227646,3.814e-06,2,87,0,875582,{}
ocr-on,5,2303.18223v16.pdf,144,98.113841087,97.755856685,0.001493027,3.431e-06,16,717,5,122683684,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
ocr-on,5,2604.18584v1.pdf,32,90.626883984,90.575447692,0.000510274,3.682e-06,13,882,2,15843825,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
ocr-on,5,2609.04184v1.pdf,8,49.467386398,49.443327862,0.000957095,7.755e-06,5,239,1,5934914,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
ocr-on,5,2609.04180v1.pdf,23,62.505300022,62.461439194,0.000578132,3.776e-06,9,755,0,12356448,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
ocr-on,5,2609.04203v1.pdf,20,51.019423449,50.966321931,0.000773788,4.049e-06,9,287,1,15110081,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
ocr-on,5,2606.17056v1.pdf,25,69.486312834,69.435414748,0.000504014,3.73e-06,15,831,0,9183038,"{""OcrPartialOverlap"": 4}"
