timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 19:16:12.560, 1864, 10, 6, 71, 26.12, 2565, 8001
2026/09/14 19:16:13.565, 2085, 19, 8, 70, 25.83, 1890, 8001
2026/09/14 19:16:14.565, 3160, 98, 53, 71, 34.73, 1890, 8001
2026/09/14 19:16:15.565, 3184, 99, 57, 76, 49.17, 2475, 8001
2026/09/14 19:16:16.566, 3184, 100, 57, 75, 53.62, 2145, 8001
2026/09/14 19:16:17.566, 3160, 99, 57, 75, 54.72, 2265, 8001
2026/09/14 19:16:18.566, 3184, 99, 58, 76, 54.77, 2070, 8001
2026/09/14 19:16:19.566, 3111, 99, 56, 75, 54.62, 2130, 8001
2026/09/14 19:16:20.567, 3137, 100, 59, 76, 62.72, 2340, 8001
2026/09/14 19:16:21.567, 3160, 98, 57, 78, 64.62, 2325, 8001
2026/09/14 19:16:22.567, 3160, 99, 62, 77, 63.41, 2460, 8001
2026/09/14 19:16:23.568, 3184, 99, 60, 79, 64.22, 2475, 8001
2026/09/14 19:16:24.568, 3136, 99, 53, 76, 58.54, 2070, 8001
2026/09/14 19:16:25.568, 3111, 99, 57, 76, 54.80, 2265, 8001
2026/09/14 19:16:26.569, 3160, 99, 56, 77, 63.62, 2265, 8001
2026/09/14 19:16:27.569, 3196, 98, 58, 80, 62.67, 2415, 8001
2026/09/14 19:16:28.569, 3196, 100, 57, 78, 64.86, 2460, 8001
2026/09/14 19:16:29.570, 3172, 99, 56, 78, 64.92, 2325, 8001
2026/09/14 19:16:30.570, 3197, 99, 60, 79, 62.59, 2490, 8001
2026/09/14 19:16:31.570, 3124, 99, 57, 78, 63.07, 2295, 8001
2026/09/14 19:16:32.570, 3191, 98, 59, 80, 62.89, 2475, 8001
2026/09/14 19:16:33.571, 3166, 100, 55, 78, 63.00, 2385, 8001
2026/09/14 19:16:34.571, 3142, 98, 56, 78, 63.33, 2250, 8001
2026/09/14 19:16:35.572, 3142, 99, 60, 80, 62.39, 2385, 8001
2026/09/14 19:16:36.573, 3140, 100, 55, 78, 64.91, 2505, 8001
2026/09/14 19:16:37.576, 3190, 99, 53, 79, 64.67, 2445, 8001
2026/09/14 19:16:38.576, 3160, 99, 57, 78, 56.79, 2160, 8001
2026/09/14 19:16:39.576, 3111, 98, 53, 78, 54.74, 2280, 8001
2026/09/14 19:16:40.579, 3183, 99, 57, 79, 59.78, 2220, 8001
2026/09/14 19:16:41.579, 3184, 46, 8, 75, 49.06, 2565, 8001
2026/09/14 19:16:42.579, 1864, 7, 4, 73, 25.67, 2565, 8001
