unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789384572.5570529,1217558,1215472,,12.5390625,34,0,0,13,1
1789384573.5634162,1217558,1215472,77.5,1054.4375,68,0,4096,61,18
1789384573.5636091,1217591,1217558,,13.01171875,1,0,0,10,16
1789384573.5637443,1217596,1217558,,12.87890625,1,0,0,10,15
1789384573.5638819,1217598,1217558,,13.0859375,1,0,0,10,1
1789384573.5640097,1217601,1217558,,12.8125,1,0,0,10,5
1789384573.5641365,1217603,1217558,,13.265625,1,0,0,10,17
1789384574.5692601,1217558,1215472,106.4,1401.92578125,71,0,8192,91,18
1789384574.5693364,1217591,1217558,3.0,13.01171875,1,0,0,18,26
1789384574.5693834,1217596,1217558,0.0,12.87890625,1,0,0,10,15
1789384574.5694256,1217598,1217558,0.0,13.0859375,1,0,0,10,1
1789384574.5694668,1217601,1217558,0.0,12.8125,1,0,0,10,5
1789384574.5695078,1217603,1217558,3.0,13.265625,1,0,0,18,25
1789384575.5760026,1217558,1215472,179.8,1680.9453125,72,0,8192,98,18
1789384575.5760956,1217591,1217558,0.0,13.01171875,1,0,0,18,26
1789384575.5761566,1217596,1217558,69.5,32.6875,1,0,0,144,132
1789384575.576213,1217598,1217558,58.6,22.09375,1,0,0,137,35
1789384575.5762668,1217601,1217558,35.8,25.7578125,1,0,0,57,18
1789384575.5763187,1217603,1217558,47.7,67.43359375,1,0,0,87,173
1789384576.5821295,1217558,1215472,192.8,1777.0703125,72,0,8192,98,18
1789384576.582214,1217591,1217558,0.0,13.01171875,1,0,0,18,26
1789384576.5822697,1217596,1217558,80.5,42.42578125,1,0,0,311,221
1789384576.5823221,1217598,1217558,6.0,22.09375,1,0,0,141,36
1789384576.5823703,1217601,1217558,8.0,38.59375,1,0,0,61,28
1789384576.582418,1217603,1217558,4.0,67.43359375,1,0,0,90,173
1789384577.5891485,1217558,1215472,168.8,1803.5625,72,0,18427904,100,18
1789384577.5892518,1217591,1217558,12.9,33.67578125,1,0,0,50,60
1789384577.5893166,1217596,1217558,68.5,48.6015625,1,0,0,625,362
1789384577.5893767,1217598,1217558,8.9,52.4765625,1,0,0,145,48
1789384577.5894334,1217601,1217558,0.0,38.59375,1,0,0,61,28
1789384577.5894883,1217603,1217558,6.0,67.43359375,1,0,0,99,177
1789384578.5969923,1217558,1215472,213.3,1969.13671875,73,0,18427904,100,18
1789384578.597107,1217591,1217558,51.6,90.6640625,1,0,0,101,68
1789384578.5971837,1217596,1217558,36.7,76.82421875,1,0,0,660,374
1789384578.5972536,1217598,1217558,14.9,22.09375,1,0,0,155,62
1789384578.59732,1217601,1217558,0.0,38.59375,1,0,0,61,28
1789384578.5973868,1217603,1217558,71.4,93.22265625,1,0,0,153,268
1789384579.605412,1217558,1215472,175.5,1975.08984375,73,0,18427904,100,18
1789384579.6055362,1217591,1217558,6.9,90.6640625,1,0,0,105,70
1789384579.60562,1217596,1217558,10.9,76.82421875,1,0,0,664,376
1789384579.6056967,1217598,1217558,4.0,22.09375,1,0,0,157,62
1789384579.6057718,1217601,1217558,0.0,38.59375,1,0,0,61,28
1789384579.6058447,1217603,1217558,83.3,102.01953125,1,0,0,156,369
1789384580.613784,1217558,1215472,195.4,1981.6015625,73,0,18427904,100,18
1789384580.6139116,1217591,1217558,8.9,101.4453125,1,0,0,109,74
1789384580.613992,1217596,1217558,10.9,76.82421875,1,0,0,667,379
1789384580.6140661,1217598,1217558,6.0,22.15625,1,0,0,161,64
1789384580.614141,1217601,1217558,0.0,38.59375,1,0,0,61,28
1789384580.6142128,1217603,1217558,93.2,87.75,1,0,0,161,416
