timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 19:25:25.015, 1872, 12, 8, 77, 27.99, 2565, 8001
2026/09/14 19:25:26.021, 2423, 13, 4, 75, 28.44, 1890, 8001
2026/09/14 19:25:27.021, 3382, 8, 4, 75, 22.46, 1890, 8001
2026/09/14 19:25:28.021, 4060, 19, 11, 75, 21.84, 1890, 8001
2026/09/14 19:25:29.022, 5504, 75, 20, 81, 51.78, 2475, 8001
2026/09/14 19:25:30.022, 5598, 41, 21, 82, 48.74, 2520, 8001
2026/09/14 19:25:31.022, 5632, 47, 26, 81, 52.27, 2445, 8001
2026/09/14 19:25:32.022, 5619, 38, 11, 81, 46.10, 2565, 8001
2026/09/14 19:25:33.023, 5591, 95, 53, 83, 62.80, 2340, 8001
2026/09/14 19:25:34.023, 5570, 95, 58, 82, 61.56, 2415, 8001
2026/09/14 19:25:35.023, 5593, 99, 59, 82, 54.52, 2235, 8001
2026/09/14 19:25:36.024, 5568, 95, 53, 80, 54.94, 2010, 8001
2026/09/14 19:25:37.024, 5593, 97, 54, 82, 58.26, 2235, 8001
2026/09/14 19:25:38.025, 5556, 21, 7, 79, 47.82, 2565, 8001
2026/09/14 19:25:39.025, 5550, 20, 7, 79, 36.00, 2565, 8001
2026/09/14 19:25:40.025, 6607, 79, 40, 80, 39.23, 2340, 8001
2026/09/14 19:25:41.025, 6607, 46, 23, 79, 41.89, 2400, 8001
2026/09/14 19:25:42.026, 6574, 21, 7, 78, 47.81, 2565, 8001
2026/09/14 19:25:43.026, 6574, 48, 13, 80, 38.53, 2520, 8001
2026/09/14 19:25:44.026, 6599, 22, 7, 78, 41.36, 2565, 8001
2026/09/14 19:25:45.027, 6599, 100, 59, 81, 45.83, 2040, 8001
2026/09/14 19:25:46.027, 6598, 26, 8, 79, 51.80, 2565, 8001
2026/09/14 19:25:47.027, 6582, 25, 8, 79, 38.99, 2565, 8001
2026/09/14 19:25:48.028, 6607, 24, 8, 79, 53.12, 2565, 8001
2026/09/14 19:25:49.028, 6599, 25, 9, 79, 39.70, 2565, 8001
2026/09/14 19:25:50.028, 6575, 59, 48, 83, 49.55, 2100, 8001
2026/09/14 19:25:51.029, 6574, 100, 76, 83, 48.62, 2130, 8001
2026/09/14 19:25:52.029, 6599, 98, 54, 82, 62.78, 2400, 8001
