unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789385125.0095534,1234588,1220425,,12.56640625,34,0,0,5,0
1789385126.0148475,1234588,1220425,93.5,907.84375,71,0,4096,25,2
1789385126.014936,1234621,1234588,,9.8984375,1,0,0,2,0
1789385126.0149934,1234624,1234588,,9.8125,1,0,0,2,1
1789385126.0150425,1234626,1234588,,11.67578125,1,0,0,3,1
1789385126.0150998,1234628,1234588,,9.87890625,1,0,0,2,2
1789385126.015145,1234630,1234588,,13.16796875,1,0,0,9,1
1789385127.0212462,1234588,1220425,82.5,1587.8828125,71,0,4096,63,5
1789385127.0213382,1234621,1234588,4.0,13.2578125,1,0,0,10,3
1789385127.0213983,1234624,1234588,5.0,13.12109375,1,0,0,10,11
1789385127.0214536,1234626,1234588,4.0,13.0703125,1,0,0,10,3
1789385127.0215073,1234628,1234588,3.0,13.17578125,1,0,0,10,4
1789385127.0215611,1234630,1234588,0.0,13.16796875,1,0,0,10,1
1789385128.0276103,1234588,1220425,102.3,1728.0,74,0,4096,122,10
1789385128.0277011,1234621,1234588,0.0,13.2578125,1,0,0,10,3
1789385128.0277603,1234624,1234588,0.0,13.12109375,1,0,0,10,11
1789385128.0278153,1234626,1234588,0.0,13.0703125,1,0,0,10,3
1789385128.0278735,1234628,1234588,0.0,13.17578125,1,0,0,10,4
1789385128.0279243,1234630,1234588,3.0,13.16796875,1,0,0,18,2
1789385129.0342216,1234588,1220425,136.1,1848.11328125,74,0,4096,127,10
1789385129.034307,1234621,1234588,0.0,13.2578125,1,0,0,10,3
1789385129.034364,1234624,1234588,0.0,13.12109375,1,0,0,10,11
1789385129.034415,1234626,1234588,0.0,13.0703125,1,0,0,10,3
1789385129.0344648,1234628,1234588,0.0,13.17578125,1,0,0,10,4
1789385129.034511,1234630,1234588,0.0,13.16796875,1,0,0,18,2
1789385130.0403337,1234588,1220425,100.4,1852.26171875,74,0,8192,161,12
1789385130.0404193,1234621,1234588,0.0,13.2578125,1,0,0,10,3
1789385130.0404758,1234624,1234588,0.0,13.12109375,1,0,0,10,11
1789385130.0405276,1234626,1234588,0.0,13.0703125,1,0,0,10,3
1789385130.0405784,1234628,1234588,0.0,13.17578125,1,0,0,10,4
1789385130.0406277,1234630,1234588,0.0,13.16796875,1,0,0,18,2
1789385131.0466905,1234588,1220425,118.2,1859.77734375,74,0,8192,199,14
1789385131.046779,1234621,1234588,0.0,13.2578125,1,0,0,10,3
1789385131.0468354,1234624,1234588,0.0,13.12109375,1,0,0,10,11
1789385131.0468903,1234626,1234588,3.0,13.0703125,1,0,0,18,3
1789385131.046943,1234628,1234588,0.0,13.17578125,1,0,0,10,4
1789385131.046994,1234630,1234588,0.0,13.16796875,1,0,0,18,2
1789385132.0587468,1234588,1220425,111.6,1876.2578125,74,0,8192,205,14
1789385132.0589297,1234621,1234588,13.8,19.60546875,1,0,0,34,21
1789385132.0590708,1234624,1234588,13.8,21.40234375,1,0,0,32,15
1789385132.0592036,1234626,1234588,13.8,33.73046875,1,0,0,50,19
1789385132.0593314,1234628,1234588,12.8,22.078125,1,0,0,37,4
1789385132.0594552,1234630,1234588,12.8,28.71484375,1,0,0,56,17
1789385133.065366,1234588,1220425,245.4,2242.65234375,77,0,8192,205,14
1789385133.065452,1234621,1234588,27.8,26.13671875,1,0,0,57,30
1789385133.065507,1234624,1234588,80.5,34.578125,1,0,0,171,57
1789385133.0655582,1234626,1234588,53.7,90.71484375,1,0,0,101,36
1789385133.0656087,1234628,1234588,53.7,22.2265625,1,0,0,137,51
1789385133.065657,1234630,1234588,39.8,67.328125,1,0,0,87,66
1789385134.078235,1234588,1220425,184.6,2335.67578125,77,0,8192,205,14
1789385134.078403,1234621,1234588,8.9,38.95703125,1,0,0,60,44
1789385134.0785303,1234624,1234588,80.0,47.46484375,1,0,0,340,131
1789385134.0786543,1234626,1234588,5.9,90.71484375,1,0,0,105,39
1789385134.0787733,1234628,1234588,5.9,22.2265625,1,0,0,141,60
1789385134.0788937,1234630,1234588,3.9,67.328125,1,0,0,89,66
1789385135.0857992,1234588,1220425,169.7,2434.6015625,77,0,8192,205,14
1789385135.0859025,1234621,1234588,0.0,38.95703125,1,0,0,61,44
1789385135.085968,1234624,1234588,65.5,50.83984375,1,0,0,637,209
1789385135.0860293,1234626,1234588,3.0,90.71484375,1,0,0,107,40
1789385135.086088,1234628,1234588,6.9,22.2265625,1,0,0,145,65
1789385135.0861497,1234630,1234588,0.0,67.328125,1,0,0,89,66
1789385136.0932014,1234588,1220425,136.0,2491.328125,77,0,8192,205,14
1789385136.0933044,1234621,1234588,0.0,38.95703125,1,0,0,61,44
1789385136.0933723,1234624,1234588,29.8,77.015625,1,0,0,658,231
1789385136.0934358,1234626,1234588,0.0,90.71484375,1,0,0,107,40
1789385136.0934951,1234628,1234588,0.0,22.2265625,1,0,0,145,65
1789385136.0935538,1234630,1234588,0.0,67.328125,1,0,0,89,66
1789385137.1008706,1234588,1220425,180.6,2508.046875,77,0,8192,205,14
1789385137.1009798,1234621,1234588,0.0,38.95703125,1,0,0,61,44
1789385137.1010544,1234624,1234588,30.8,77.015625,1,0,0,672,236
1789385137.1011243,1234626,1234588,0.0,90.71484375,1,0,0,107,40
1789385137.1011927,1234628,1234588,0.0,22.2265625,1,0,0,145,65
1789385137.1012568,1234630,1234588,0.0,67.328125,1,0,0,89,66
