timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 22:56:54.503, 1454, 12, 6, 73, 27.42, 2565, 8001
2026/09/14 22:56:55.505, 2114, 13, 4, 72, 18.96, 1890, 8001
2026/09/14 22:56:56.506, 2478, 36, 7, 71, 17.93, 1890, 8001
2026/09/14 22:56:57.506, 3311, 49, 30, 74, 32.53, 2535, 8001
2026/09/14 22:56:58.506, 3317, 100, 55, 76, 51.13, 2145, 8001
2026/09/14 22:56:59.506, 3331, 99, 55, 77, 55.00, 2325, 8001
2026/09/14 22:57:00.507, 3406, 100, 57, 79, 54.60, 2310, 8001
2026/09/14 22:57:01.507, 3344, 99, 57, 79, 54.83, 2160, 8001
2026/09/14 22:57:02.507, 3343, 99, 57, 78, 54.56, 2175, 8001
2026/09/14 22:57:03.508, 3343, 97, 57, 80, 58.99, 2370, 8001
2026/09/14 22:57:04.508, 3343, 98, 58, 80, 65.12, 2325, 8001
2026/09/14 22:57:05.508, 3531, 98, 57, 80, 64.45, 2460, 8001
2026/09/14 22:57:06.508, 3363, 98, 57, 79, 64.48, 2505, 8001
2026/09/14 22:57:07.509, 3349, 99, 56, 78, 64.94, 2370, 8001
2026/09/14 22:57:08.509, 3345, 99, 53, 77, 54.80, 2325, 8001
2026/09/14 22:57:09.509, 3348, 99, 53, 77, 58.46, 2400, 8001
2026/09/14 22:57:10.510, 3331, 99, 54, 78, 59.29, 2265, 8001
2026/09/14 22:57:11.510, 3343, 98, 55, 80, 63.77, 2460, 8001
2026/09/14 22:57:12.511, 3342, 99, 58, 79, 64.10, 2355, 8001
2026/09/14 22:57:13.511, 3342, 98, 55, 79, 64.29, 2505, 8001
2026/09/14 22:57:14.511, 3343, 100, 55, 80, 64.44, 2505, 8001
2026/09/14 22:57:15.511, 3342, 97, 56, 80, 66.16, 2340, 8001
2026/09/14 22:57:16.512, 3335, 99, 57, 80, 57.18, 2385, 8001
2026/09/14 22:57:17.512, 3335, 99, 55, 78, 60.95, 2295, 8001
2026/09/14 22:57:18.512, 3335, 54, 10, 78, 50.95, 2565, 8001
2026/09/14 22:57:19.513, 3335, 99, 57, 79, 65.44, 2100, 8001
2026/09/14 22:57:20.513, 3335, 99, 56, 80, 54.51, 2175, 8001
2026/09/14 22:57:21.513, 3327, 98, 54, 78, 60.16, 2175, 8001
2026/09/14 22:57:22.513, 3335, 67, 38, 76, 55.48, 2565, 8001
2026/09/14 22:57:23.514, 3335, 93, 52, 78, 59.84, 2340, 8001
2026/09/14 22:57:24.514, 3335, 100, 58, 81, 64.37, 2445, 8001
2026/09/14 22:57:25.515, 1477, 6, 3, 74, 25.35, 2565, 8001
