unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789397814.4976664,1437277,1437275,,12.7890625,34,0,0,3,2
1789397815.5034723,1437277,1437275,94.4,973.09375,69,0,4096,20,4
1789397815.5035796,1437310,1437277,,15.0234375,1,0,0,4,4
1789397815.5036356,1437313,1437277,,13.1875,1,0,0,2,1
1789397815.5036874,1437315,1437277,,13.19921875,1,0,0,2,0
1789397815.5037415,1437317,1437277,,13.45703125,1,0,0,2,0
1789397815.50379,1437319,1437277,,16.82421875,1,0,0,9,6
1789397816.508946,1437277,1437275,88.5,1594.875,72,0,4096,64,6
1789397816.5090275,1437310,1437277,2.0,16.83984375,1,0,0,11,17
1789397816.509076,1437313,1437277,2.0,16.25,1,0,0,10,16
1789397816.50912,1437315,1437277,3.0,16.26171875,1,0,0,10,9
1789397816.5091643,1437317,1437277,3.0,16.453125,1,0,0,10,0
1789397816.5092063,1437319,1437277,2.0,16.82421875,1,0,0,18,22
1789397817.5156155,1437277,1437275,109.3,1688.0859375,72,0,8192,94,6
1789397817.5157518,1437310,1437277,3.0,16.83984375,1,0,0,19,18
1789397817.5158184,1437313,1437277,28.8,29.875,1,0,0,66,61
1789397817.5158865,1437315,1437277,26.8,26.515625,1,0,0,70,57
1789397817.5159447,1437317,1437277,26.8,42.21484375,1,0,0,52,55
1789397817.516,1437319,1437277,0.0,16.82421875,1,0,0,18,22
1789397818.521384,1437277,1437275,183.9,1806.0703125,73,0,8192,94,6
1789397818.5214663,1437310,1437277,0.0,16.83984375,1,0,0,19,18
1789397818.5215168,1437313,1437277,77.6,45.53515625,1,0,0,218,303
1789397818.5215647,1437315,1437277,37.8,25.30078125,1,0,0,141,91
1789397818.5216098,1437317,1437277,14.9,42.21484375,1,0,0,61,56
1789397818.5216541,1437319,1437277,0.0,16.82421875,1,0,0,18,22
1789397819.5290992,1437277,1437275,178.6,1866.8203125,73,0,6594560,95,6
1789397819.5292025,1437310,1437277,0.0,16.83984375,1,0,0,19,18
1789397819.5292711,1437313,1437277,76.4,53.95703125,1,0,0,444,512
1789397819.529332,1437315,1437277,15.9,32.5703125,1,0,0,150,94
1789397819.5293896,1437317,1437277,0.0,42.21484375,1,0,0,61,56
1789397819.5294454,1437319,1437277,29.8,49.9921875,1,0,0,81,62
1789397820.536088,1437277,1437275,186.7,1999.67578125,74,0,6594560,95,6
1789397820.5361924,1437310,1437277,0.0,16.83984375,1,0,0,19,18
1789397820.5362642,1437313,1437277,63.6,46.00390625,1,0,0,656,571
1789397820.5363293,1437315,1437277,10.9,25.30078125,1,0,0,158,100
1789397820.5363896,1437317,1437277,0.0,42.21484375,1,0,0,61,56
1789397820.5364487,1437319,1437277,23.8,70.9609375,1,0,0,90,73
1789397821.5436838,1437277,1437275,191.5,2050.40625,74,0,6905856,95,6
1789397821.5438013,1437310,1437277,0.0,16.83984375,1,0,0,19,18
1789397821.54389,1437313,1437277,18.9,80.12890625,1,0,0,660,590
1789397821.543964,1437315,1437277,5.0,25.328125,1,0,0,162,100
1789397821.544033,1437317,1437277,0.0,42.21484375,1,0,0,61,56
1789397821.544099,1437319,1437277,0.0,70.9609375,1,0,0,90,73
1789397822.552335,1437277,1437275,208.2,2080.35546875,74,0,18313216,96,6
1789397822.5524669,1437310,1437277,81.3,94.4921875,1,0,0,102,82
1789397822.5525582,1437313,1437277,20.8,80.12890625,1,0,0,667,592
1789397822.552643,1437315,1437277,18.8,53.98828125,1,0,0,169,105
1789397822.5527234,1437317,1437277,0.0,42.21484375,1,0,0,61,56
1789397822.5528011,1437319,1437277,0.0,70.9609375,1,0,0,90,73
1789397823.5609653,1437277,1437275,180.4,2148.19921875,74,0,18313216,96,6
1789397823.5610976,1437310,1437277,7.9,94.4921875,1,0,0,106,84
1789397823.5611877,1437313,1437277,12.9,80.12890625,1,0,0,672,593
1789397823.5612712,1437315,1437277,7.9,53.98828125,1,0,0,175,110
1789397823.5613537,1437317,1437277,0.0,42.21484375,1,0,0,61,56
1789397823.5614328,1437319,1437277,0.0,70.9609375,1,0,0,90,73
1789397824.5686836,1437277,1437275,185.6,2165.890625,74,0,18313216,96,6
1789397824.5687988,1437310,1437277,11.9,105.33203125,1,0,0,111,84
1789397824.5688925,1437313,1437277,6.9,80.12890625,1,0,0,676,619
1789397824.568971,1437315,1437277,3.0,53.98828125,1,0,0,178,110
1789397824.5690453,1437317,1437277,0.0,42.21484375,1,0,0,61,56
1789397824.5691133,1437319,1437277,0.0,70.9609375,1,0,0,90,73
1789397825.5755541,1437277,1437275,184.7,2121.01171875,74,0,41844736,97,6
1789397825.5756557,1437310,1437277,35.8,105.33203125,1,0,0,116,123
1789397825.575723,1437313,1437277,8.9,80.12890625,1,0,0,681,625
1789397825.575785,1437315,1437277,0.0,53.98828125,1,0,0,178,110
1789397825.575844,1437317,1437277,21.9,59.40625,1,0,0,117,62
1789397825.5759068,1437319,1437277,0.0,70.9609375,1,0,0,90,73
1789397826.5820222,1437277,1437275,188.8,2229.8125,75,0,41844736,97,6
1789397826.5821097,1437310,1437277,6.0,97.09375,1,0,0,119,135
1789397826.5821679,1437313,1437277,9.9,80.12890625,1,0,0,688,630
1789397826.5822241,1437315,1437277,0.0,53.98828125,1,0,0,178,110
1789397826.5822783,1437317,1437277,77.5,88.74609375,1,0,0,125,210
1789397826.582327,1437319,1437277,0.0,70.9609375,1,0,0,90,73
1789397827.5888727,1437277,1437275,170.8,2170.97265625,75,0,41844736,97,6
1789397827.588979,1437310,1437277,0.0,97.09375,1,0,0,119,135
1789397827.589043,1437313,1437277,7.9,80.12890625,1,0,0,694,633
1789397827.589102,1437315,1437277,0.0,53.98828125,1,0,0,178,110
1789397827.5891583,1437317,1437277,84.4,67.8671875,1,0,0,133,438
1789397827.589213,1437319,1437277,0.0,70.9609375,1,0,0,90,73
1789397828.5964153,1437277,1437275,205.5,2170.984375,75,0,52408320,98,6
1789397828.5965254,1437310,1437277,0.0,97.09375,1,0,0,119,135
1789397828.5965962,1437313,1437277,12.9,80.12890625,1,0,0,702,635
1789397828.5966635,1437315,1437277,0.0,53.98828125,1,0,0,178,110
1789397828.5967276,1437317,1437277,0.0,67.8671875,1,0,0,133,438
1789397828.59679,1437319,1437277,3.0,71.1484375,1,0,0,95,84
1789397829.6042607,1437277,1437275,203.4,2201.484375,75,0,52408320,98,6
1789397829.6043727,1437310,1437277,0.0,97.09375,1,0,0,119,135
1789397829.60445,1437313,1437277,18.9,80.12890625,1,0,0,713,637
1789397829.6045208,1437315,1437277,0.0,53.98828125,1,0,0,178,110
1789397829.6045868,1437317,1437277,0.0,67.8671875,1,0,0,133,438
1789397829.6046515,1437319,1437277,53.6,71.1484375,1,0,0,172,144
1789397830.612537,1437277,1437275,195.4,2234.73828125,75,0,52408320,98,6
1789397830.6126595,1437310,1437277,0.0,97.09375,1,0,0,119,135
1789397830.6127431,1437313,1437277,13.9,80.12890625,1,0,0,721,643
1789397830.612819,1437315,1437277,0.0,53.98828125,1,0,0,178,110
1789397830.6128962,1437317,1437277,0.0,67.8671875,1,0,0,133,438
1789397830.612966,1437319,1437277,9.9,71.1484375,1,0,0,179,157
1789397831.6222472,1437277,1437275,201.0,2242.1171875,75,0,52408320,98,6
1789397831.6223714,1437310,1437277,0.0,97.09375,1,0,0,119,135
1789397831.622449,1437313,1437277,13.9,80.12890625,1,0,0,729,653
1789397831.6225226,1437315,1437277,0.0,53.98828125,1,0,0,178,110
1789397831.62259,1437317,1437277,0.0,67.8671875,1,0,0,133,438
1789397831.6226573,1437319,1437277,10.9,74.88671875,1,0,0,185,159
1789397832.629389,1437277,1437275,178.7,2298.1875,76,0,52408320,98,6
1789397832.629493,1437310,1437277,0.0,97.09375,1,0,0,119,135
1789397832.6295602,1437313,1437277,11.9,80.12890625,1,0,0,736,658
1789397832.6296222,1437315,1437277,0.0,53.98828125,1,0,0,178,110
1789397832.6296813,1437317,1437277,0.0,67.8671875,1,0,0,133,438
1789397832.629738,1437319,1437277,22.8,84.6328125,1,0,0,193,164
1789397833.6363287,1437277,1437275,170.8,2329.62109375,77,0,52408320,98,6
