timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 22:58:28.822, 1485, 5, 3, 74, 26.04, 2565, 8001
2026/09/14 22:58:29.826, 1979, 6, 3, 72, 17.02, 1920, 8001
2026/09/14 22:58:30.826, 3100, 14, 5, 72, 18.21, 1920, 8001
2026/09/14 22:58:31.826, 3293, 29, 7, 73, 23.43, 2070, 8001
2026/09/14 22:58:32.827, 5443, 30, 15, 72, 23.71, 2070, 8001
2026/09/14 22:58:33.827, 5763, 21, 6, 75, 31.53, 2565, 8001
2026/09/14 22:58:34.827, 6083, 27, 9, 75, 41.39, 2565, 8001
2026/09/14 22:58:35.828, 6083, 68, 41, 77, 49.60, 2535, 8001
2026/09/14 22:58:36.828, 6082, 20, 6, 74, 42.14, 2565, 8001
2026/09/14 22:58:37.828, 6084, 100, 72, 78, 39.33, 1965, 8001
2026/09/14 22:58:38.828, 6083, 19, 8, 75, 51.07, 2565, 8001
2026/09/14 22:58:39.829, 6083, 74, 43, 78, 54.72, 2370, 8001
2026/09/14 22:58:40.829, 6083, 98, 58, 77, 55.11, 2115, 8001
2026/09/14 22:58:41.829, 6083, 68, 39, 77, 53.28, 2565, 8001
2026/09/14 22:58:42.830, 6083, 99, 57, 79, 52.82, 2250, 8001
2026/09/14 22:58:43.830, 6083, 68, 35, 76, 53.50, 2070, 8001
2026/09/14 22:58:44.830, 6083, 44, 22, 76, 45.10, 2565, 8001
2026/09/14 22:58:45.830, 6084, 100, 72, 79, 37.34, 1950, 8001
2026/09/14 22:58:46.831, 6084, 47, 22, 76, 49.03, 2565, 8001
2026/09/14 22:58:47.831, 6071, 99, 57, 78, 46.83, 2295, 8001
2026/09/14 22:58:48.831, 6071, 23, 7, 76, 47.61, 2565, 8001
2026/09/14 22:58:49.831, 6071, 23, 7, 76, 39.39, 2565, 8001
2026/09/14 22:58:50.832, 6067, 29, 9, 76, 34.69, 2565, 8001
2026/09/14 22:58:51.832, 6072, 100, 74, 78, 39.97, 1935, 8001
2026/09/14 22:58:52.832, 6071, 94, 55, 79, 50.00, 2325, 8001
2026/09/14 22:58:53.833, 6072, 25, 7, 75, 36.73, 2565, 8001
2026/09/14 22:58:54.833, 6084, 73, 42, 80, 50.90, 1830, 8001
2026/09/14 22:58:55.833, 6084, 33, 15, 77, 45.35, 2565, 8001
2026/09/14 22:58:56.834, 6234, 96, 55, 78, 50.79, 2040, 8001
2026/09/14 22:58:57.834, 6109, 66, 34, 76, 44.47, 2565, 8001
2026/09/14 22:58:58.834, 6095, 35, 15, 76, 42.21, 2565, 8001
2026/09/14 22:58:59.834, 6093, 68, 32, 79, 39.69, 2295, 8001
2026/09/14 22:59:00.835, 6093, 89, 56, 79, 45.19, 2340, 8001
2026/09/14 22:59:01.835, 6092, 98, 62, 78, 50.79, 2325, 8001
2026/09/14 22:59:02.835, 6090, 96, 51, 79, 54.93, 2265, 8001
2026/09/14 22:59:03.836, 6089, 95, 57, 78, 52.53, 2340, 8001
