unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789398040.9705195,1443791,1443787,,12.8046875,34,0,0,4,0
1789398041.9765239,1443791,1443787,97.4,1095.27734375,72,0,4096,17,0
1789398041.9766226,1443825,1443791,,13.01953125,1,0,0,2,0
1789398041.976679,1443828,1443791,,13.46484375,1,0,0,2,0
1789398041.9767315,1443830,1443791,,13.140625,1,0,0,2,0
1789398041.9767811,1443832,1443791,,13.40234375,1,0,0,2,0
1789398041.9768288,1443834,1443791,,13.37890625,1,0,0,2,0
1789398042.982289,1443791,1443787,78.5,1709.3046875,72,0,4096,62,7
1789398042.9823744,1443825,1443791,4.0,16.14453125,1,0,0,10,15
1789398042.9824288,1443828,1443791,2.0,16.609375,1,0,0,10,14
1789398042.982477,1443830,1443791,4.0,16.515625,1,0,0,10,2
1789398042.9825263,1443832,1443791,3.0,16.71484375,1,0,0,10,9
1789398042.9825747,1443834,1443791,3.0,16.44140625,1,0,0,10,4
1789398043.9880266,1443791,1443787,97.4,1905.8125,72,0,4096,102,7
1789398043.9881096,1443825,1443791,0.0,16.14453125,1,0,0,10,15
1789398043.9881618,1443828,1443791,0.0,16.609375,1,0,0,10,14
1789398043.9882112,1443830,1443791,0.0,16.515625,1,0,0,10,2
1789398043.9882576,1443832,1443791,0.0,16.71484375,1,0,0,10,9
1789398043.988303,1443834,1443791,0.0,16.44140625,1,0,0,10,4
1789398044.9939768,1443791,1443787,122.3,2069.94921875,75,0,4096,116,7
1789398044.9940636,1443825,1443791,0.0,16.14453125,1,0,0,10,15
1789398044.9941187,1443828,1443791,0.0,16.609375,1,0,0,10,14
1789398044.99417,1443830,1443791,0.0,16.515625,1,0,0,10,2
1789398044.9942162,1443832,1443791,0.0,16.71484375,1,0,0,10,9
1789398044.994264,1443834,1443791,3.0,16.44140625,1,0,0,18,18
1789398046.0001874,1443791,1443787,108.3,2099.66796875,75,0,4096,120,7
1789398046.0002785,1443825,1443791,0.0,16.14453125,1,0,0,10,15
1789398046.00034,1443828,1443791,0.0,16.609375,1,0,0,10,14
1789398046.0003924,1443830,1443791,0.0,16.515625,1,0,0,10,2
1789398046.000443,1443832,1443791,0.0,16.71484375,1,0,0,10,9
1789398046.0004914,1443834,1443791,0.0,16.44140625,1,0,0,18,18
1789398047.0064929,1443791,1443787,105.3,2139.140625,75,0,8192,178,7
1789398047.0065727,1443825,1443791,3.0,16.14453125,1,0,0,18,21
1789398047.006627,1443828,1443791,0.0,16.609375,1,0,0,10,14
1789398047.0066736,1443830,1443791,0.0,16.515625,1,0,0,10,2
1789398047.0067174,1443832,1443791,0.0,16.71484375,1,0,0,10,9
1789398047.0067601,1443834,1443791,0.0,16.44140625,1,0,0,18,18
1789398048.0119185,1443791,1443787,117.4,2139.15234375,75,0,8192,184,7
1789398048.011997,1443825,1443791,0.0,16.14453125,1,0,0,18,21
1789398048.0120473,1443828,1443791,0.0,16.609375,1,0,0,10,14
1789398048.0120914,1443830,1443791,0.0,16.515625,1,0,0,10,2
1789398048.0121336,1443832,1443791,0.0,16.71484375,1,0,0,10,9
1789398048.0121748,1443834,1443791,0.0,16.44140625,1,0,0,18,18
1789398049.018419,1443791,1443787,130.2,2207.71875,76,0,8192,186,7
1789398049.0185153,1443825,1443791,0.0,16.14453125,1,0,0,18,21
1789398049.0185764,1443828,1443791,48.7,33.7421875,1,0,0,103,201
1789398049.018633,1443830,1443791,46.7,28.453125,1,0,0,130,99
1789398049.0186875,1443832,1443791,31.8,42.41015625,1,0,0,55,77
1789398049.0187411,1443834,1443791,0.0,16.44140625,1,0,0,18,18
1789398050.0249321,1443791,1443787,185.8,2379.62109375,77,0,8192,186,7
1789398050.025027,1443825,1443791,0.0,16.14453125,1,0,0,18,21
1789398050.0250883,1443828,1443791,79.5,46.13671875,1,0,0,254,545
1789398050.0251448,1443830,1443791,20.9,25.51171875,1,0,0,141,172
1789398050.025198,1443832,1443791,10.9,42.41015625,1,0,0,61,102
1789398050.025251,1443834,1443791,0.0,16.44140625,1,0,0,18,18
1789398051.0311208,1443791,1443787,152.1,2430.16796875,77,0,8192,186,7
1789398051.03121,1443825,1443791,0.0,16.14453125,1,0,0,18,21
1789398051.0312686,1443828,1443791,71.6,54.32421875,1,0,0,509,870
1789398051.0313232,1443830,1443791,7.0,25.51171875,1,0,0,145,187
1789398051.031374,1443832,1443791,0.0,42.41015625,1,0,0,61,102
1789398051.0314233,1443834,1443791,0.0,16.44140625,1,0,0,18,18
1789398052.03682,1443791,1443787,154.1,2530.1015625,77,0,8192,186,7
1789398052.0368986,1443825,1443791,0.0,16.14453125,1,0,0,18,21
1789398052.0369477,1443828,1443791,62.6,80.50390625,1,0,0,662,1202
1789398052.0369928,1443830,1443791,0.0,25.51171875,1,0,0,145,187
1789398052.037034,1443832,1443791,0.0,42.41015625,1,0,0,61,102
1789398052.037076,1443834,1443791,0.0,16.44140625,1,0,0,18,18
1789398053.0435054,1443791,1443787,155.0,2574.48046875,77,0,8192,186,7
1789398053.0435884,1443825,1443791,0.0,16.14453125,1,0,0,18,21
1789398053.0436456,1443828,1443791,19.9,80.50390625,1,0,0,673,1292
1789398053.0436964,1443830,1443791,0.0,25.51171875,1,0,0,145,187
1789398053.0437434,1443832,1443791,0.0,42.41015625,1,0,0,61,102
1789398053.0437877,1443834,1443791,0.0,16.44140625,1,0,0,18,18
1789398054.049516,1443791,1443787,135.2,2603.5546875,79,0,8192,186,7
1789398054.0495987,1443825,1443791,0.0,16.14453125,1,0,0,18,21
1789398054.0496511,1443828,1443791,0.0,80.50390625,1,0,0,673,1292
