timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 22:53:43.121, 1429, 22, 5, 49, 9.22, 390, 6001
2026/09/14 22:53:44.126, 1847, 14, 5, 50, 11.55, 1890, 7001
2026/09/14 22:53:45.126, 2814, 88, 46, 53, 22.09, 2580, 7001
2026/09/14 22:53:46.139, 2821, 100, 54, 56, 34.97, 2400, 8001
2026/09/14 22:53:47.139, 2796, 99, 54, 60, 54.34, 2250, 8001
2026/09/14 22:53:48.139, 2801, 98, 54, 60, 54.77, 2415, 8001
2026/09/14 22:53:49.140, 2797, 99, 56, 60, 55.23, 2415, 8001
2026/09/14 22:53:50.140, 2797, 100, 55, 61, 54.84, 2205, 8001
2026/09/14 22:53:51.140, 2940, 99, 59, 60, 54.66, 2310, 8001
2026/09/14 22:53:52.140, 2940, 99, 60, 62, 60.78, 2520, 8001
2026/09/14 22:53:53.141, 2923, 99, 56, 64, 61.53, 2460, 8001
2026/09/14 22:53:54.141, 2847, 98, 58, 63, 61.98, 2550, 8001
2026/09/14 22:53:55.142, 2817, 98, 57, 64, 62.59, 2550, 8001
2026/09/14 22:53:56.142, 2831, 99, 57, 65, 59.91, 2520, 8001
2026/09/14 22:53:57.142, 2849, 99, 56, 65, 59.91, 2430, 8001
2026/09/14 22:53:58.143, 2793, 98, 59, 65, 62.50, 2520, 8001
2026/09/14 22:53:59.143, 2794, 98, 57, 65, 62.63, 2535, 8001
2026/09/14 22:54:00.143, 2776, 99, 57, 65, 62.94, 2445, 8001
2026/09/14 22:54:01.143, 2775, 99, 59, 67, 62.26, 2490, 8001
2026/09/14 22:54:02.144, 2835, 68, 18, 65, 52.11, 2535, 8001
2026/09/14 22:54:03.144, 2774, 99, 56, 66, 36.79, 2430, 8001
2026/09/14 22:54:04.144, 2776, 99, 57, 66, 55.12, 2160, 8001
2026/09/14 22:54:05.145, 2776, 98, 55, 67, 54.50, 2415, 8001
2026/09/14 22:54:06.145, 2781, 98, 59, 69, 54.95, 2400, 8001
2026/09/14 22:54:07.145, 2781, 97, 53, 67, 54.80, 2310, 8001
2026/09/14 22:54:08.146, 2781, 99, 56, 69, 59.65, 2490, 8001
2026/09/14 22:54:09.146, 2780, 98, 56, 68, 59.52, 2400, 8001
2026/09/14 22:54:10.147, 2780, 42, 17, 66, 59.39, 2565, 8001
2026/09/14 22:54:11.147, 2780, 62, 34, 68, 31.20, 2445, 8001
2026/09/14 22:54:12.147, 2782, 99, 59, 70, 60.94, 2445, 8001
2026/09/14 22:54:13.148, 1462, 6, 4, 64, 32.51, 2580, 8001
