unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789397623.11664,1431904,1431902,,16.99609375,34,0,0,5,0
1789397624.122543,1431904,1431902,74.6,917.12109375,68,0,4096,53,7
1789397624.1226401,1431938,1431904,,16.3359375,1,0,0,10,2
1789397624.12269,1431940,1431904,,16.78125,1,0,0,10,1
1789397624.1227374,1431942,1431904,,16.08203125,1,0,0,10,2
1789397624.1227837,1431944,1431904,,16.7109375,1,0,0,10,2
1789397624.122827,1431946,1431904,,16.8671875,1,0,0,10,3
1789397625.1321979,1431904,1431902,105.0,1405.6171875,71,0,8192,84,9
1789397625.1323397,1431938,1431904,4.0,16.3359375,1,0,0,18,2
1789397625.1324477,1431940,1431904,0.0,16.78125,1,0,0,10,1
1789397625.1325505,1431942,1431904,0.0,16.08203125,1,0,0,10,2
1789397625.1326528,1431944,1431904,0.0,16.7109375,1,0,0,10,2
1789397625.1327534,1431946,1431904,3.0,16.8671875,1,0,0,18,6
1789397626.141303,1431904,1431902,98.1,1510.4453125,71,0,8192,90,9
1789397626.1413786,1431938,1431904,0.0,16.3359375,1,0,0,18,2
1789397626.1414921,1431940,1431904,73.3,39.9765625,1,0,0,179,52
1789397626.1415453,1431942,1431904,53.5,25.109375,1,0,0,142,25
1789397626.1415884,1431944,1431904,0.0,16.7109375,1,0,0,10,2
1789397626.1416304,1431946,1431904,0.0,16.8671875,1,0,0,18,6
1789397627.1508632,1431904,1431902,169.4,1595.52734375,72,0,8192,90,9
1789397627.1509638,1431938,1431904,0.0,16.3359375,1,0,0,18,2
1789397627.1510103,1431940,1431904,76.3,52.50390625,1,0,0,436,65
1789397627.151063,1431942,1431904,18.8,25.109375,1,0,0,157,43
1789397627.1511042,1431944,1431904,0.0,16.7109375,1,0,0,10,2
1789397627.151144,1431946,1431904,0.0,16.8671875,1,0,0,18,6
1789397628.1561122,1431904,1431902,174.1,1768.26171875,73,0,8192,90,9
1789397628.1561852,1431938,1431904,0.0,16.3359375,1,0,0,18,2
1789397628.156231,1431940,1431904,49.7,46.11328125,1,0,0,657,84
1789397628.1562726,1431942,1431904,19.9,53.8125,1,0,0,171,52
1789397628.1563125,1431944,1431904,0.0,16.7109375,1,0,0,10,2
1789397628.156352,1431946,1431904,0.0,16.8671875,1,0,0,18,6
1789397629.1620297,1431904,1431902,152.1,1783.76171875,73,0,8192,90,9
1789397629.162119,1431938,1431904,0.0,16.3359375,1,0,0,18,2
1789397629.162179,1431940,1431904,18.9,80.703125,1,0,0,665,91
1789397629.1622336,1431942,1431904,5.0,53.8125,1,0,0,178,54
1789397629.1622865,1431944,1431904,0.0,16.7109375,1,0,0,10,2
1789397629.1623366,1431946,1431904,0.0,16.8671875,1,0,0,18,6
1789397630.168996,1431904,1431902,154.9,1783.703125,73,0,23576576,91,9
1789397630.1691,1431938,1431904,0.0,16.3359375,1,0,0,18,2
1789397630.1691709,1431940,1431904,17.9,80.703125,1,0,0,673,101
1789397630.169236,1431942,1431904,0.0,53.8125,1,0,0,178,54
1789397630.1692991,1431944,1431904,3.0,20.62890625,1,0,0,14,2
1789397630.1693594,1431946,1431904,0.0,16.8671875,1,0,0,18,6
1789397631.1764252,1431904,1431902,192.6,1841.00390625,73,0,23576576,91,9
1789397631.1765418,1431938,1431904,0.0,16.3359375,1,0,0,18,2
1789397631.1766188,1431940,1431904,18.9,80.703125,1,0,0,684,102
1789397631.1766882,1431942,1431904,0.0,53.8125,1,0,0,178,54
1789397631.1767554,1431944,1431904,32.8,28.26953125,1,0,0,55,6
1789397631.1768222,1431946,1431904,0.0,16.8671875,1,0,0,18,6
1789397632.1838946,1431904,1431902,175.7,1846.5546875,73,0,23576576,91,9
1789397632.1839993,1431938,1431904,0.0,16.3359375,1,0,0,18,2
1789397632.1840684,1431940,1431904,11.9,80.703125,1,0,0,691,103
1789397632.1841316,1431942,1431904,0.0,53.8125,1,0,0,178,54
1789397632.1841912,1431944,1431904,13.9,28.26953125,1,0,0,61,13
1789397632.1842492,1431946,1431904,0.0,16.8671875,1,0,0,18,6
