timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 22:54:14.242, 1461, 12, 6, 64, 24.57, 1890, 8001
2026/09/14 22:54:15.245, 2090, 20, 5, 62, 17.23, 1890, 8001
2026/09/14 22:54:16.245, 3115, 16, 5, 62, 20.75, 1890, 8001
2026/09/14 22:54:17.245, 5143, 15, 6, 63, 19.48, 1890, 8001
2026/09/14 22:54:18.246, 5494, 34, 10, 66, 44.54, 2565, 8001
2026/09/14 22:54:19.246, 5496, 30, 13, 68, 39.24, 2490, 8001
2026/09/14 22:54:20.246, 5558, 39, 15, 67, 45.75, 2565, 8001
2026/09/14 22:54:21.246, 5534, 7, 4, 65, 35.36, 2565, 8001
2026/09/14 22:54:22.247, 5541, 99, 57, 70, 45.57, 2370, 8001
2026/09/14 22:54:23.247, 5541, 33, 13, 70, 43.11, 2070, 8001
2026/09/14 22:54:24.247, 5540, 97, 57, 71, 53.22, 2370, 8001
2026/09/14 22:54:25.248, 5540, 46, 24, 69, 52.84, 2565, 8001
2026/09/14 22:54:26.248, 5540, 99, 58, 72, 50.72, 2340, 8001
2026/09/14 22:54:27.248, 5530, 98, 53, 70, 54.65, 2295, 8001
2026/09/14 22:54:28.249, 5529, 43, 22, 70, 50.18, 2535, 8001
2026/09/14 22:54:29.249, 5529, 25, 7, 69, 36.62, 2565, 8001
2026/09/14 22:54:30.249, 5529, 100, 68, 72, 45.46, 2310, 8001
2026/09/14 22:54:31.249, 5529, 34, 13, 70, 46.77, 2565, 8001
2026/09/14 22:54:32.250, 5529, 47, 23, 70, 49.47, 2535, 8001
2026/09/14 22:54:33.250, 5529, 100, 52, 71, 39.34, 2475, 8001
2026/09/14 22:54:34.250, 5529, 29, 9, 70, 35.67, 2565, 8001
2026/09/14 22:54:35.250, 5529, 37, 11, 70, 35.10, 2130, 8001
2026/09/14 22:54:36.251, 5529, 95, 56, 74, 47.26, 2265, 8001
2026/09/14 22:54:37.251, 5529, 26, 8, 70, 37.83, 2565, 8001
