unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789397654.2370994,1432873,1432871,,16.4453125,33,0,0,4,3
1789397655.2429612,1432873,1432871,86.5,916.25,71,0,4096,36,7
1789397655.2430608,1432907,1432873,,13.23046875,1,0,0,3,0
1789397655.2431188,1432909,1432873,,16.890625,1,0,0,9,9
1789397655.243173,1432911,1432873,,23.65234375,1,0,0,8,10
1789397655.2432258,1432913,1432873,,13.48046875,1,0,0,2,0
1789397655.2432742,1432915,1432873,,16.08203125,1,0,0,9,14
1789397656.2484531,1432873,1432871,86.5,1638.6015625,71,0,4096,78,7
1789397656.2485282,1432907,1432873,2.0,16.2890625,1,0,0,11,4
1789397656.2485738,1432909,1432873,0.0,16.890625,1,0,0,10,9
1789397656.248616,1432911,1432873,0.0,16.31640625,1,0,0,10,14
1789397656.248657,1432913,1432873,3.0,16.54296875,1,0,0,10,11
1789397656.248699,1432915,1432873,0.0,16.08203125,1,0,0,10,14
1789397657.25409,1432873,1432871,110.4,1883.89453125,74,0,4096,111,8
1789397657.2541726,1432907,1432873,0.0,16.2890625,1,0,0,11,4
1789397657.2542248,1432909,1432873,2.0,16.890625,1,0,0,18,23
1789397657.2542744,1432911,1432873,0.0,16.31640625,1,0,0,10,14
1789397657.254323,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397657.2543695,1432915,1432873,0.0,16.08203125,1,0,0,10,14
1789397658.2595963,1432873,1432871,118.3,1914.8984375,74,0,4096,116,8
1789397658.2596695,1432907,1432873,0.0,16.2890625,1,0,0,11,4
1789397658.2597127,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397658.259754,1432911,1432873,0.0,16.31640625,1,0,0,10,14
1789397658.2597923,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397658.2598286,1432915,1432873,0.0,16.08203125,1,0,0,10,14
1789397659.264934,1432873,1432871,96.5,1914.9921875,74,0,8192,160,10
1789397659.2650142,1432907,1432873,0.0,16.2890625,1,0,0,11,4
1789397659.2650657,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397659.2651124,1432911,1432873,0.0,16.31640625,1,0,0,10,14
1789397659.2651556,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397659.2651978,1432915,1432873,0.0,16.08203125,1,0,0,10,14
1789397660.2705607,1432873,1432871,127.3,1956.03515625,74,0,8192,176,12
1789397660.2706394,1432907,1432873,0.0,16.2890625,1,0,0,11,4
1789397660.2706888,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397660.2707336,1432911,1432873,0.0,16.31640625,1,0,0,10,14
1789397660.2707748,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397660.270816,1432915,1432873,2.0,16.08203125,1,0,0,18,27
1789397661.2759368,1432873,1432871,71.6,1972.8828125,74,0,8192,180,12
1789397661.2760158,1432907,1432873,37.8,28.25390625,1,0,0,128,54
1789397661.276066,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397661.2761114,1432911,1432873,40.8,33.4375,1,0,0,106,27
1789397661.2761555,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397661.2761977,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397662.2819633,1432873,1432871,168.0,2092.15625,76,0,8192,180,12
1789397662.2820494,1432907,1432873,24.9,25.34375,1,0,0,146,66
1789397662.282105,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397662.2821553,1432911,1432873,80.5,45.87109375,1,0,0,286,47
1789397662.2822056,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397662.2822542,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397663.2876723,1432873,1432871,162.1,2199.47265625,78,0,8192,180,12
1789397663.2877567,1432907,1432873,7.0,25.34375,1,0,0,150,68
1789397663.2878106,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397663.2878647,1432911,1432873,69.6,54.03125,1,0,0,597,145
1789397663.2879143,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397663.2879608,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397664.293729,1432873,1432871,171.0,2335.2265625,78,0,8192,180,12
1789397664.2938228,1432907,1432873,0.0,25.34375,1,0,0,150,68
1789397664.2938883,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397664.293947,1432911,1432873,47.7,80.20703125,1,0,0,667,157
1789397664.2940018,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397664.2940536,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397665.3004575,1432873,1432871,156.0,2387.50390625,78,0,8192,180,12
1789397665.3005347,1432907,1432873,6.0,25.34375,1,0,0,154,77
1789397665.3005848,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397665.3006315,1432911,1432873,7.9,80.20703125,1,0,0,673,173
1789397665.3006759,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397665.3007174,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397666.3080306,1432873,1432871,153.8,2416.85546875,78,0,8192,180,12
1789397666.3081472,1432907,1432873,9.9,25.35546875,1,0,0,163,107
1789397666.308222,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397666.308293,1432911,1432873,0.0,80.20703125,1,0,0,673,173
1789397666.30836,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397666.3084257,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397667.3135524,1432873,1432871,161.1,2417.85546875,78,0,8192,180,12
1789397667.3136306,1432907,1432873,13.9,54.015625,1,0,0,171,115
1789397667.31368,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397667.3137257,1432911,1432873,0.0,80.20703125,1,0,0,673,173
1789397667.3137708,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397667.3138118,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397668.3190122,1432873,1432871,126.3,2417.86328125,78,0,8192,180,12
1789397668.319084,1432907,1432873,0.0,54.015625,1,0,0,171,115
1789397668.3191357,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397668.3191803,1432911,1432873,0.0,80.20703125,1,0,0,673,173
1789397668.3192215,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397668.3192663,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397669.3251293,1432873,1432871,127.2,2417.8671875,78,0,8192,180,12
1789397669.3252194,1432907,1432873,0.0,54.015625,1,0,0,171,115
1789397669.3252745,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397669.3253238,1432911,1432873,2.0,80.20703125,1,0,0,674,173
1789397669.3253736,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397669.3254204,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397670.3304813,1432873,1432871,138.3,2417.87109375,78,0,8192,180,12
1789397670.33056,1432907,1432873,0.0,54.015625,1,0,0,171,115
1789397670.3306096,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397670.3306556,1432911,1432873,2.0,80.20703125,1,0,0,676,177
1789397670.3306992,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397670.33074,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397671.3394992,1432873,1432871,159.6,2433.265625,78,0,8192,180,12
1789397671.3396282,1432907,1432873,0.0,54.015625,1,0,0,171,115
1789397671.3397171,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397671.339796,1432911,1432873,10.9,80.20703125,1,0,0,684,179
1789397671.3398814,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397671.3399549,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397672.345397,1432873,1432871,136.2,2433.359375,78,0,8192,180,12
1789397672.3454788,1432907,1432873,0.0,54.015625,1,0,0,171,115
1789397672.345531,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397672.345579,1432911,1432873,4.0,80.20703125,1,0,0,687,180
1789397672.345625,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397672.3456683,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397673.3508716,1432873,1432871,124.3,2433.359375,78,0,8192,180,12
1789397673.350954,1432907,1432873,3.0,54.015625,1,0,0,173,116
1789397673.351006,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397673.3510559,1432911,1432873,0.0,80.20703125,1,0,0,687,180
1789397673.3511038,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397673.3511758,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397674.3566413,1432873,1432871,110.4,2434.0546875,78,0,8192,180,12
1789397674.356728,1432907,1432873,0.0,54.015625,1,0,0,173,116
1789397674.35678,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397674.3568294,1432911,1432873,0.0,80.20703125,1,0,0,687,180
1789397674.3568807,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397674.356929,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397675.3620508,1432873,1432871,122.3,2434.13671875,78,0,8192,180,12
1789397675.3621259,1432907,1432873,1.0,54.015625,1,0,0,174,116
1789397675.3621745,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397675.362218,1432911,1432873,0.0,80.20703125,1,0,0,687,180
1789397675.3622587,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397675.3622973,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397676.3675487,1432873,1432871,147.2,2449.5859375,78,0,8192,180,12
1789397676.3676286,1432907,1432873,4.0,54.015625,1,0,0,179,118
1789397676.3676784,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397676.367725,1432911,1432873,0.0,80.20703125,1,0,0,687,180
1789397676.3677702,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397676.367814,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397677.3729656,1432873,1432871,137.3,2449.62109375,78,0,8192,180,12
1789397677.3730438,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397677.3730927,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397677.3731372,1432911,1432873,6.0,80.20703125,1,0,0,691,182
1789397677.3731813,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397677.3732243,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397678.3784351,1432873,1432871,136.3,2449.859375,78,0,8192,180,12
1789397678.3785133,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397678.378562,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397678.3786073,1432911,1432873,5.0,80.20703125,1,0,0,695,186
1789397678.37865,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397678.378691,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397679.3837674,1432873,1432871,153.2,2450.0625,78,0,8192,180,12
1789397679.3838418,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397679.3838904,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397679.3839338,1432911,1432873,7.0,80.20703125,1,0,0,700,188
1789397679.383977,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397679.3840175,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397680.389325,1432873,1432871,164.1,2450.2421875,78,0,8192,180,12
1789397680.3893993,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397680.3894436,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397680.389484,1432911,1432873,9.9,80.20703125,1,0,0,707,188
1789397680.3895237,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397680.3895614,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397681.3947773,1432873,1432871,150.2,2456.98828125,78,0,8192,180,12
1789397681.3948567,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397681.3949053,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397681.3949616,1432911,1432873,3.0,80.20703125,1,0,0,709,188
1789397681.3950047,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397681.3950465,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397682.4003766,1432873,1432871,114.4,2458.015625,78,0,8192,180,12
1789397682.4004626,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397682.4005127,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397682.4005625,1432911,1432873,0.0,80.20703125,1,0,0,709,188
1789397682.4006166,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397682.4006612,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397683.405719,1432873,1432871,116.4,2458.0234375,78,0,8192,180,12
1789397683.4057992,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397683.4058526,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397683.405899,1432911,1432873,0.0,80.20703125,1,0,0,709,188
1789397683.4059439,1432913,1432873,0.0,16.54296875,1,0,0,10,11
1789397683.405986,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397684.4120824,1432873,1432871,172.9,2478.28515625,78,0,23859200,181,12
1789397684.4121747,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397684.4122336,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397684.412286,1432911,1432873,6.0,80.20703125,1,0,0,714,190
1789397684.4123385,1432913,1432873,19.9,40.91015625,1,0,0,47,61
1789397684.4123895,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397685.417382,1432873,1432871,144.2,2498.6875,78,0,23859200,181,12
1789397685.4174888,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397685.4175365,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397685.4175804,1432911,1432873,1.0,80.20703125,1,0,0,715,191
1789397685.4176254,1432913,1432873,16.9,28.32421875,1,0,0,58,82
1789397685.4176688,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397686.4232543,1432873,1432871,157.1,2513.859375,78,0,23859200,181,12
1789397686.423335,1432907,1432873,0.0,54.015625,1,0,0,179,118
1789397686.4233882,1432909,1432873,0.0,16.890625,1,0,0,18,23
1789397686.423436,1432911,1432873,7.0,80.20703125,1,0,0,720,200
1789397686.423484,1432913,1432873,5.0,28.09375,1,0,0,61,83
1789397686.423528,1432915,1432873,0.0,16.08203125,1,0,0,18,27
1789397687.4296238,1432873,1432871,161.0,2513.921875,78,0,23859200,181,12
1789397687.4297206,1432907,1432873,0.0,54.015625,1,0,0,179,118
