case,file,pages,seconds,ocr_lines,tsr_calls,cell_calls,warnings
before-ocr-off-c2,2403.01632v4.pdf,47,4.904366559,0,0,0,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
before-ocr-off-c2,2410.05779v3.pdf,16,2.4324859229999998,0,0,0,{}
before-ocr-off-c2,2412.05210v1.pdf,12,2.036266701,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
before-ocr-off-c2,2603.01919v2.pdf,23,7.820316498,0,3,0,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
before-ocr-off-c2,2303.18223v16.pdf,144,17.53677663,0,5,0,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
before-ocr-off-c2,2604.18583v1.pdf,15,2.472262132,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
before-ocr-off-c2,2604.21959v1.pdf,3,0.533218224,0,0,0,{}
before-ocr-off-c2,2604.18584v1.pdf,32,4.284041066,0,2,0,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
before-ocr-off-c2,2606.17056v1.pdf,25,2.8100406270000002,0,0,0,{}
before-ocr-off-c2,2609.04180v1.pdf,23,3.016178409,0,0,0,"{""ContentLayoutOverlap"": 3}"
before-ocr-off-c2,2609.04184v1.pdf,8,1.8323176989999999,0,1,0,"{""ContentLayoutOverlap"": 1}"
before-ocr-off-c2,2609.04203v1.pdf,20,2.3301499,0,1,0,"{""ContentLayoutOverlap"": 5}"
before-ocr-on-c2,2403.01632v4.pdf,47,23.379703174,417,0,0,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
before-ocr-on-c2,2303.18223v16.pdf,144,41.347063531,717,5,0,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
before-ocr-on-c2,2410.05779v3.pdf,16,20.517892128,291,0,0,"{""OcrPartialOverlap"": 28}"
before-ocr-on-c2,2412.05210v1.pdf,12,17.936589245,439,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
before-ocr-on-c2,2603.01919v2.pdf,23,21.915133874,1101,3,0,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
before-ocr-on-c2,2604.18583v1.pdf,15,12.498413017,100,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
before-ocr-on-c2,2604.21959v1.pdf,3,5.899245048,87,0,0,{}
before-ocr-on-c2,2604.18584v1.pdf,32,30.52479055,882,2,0,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
before-ocr-on-c2,2606.17056v1.pdf,25,25.892270083,831,0,0,"{""OcrPartialOverlap"": 4}"
before-ocr-on-c2,2609.04180v1.pdf,23,18.112666449,755,0,0,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
before-ocr-on-c2,2609.04184v1.pdf,8,11.297059389,239,1,0,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
before-ocr-on-c2,2609.04203v1.pdf,20,5.9555445769999995,287,1,0,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
after-ocr-off-c2,2403.01632v4.pdf,47,4.847658716,0,0,0,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
