case,file,stage,count,total_ms,max_ms
before-ocr-off-c2,2403.01632v4.pdf,DocumentContext,1,2.1882379999999997,2.1882379999999997
before-ocr-off-c2,2403.01632v4.pdf,LayoutInference,47,3186.495139,72.449268
before-ocr-off-c2,2403.01632v4.pdf,LayoutPostprocess,47,0.792934,0.104175
before-ocr-off-c2,2403.01632v4.pdf,LayoutPreprocess,47,812.8106130000001,23.065681
before-ocr-off-c2,2403.01632v4.pdf,LayoutQueue,47,11944.192834999998,476.347767
before-ocr-off-c2,2403.01632v4.pdf,LayoutReadback,47,0.17048900000000003,0.005908
before-ocr-off-c2,2403.01632v4.pdf,LinkValidate,1,18.354329,18.354329
before-ocr-off-c2,2403.01632v4.pdf,ParseTotal,1,4829.262429,4829.262429
before-ocr-off-c2,2403.01632v4.pdf,PdfOpen,1,0.792247,0.792247
before-ocr-off-c2,2403.01632v4.pdf,PdfRender,47,710.6271820000002,56.374849999999995
before-ocr-off-c2,2403.01632v4.pdf,PdfiumQueue,1,0.001083,0.001083
before-ocr-off-c2,2403.01632v4.pdf,TableRules,7,2.9479949999999997,0.8018949999999999
before-ocr-off-c2,2403.01632v4.pdf,TextExtract,47,474.95086600000013,14.317719
before-ocr-off-c2,2403.01632v4.pdf,TextFinish,94,552.8223970000001,24.596993
before-ocr-off-c2,2403.01632v4.pdf,TextPrepare,47,1.48105,0.067613
before-ocr-off-c2,2410.05779v3.pdf,DocumentContext,1,1.144856,1.144856
before-ocr-off-c2,2410.05779v3.pdf,LayoutInference,16,1069.497361,80.202668
before-ocr-off-c2,2410.05779v3.pdf,LayoutPostprocess,16,0.19021100000000002,0.02258
before-ocr-off-c2,2410.05779v3.pdf,LayoutPreprocess,16,416.46047699999997,31.588289
before-ocr-off-c2,2410.05779v3.pdf,LayoutQueue,16,6521.769553,464.52835999999996
before-ocr-off-c2,2410.05779v3.pdf,LayoutReadback,16,0.07663500000000001,0.006477
before-ocr-off-c2,2410.05779v3.pdf,LinkValidate,1,5.780388,5.780388
before-ocr-off-c2,2410.05779v3.pdf,ParseTotal,1,2402.785817,2402.785817
before-ocr-off-c2,2410.05779v3.pdf,PdfOpen,1,0.41967699999999997,0.41967699999999997
before-ocr-off-c2,2410.05779v3.pdf,PdfRender,16,365.199094,39.945654999999995
before-ocr-off-c2,2410.05779v3.pdf,PdfiumQueue,1,0.0033,0.0033
before-ocr-off-c2,2410.05779v3.pdf,TableRules,6,10.392812,2.944133
before-ocr-off-c2,2410.05779v3.pdf,TextExtract,16,212.07847900000002,22.274032
before-ocr-off-c2,2410.05779v3.pdf,TextFinish,32,217.24638700000003,35.763473
before-ocr-off-c2,2410.05779v3.pdf,TextPrepare,16,0.611007,0.066746
before-ocr-off-c2,2412.05210v1.pdf,DocumentContext,1,38.200817,38.200817
before-ocr-off-c2,2412.05210v1.pdf,LayoutInference,12,804.926676,73.981295
before-ocr-off-c2,2412.05210v1.pdf,LayoutPostprocess,12,0.14594000000000001,0.019165
before-ocr-off-c2,2412.05210v1.pdf,LayoutPreprocess,12,296.55983399999997,30.007500999999998
before-ocr-off-c2,2412.05210v1.pdf,LayoutQueue,12,4802.046445000001,459.01176100000004
before-ocr-off-c2,2412.05210v1.pdf,LayoutReadback,12,0.054347000000000006,0.006053
before-ocr-off-c2,2412.05210v1.pdf,LinkValidate,1,9.364578,9.364578
before-ocr-off-c2,2412.05210v1.pdf,ParseTotal,1,1997.061996,1997.061996
before-ocr-off-c2,2412.05210v1.pdf,PdfOpen,1,0.505659,0.505659
before-ocr-off-c2,2412.05210v1.pdf,PdfRender,12,379.0675290000001,85.551617
before-ocr-off-c2,2412.05210v1.pdf,PdfiumQueue,1,0.003794,0.003794
before-ocr-off-c2,2412.05210v1.pdf,TableRules,4,21.324913000000002,10.125126
before-ocr-off-c2,2412.05210v1.pdf,TextExtract,12,248.78667399999998,32.736833
before-ocr-off-c2,2412.05210v1.pdf,TextFinish,24,561.032494,268.70406099999997
before-ocr-off-c2,2412.05210v1.pdf,TextPrepare,12,0.7524850000000001,0.128072
before-ocr-off-c2,2603.01919v2.pdf,DocumentContext,1,2.4188959999999997,2.4188959999999997
before-ocr-off-c2,2603.01919v2.pdf,LayoutInference,23,1533.199631,73.968989
before-ocr-off-c2,2603.01919v2.pdf,LayoutPostprocess,23,0.43843499999999996,0.050816
before-ocr-off-c2,2603.01919v2.pdf,LayoutPreprocess,23,726.6287020000001,43.721179
