case,exit_code,ocr_policy,tsr_mode,concurrency,before_merge,corpus_seconds,pages_per_second,valid,pages,degraded_documents,page_errors,mean_document_seconds,gpu_mean_percent,gpu_peak_mib,gpu_temp_peak_c,gpu_clock_median_mhz,family_cpu_mean_percent,family_rss_peak_mib,family_processes,ocr_pages,ocr_lines,recognition_calls,tsr_calls,cell_calls,json_bytes,serialization_sync_seconds,warnings,LayoutInference_seconds,LayoutInference_max_seconds,OcrRecognitionInference_seconds,OcrRecognitionInference_max_seconds,OcrReadback_seconds,OcrReadback_max_seconds,OcrQueue_seconds,OcrQueue_max_seconds,TsrInference_seconds,TsrInference_max_seconds,TsrQueue_seconds,TsrQueue_max_seconds,TableCellPreprocess_seconds,TableCellPreprocess_max_seconds,TableCellInference_seconds,TableCellInference_max_seconds,TableCellPostprocess_seconds,TableCellPostprocess_max_seconds,TableFill_seconds,TableFill_max_seconds,PdfOpen_seconds,PdfOpen_max_seconds,PdfiumQueue_seconds,PdfiumQueue_max_seconds
before-ocr-off-c2,0,disabled,fallback,2,True,27.168332101,13.545181891620604,True,368,0,0,4.334035030666667,94.07407407407408,2940.0,70.0,2445.0,233.9185185185185,2371.19140625,6,0,0,0,12,0,249257423,0.657071261,"{""ContentLayoutOverlap"": 31, ""EmptyModelRegion"": 7, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",24.776076189,0.080202668,0.0,0.0,0.0,0.0,0.0,0.0,12.548694979,6.522810575,5.001330617000001,2.700670805,0.0,0.0,0.0,0.0,0.0,0.0,0.006846568999999999,0.004274597,0.007213544,0.000951492,5.3658e-05,7.68e-06
before-ocr-on-c2,0,missing_regions,fallback,2,True,120.40723722,3.0562946920509035,True,368,0,0,19.60636425541667,54.03333333333333,6626.0,78.0,2535.0,150.085,3181.046875,6,111,6146,1798,12,0,251574331,0.6639836960000001,"{""ContentLayoutOverlap"": 32, ""EmptyModelRegion"": 7, ""OcrPartialOverlap"": 183, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",33.95540564600001,0.292579649,97.69404986699999,0.655580012,13.496034337,0.055960245,530.542004584,11.503803187,3.256939445,0.790106584,0.001975124,0.00021424,0.0,0.0,0.0,0.0,0.0,0.0,0.008370258,0.005601761,0.006584949,0.001002849,4.5842e-05,7.126e-06
after-ocr-off-c2,0,disabled,fallback,2,False,28.056162185,13.116548071451776,True,368,0,0,4.47932604175,89.53571428571429,3335.0,80.0,2325.0,230.99285714285713,2544.875,6,0,0,0,12,6,249259252,0.6943856939999999,"{""ContentLayoutOverlap"": 31, ""EmptyModelRegion"": 7, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",25.400565482000005,0.091592413,0.0,0.0,0.0,0.0,0.0,0.0,12.968349742000001,6.490632063,5.570749720000002,3.185157492,0.058763382,0.013233128,0.37154522199999995,0.159422774,9.348400000000002e-05,3.2128e-05,0.008470617000000001,0.00553143,0.006781748999999999,0.000920602,4.3866e-05,7.725e-06
after-ocr-off-c3,0,disabled,fallback,3,False,27.406429747,13.427506004874003,True,368,0,0,6.444257027833333,94.03571428571429,3531.0,81.0,2347.5,246.48518518518517,2800.37890625,6,0,0,0,12,6,249259252,0.741100768,"{""ContentLayoutOverlap"": 31, ""EmptyModelRegion"": 7, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",25.532182589999998,0.087853918,0.0,0.0,0.0,0.0,0.0,0.0,15.222813219999999,6.825620859,21.230714459,6.209498906,0.062072716,0.014741305,0.25041082800000003,0.143153696,7.7586e-05,2.9435e-05,0.010521803,0.007040663,0.0071027519999999995,0.000798268,4.6585e-05,7.073e-06
after-ocr-off-c4,0,disabled,fallback,4,False,26.60402992,13.832490833403785,True,368,0,0,8.703768147833333,96.33333333333333,3536.0,82.0,2370.0,258.0851851851852,2869.5546875,6,0,0,0,12,6,249259252,0.691855753,"{""ContentLayoutOverlap"": 31, ""EmptyModelRegion"": 7, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",25.337244845999997,0.092163988,0.0,0.0,0.0,0.0,0.0,0.0,18.652128387,6.666373032,29.026697292,8.798632649,0.066130353,0.013044734,0.317125543,0.151598401,0.00010807,5.5927e-05,0.010877913,0.0074237,0.006322459999999999,0.000814639,3.0943000000000005e-05,5.124e-06
after-ocr-off-c5,0,disabled,fallback,5,False,26.636048123,13.81586331052748,True,368,0,0,8.94367109675,97.18518518518519,3376.0,82.0,2325.0,262.64814814814815,2914.25390625,6,0,0,0,12,6,249259252,0.738689374,"{""ContentLayoutOverlap"": 31, ""EmptyModelRegion"": 7, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",25.473952132999997,0.097316265,0.0,0.0,0.0,0.0,0.0,0.0,21.405865062,6.709894817,13.746523983000001,5.701711104,0.068408911,0.013512634,0.547746406,0.148334624,8.7275e-05,3.8156e-05,0.011119908000000001,0.007510315,0.007351216,0.001123255,2.9246e-05,4.145e-06
after-ocr-on-c2,0,missing_regions,fallback,2,False,123.746051141,2.9738322686409577,True,368,0,0,20.116644103916666,57.70967741935484,7342.0,81.0,2467.5,149.8658536585366,3305.19921875,6,111,6146,1798,12,6,251576166,0.672111751,"{""ContentLayoutOverlap"": 32, ""EmptyModelRegion"": 7, ""OcrPartialOverlap"": 183, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",33.992087070000004,0.245843016,100.02734986400002,0.617672603,13.984179791999996,0.060138944,547.0347740420003,12.361588714,3.4190697009999997,0.829622109,0.002956934,0.000285308,0.053527462,0.010742503,0.25967713099999995,0.092822569,9.7391e-05,3.8687e-05,0.010099780000000001,0.007209863,0.006637384,0.000912882,4.363e-05,4.184e-06
after-ocr-on-c3,0,missing_regions,fallback,3,False,122.002381905,3.0163345522758056,True,368,0,0,29.716000353416664,57.21311475409836,7268.0,81.0,2415.0,152.2479338842975,3493.671875,6,111,6146,1798,12,6,251576161,0.6880352989999999,"{""ContentLayoutOverlap"": 32, ""EmptyModelRegion"": 7, ""OcrPartialOverlap"": 183, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",33.185518031,0.297851024,99.521628056,0.641982465,14.159855124000002,0.057316416,971.6950769250002,18.836996604,3.068183033,0.786281469,0.0030129159999999996,0.00024493,0.062548779,0.012245698,0.268954538,0.143486085,9.0364e-05,4.5645e-05,0.010897266000000001,0.007482941,0.006791294000000001,0.000797628,5.1679000000000004e-05,1.0593e-05
after-ocr-on-c4,0,missing_regions,fallback,4,False,123.700063195,2.974937849626537,True,368,0,0,39.82785414233334,53.54032258064516,7204.0,81.0,2550.0,153.05853658536586,3535.7734375,6,111,6146,1798,12,6,251576164,0.688535831,"{""ContentLayoutOverlap"": 32, ""EmptyModelRegion"": 7, ""OcrPartialOverlap"": 183, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",33.388803894,0.32464615,99.72040538699999,0.700282509,14.332940124999997,0.068204659,1329.2128324939997,18.968315956,3.747278686,0.756557946,0.002833355,0.000252759,0.056866405,0.015102354,0.27093537399999995,0.149714623,6.6434e-05,2.4131e-05,0.008861839,0.005354143,0.006986363,0.000923064,4.2756e-05,7.225e-06
after-ocr-on-c5,0,missing_regions,fallback,5,False,122.482852393,3.0045022042696283,True,368,0,0,48.729820901083336,56.33606557377049,7262.0,82.0,2467.5,153.79180327868852,3664.34375,6,111,6146,1798,12,6,251576166,0.69669615,"{""ContentLayoutOverlap"": 32, ""EmptyModelRegion"": 7, ""OcrPartialOverlap"": 183, ""TableStructureUnavailable"": 2, ""TableTextAssignmentFailed"": 2}",33.238644509,0.2950805309999999,97.512230985,0.660270391,14.426620806,0.062757368,1733.436862764,25.333233327,3.325649461,0.727918023,0.002581973,0.000209969,0.051254575000000004,0.01144595,0.210065669,0.082241144,9.888199999999999e-05,3.5379e-05,0.009773994,0.006475498,0.007217118,0.000967854,3.0703e-05,4.089e-06
