timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 23:07:14.544, 1487, 8, 4, 75, 27.37, 2565, 8001
2026/09/14 23:07:15.547, 1883, 19, 7, 75, 29.74, 2565, 8001
2026/09/14 23:07:16.547, 2103, 19, 4, 73, 18.61, 1890, 8001
2026/09/14 23:07:17.548, 3322, 64, 12, 79, 34.37, 2565, 8001
2026/09/14 23:07:18.548, 3321, 5, 3, 76, 37.31, 2565, 8001
2026/09/14 23:07:19.548, 3321, 99, 53, 79, 60.30, 2085, 8001
2026/09/14 23:07:20.549, 3315, 99, 54, 78, 55.16, 2100, 8001
2026/09/14 23:07:21.549, 3315, 99, 56, 79, 55.04, 2235, 8001
2026/09/14 23:07:22.549, 3368, 98, 59, 81, 54.88, 2325, 8001
2026/09/14 23:07:23.549, 3316, 99, 54, 79, 61.70, 2430, 8001
2026/09/14 23:07:24.550, 3315, 52, 4, 77, 56.13, 2565, 8001
2026/09/14 23:07:25.550, 3315, 99, 59, 81, 59.36, 2475, 8001
2026/09/14 23:07:26.550, 3376, 99, 56, 80, 57.22, 2280, 8001
2026/09/14 23:07:27.551, 3322, 94, 43, 79, 65.19, 2145, 8001
2026/09/14 23:07:28.551, 3321, 95, 52, 80, 55.45, 2475, 8001
2026/09/14 23:07:29.551, 3321, 99, 54, 79, 55.16, 2115, 8001
2026/09/14 23:07:30.551, 3321, 99, 56, 81, 54.57, 2295, 8001
2026/09/14 23:07:31.552, 3321, 86, 38, 78, 39.57, 2565, 8001
2026/09/14 23:07:32.552, 3321, 99, 56, 80, 57.33, 2295, 8001
2026/09/14 23:07:33.552, 3321, 99, 59, 81, 58.10, 2400, 8001
2026/09/14 23:07:34.553, 3321, 98, 59, 82, 48.90, 2220, 8001
2026/09/14 23:07:35.554, 3321, 99, 57, 81, 60.95, 2100, 8001
2026/09/14 23:07:36.555, 3321, 98, 55, 80, 56.53, 2190, 8001
2026/09/14 23:07:37.557, 3320, 99, 55, 79, 56.27, 2325, 8001
2026/09/14 23:07:38.557, 3322, 58, 33, 79, 36.11, 2190, 8001
2026/09/14 23:07:39.559, 3321, 99, 52, 79, 54.73, 2190, 8001
2026/09/14 23:07:40.561, 3321, 98, 52, 79, 54.62, 2235, 8001
2026/09/14 23:07:41.561, 3321, 66, 12, 79, 47.10, 2505, 8001
2026/09/14 23:07:42.561, 3423, 99, 55, 80, 44.92, 2325, 8001
2026/09/14 23:07:43.562, 3379, 86, 38, 78, 38.41, 2565, 8001
2026/09/14 23:07:44.562, 3375, 88, 42, 79, 51.72, 2535, 8001
2026/09/14 23:07:45.563, 3375, 98, 59, 82, 52.06, 2175, 8001
2026/09/14 23:07:46.563, 3372, 74, 28, 83, 51.17, 2235, 8001
2026/09/14 23:07:47.565, 3364, 99, 57, 81, 57.29, 2070, 8001
2026/09/14 23:07:48.568, 3363, 98, 55, 80, 54.59, 2085, 8001
2026/09/14 23:07:49.568, 3365, 98, 56, 81, 56.00, 2220, 8001
2026/09/14 23:07:50.569, 3364, 77, 21, 80, 53.19, 2430, 8001
2026/09/14 23:07:51.570, 3328, 85, 28, 82, 56.13, 2505, 8001
2026/09/14 23:07:52.570, 3316, 57, 29, 82, 39.25, 2565, 8001
2026/09/14 23:07:53.570, 3418, 98, 54, 80, 59.99, 2370, 8001
2026/09/14 23:07:54.571, 1560, 80, 21, 80, 52.81, 2550, 8001
