unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789398434.537983,1454224,1454222,,12.68359375,33,0,0,7,0
1789398435.5441265,1454224,1454222,94.4,973.40625,69,0,4096,24,1
1789398435.5442321,1454257,1454224,,14.33984375,1,0,0,3,0
1789398435.5442975,1454260,1454224,,13.03125,1,0,0,2,0
1789398435.5443537,1454262,1454224,,13.51171875,1,0,0,2,1
1789398435.5444071,1454264,1454224,,13.5078125,1,0,0,2,0
1789398435.544461,1454266,1454224,,16.8671875,1,0,0,9,1
1789398436.5504305,1454224,1454222,83.5,1550.91796875,70,0,4096,59,4
1789398436.5505257,1454257,1454224,3.0,16.68359375,1,0,0,10,2
1789398436.5505867,1454260,1454224,4.0,16.06640625,1,0,0,10,4
1789398436.5506413,1454262,1454224,4.0,16.76171875,1,0,0,10,3
1789398436.5506961,1454264,1454224,3.0,16.7578125,1,0,0,10,3
1789398436.550751,1454266,1454224,0.0,16.8671875,1,0,0,10,1
1789398437.5581782,1454224,1454222,120.1,1611.62109375,72,0,8192,97,4
1789398437.5582514,1454257,1454224,3.0,16.68359375,1,0,0,18,4
1789398437.5582974,1454260,1454224,0.0,16.06640625,1,0,0,10,4
1789398437.558341,1454262,1454224,0.0,16.76171875,1,0,0,10,3
1789398437.5583818,1454264,1454224,0.0,16.7578125,1,0,0,10,3
1789398437.5584219,1454266,1454224,3.0,16.8671875,1,0,0,18,2
1789398438.5642235,1454224,1454222,90.5,1707.0625,72,0,8192,98,4
1789398438.5643172,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398438.5643759,1454260,1454224,78.5,36.53125,1,0,0,162,41
1789398438.5644302,1454262,1454224,66.6,48.9609375,1,0,0,141,50
1789398438.5644832,1454264,1454224,0.0,16.7578125,1,0,0,10,3
1789398438.5645344,1454266,1454224,0.0,16.8671875,1,0,0,18,2
1789398439.5704715,1454224,1454222,171.9,1785.8125,73,0,8192,98,4
1789398439.5705712,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398439.570634,1454260,1454224,80.5,45.609375,1,0,0,314,140
1789398439.5706925,1454262,1454224,20.9,25.87890625,1,0,0,156,63
1789398439.570749,1454264,1454224,0.0,16.7578125,1,0,0,10,3
1789398439.5708013,1454266,1454224,0.0,16.8671875,1,0,0,18,2
1789398440.5771384,1454224,1454222,195.7,1904.75390625,80,0,8192,98,4
1789398440.5772362,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398440.577299,1454260,1454224,68.5,51.79296875,1,0,0,625,173
1789398440.5773568,1454262,1454224,18.9,54.5546875,1,0,0,166,68
1789398440.5774121,1454264,1454224,0.0,16.7578125,1,0,0,10,3
1789398440.577467,1454266,1454224,0.0,16.8671875,1,0,0,18,2
1789398441.5839598,1454224,1454222,185.7,2058.5625,80,0,8192,98,4
1789398441.5840514,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398441.5841107,1454260,1454224,30.8,79.984375,1,0,0,660,201
1789398441.584164,1454262,1454224,10.9,54.5546875,1,0,0,177,87
1789398441.5842159,1454264,1454224,0.0,16.7578125,1,0,0,10,3
1789398441.5842648,1454266,1454224,0.0,16.8671875,1,0,0,18,2
1789398442.5924215,1454224,1454222,182.5,2095.0078125,80,0,8192,98,4
1789398442.5925403,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398442.5926228,1454260,1454224,21.8,79.984375,1,0,0,668,216
1789398442.5926986,1454262,1454224,0.0,54.5546875,1,0,0,178,88
1789398442.5927706,1454264,1454224,0.0,16.7578125,1,0,0,10,3
1789398442.59284,1454266,1454224,0.0,16.8671875,1,0,0,18,2
1789398443.6002486,1454224,1454222,191.5,2078.37109375,80,0,8192,98,4
1789398443.6003633,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398443.600439,1454260,1454224,26.8,79.984375,1,0,0,681,228
1789398443.6005075,1454262,1454224,0.0,54.5546875,1,0,0,178,88
1789398443.6005735,1454264,1454224,0.0,16.7578125,1,0,0,10,3
1789398443.6006396,1454266,1454224,0.0,16.8671875,1,0,0,18,2
1789398444.6065934,1454224,1454222,145.1,2105.671875,80,0,23543808,99,4
1789398444.606682,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398444.6067398,1454260,1454224,3.0,79.984375,1,0,0,684,243
1789398444.606793,1454262,1454224,0.0,54.5546875,1,0,0,178,88
1789398444.6068418,1454264,1454224,18.9,29.5234375,1,0,0,45,19
1789398444.6068969,1454266,1454224,0.0,16.8671875,1,0,0,18,2
1789398445.612465,1454224,1454222,169.0,2187.09765625,80,0,23543808,99,4
1789398445.6125512,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398445.6126084,1454260,1454224,0.0,79.984375,1,0,0,684,243
1789398445.612661,1454262,1454224,0.0,54.5546875,1,0,0,178,88
1789398445.6127095,1454264,1454224,24.9,42.45703125,1,0,0,61,28
1789398445.612759,1454266,1454224,0.0,16.8671875,1,0,0,18,2
1789398446.6184628,1454224,1454222,168.0,2258.55078125,84,0,23543808,99,4
1789398446.6185503,1454257,1454224,0.0,16.68359375,1,0,0,18,4
1789398446.6186068,1454260,1454224,15.9,79.984375,1,0,0,694,255
1789398446.618658,1454262,1454224,0.0,54.5546875,1,0,0,178,88
1789398446.618707,1454264,1454224,0.0,42.45703125,1,0,0,61,28
1789398446.6187546,1454266,1454224,0.0,16.8671875,1,0,0,18,2
