timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/14 23:07:55.685, 1476, 11, 6, 77, 28.77, 2565, 8001
2026/09/14 23:07:56.688, 2096, 6, 4, 76, 26.94, 1890, 8001
2026/09/14 23:07:57.688, 3230, 7, 4, 73, 18.89, 1890, 8001
2026/09/14 23:07:58.688, 3444, 23, 8, 75, 22.81, 1950, 8001
2026/09/14 23:07:59.689, 5408, 31, 15, 74, 21.55, 1950, 8001
2026/09/14 23:08:00.689, 6080, 20, 6, 77, 45.26, 2565, 8001
2026/09/14 23:08:01.689, 6080, 62, 31, 77, 44.28, 2565, 8001
2026/09/14 23:08:02.689, 6068, 92, 60, 79, 47.80, 2475, 8001
2026/09/14 23:08:03.690, 6069, 19, 7, 77, 34.08, 2565, 8001
2026/09/14 23:08:04.690, 6069, 99, 56, 80, 36.74, 2190, 8001
2026/09/14 23:08:05.690, 6068, 53, 31, 81, 56.72, 2520, 8001
2026/09/14 23:08:06.690, 6068, 59, 32, 78, 43.93, 2565, 8001
2026/09/14 23:08:07.691, 6068, 100, 70, 80, 62.10, 2010, 8001
2026/09/14 23:08:08.691, 6068, 97, 53, 79, 54.29, 2070, 8001
2026/09/14 23:08:09.691, 6068, 76, 29, 78, 43.73, 2460, 8001
2026/09/14 23:08:10.691, 6068, 78, 34, 80, 53.69, 2460, 8001
2026/09/14 23:08:11.692, 6068, 79, 31, 80, 58.49, 2550, 8001
2026/09/14 23:08:12.692, 6129, 23, 8, 77, 42.33, 2565, 8001
2026/09/14 23:08:13.692, 6095, 81, 65, 81, 52.70, 2025, 8001
2026/09/14 23:08:14.693, 6068, 22, 6, 77, 39.63, 2565, 8001
2026/09/14 23:08:15.693, 6068, 56, 30, 79, 51.46, 2055, 8001
2026/09/14 23:08:16.693, 6068, 98, 53, 82, 53.95, 2340, 8001
2026/09/14 23:08:17.694, 6068, 22, 6, 77, 33.34, 2565, 8001
2026/09/14 23:08:18.694, 6092, 25, 8, 77, 35.56, 2565, 8001
2026/09/14 23:08:19.694, 6092, 30, 10, 78, 38.77, 2565, 8001
2026/09/14 23:08:20.694, 6091, 20, 6, 78, 50.96, 2565, 8001
2026/09/14 23:08:21.695, 6091, 52, 34, 77, 52.08, 2565, 8001
2026/09/14 23:08:22.698, 6091, 69, 21, 79, 56.49, 2535, 8001
2026/09/14 23:08:23.699, 6073, 98, 74, 79, 64.60, 2010, 8001
2026/09/14 23:08:24.700, 6073, 94, 67, 81, 56.10, 2100, 8001
2026/09/14 23:08:25.700, 6072, 51, 16, 78, 44.98, 2130, 8001
2026/09/14 23:08:26.700, 6074, 66, 36, 79, 42.36, 2445, 8001
2026/09/14 23:08:27.700, 6073, 25, 9, 77, 34.98, 2565, 8001
2026/09/14 23:08:28.701, 6073, 100, 73, 80, 45.01, 2310, 8001
2026/09/14 23:08:29.701, 6073, 99, 53, 80, 60.68, 2085, 8001
2026/09/14 23:08:30.704, 6073, 97, 56, 79, 55.94, 2310, 8001
2026/09/14 23:08:31.704, 6072, 97, 56, 80, 62.89, 2100, 8001
2026/09/14 23:08:32.704, 6074, 96, 57, 82, 54.40, 2310, 8001
2026/09/14 23:08:33.707, 6073, 66, 21, 83, 50.84, 2460, 8001
2026/09/14 23:08:34.707, 6073, 95, 65, 81, 52.88, 1935, 8001
2026/09/14 23:08:35.708, 6073, 93, 50, 79, 55.01, 2445, 8001
2026/09/14 23:08:36.709, 6073, 86, 47, 80, 53.94, 2325, 8001
2026/09/14 23:08:37.709, 6073, 99, 52, 80, 57.00, 2010, 8001
2026/09/14 23:08:38.710, 6086, 55, 30, 79, 55.25, 2565, 8001
2026/09/14 23:08:39.711, 6085, 54, 30, 78, 40.18, 2505, 8001
2026/09/14 23:08:40.712, 6085, 21, 6, 78, 39.63, 2565, 8001
2026/09/14 23:08:41.713, 6085, 26, 7, 79, 35.62, 2565, 8001
2026/09/14 23:08:42.714, 6085, 29, 10, 79, 40.83, 2565, 8001
2026/09/14 23:08:43.715, 6073, 43, 23, 81, 47.39, 2490, 8001
2026/09/14 23:08:44.716, 6074, 25, 8, 78, 47.40, 2565, 8001
2026/09/14 23:08:45.717, 6074, 31, 11, 78, 40.40, 2565, 8001
2026/09/14 23:08:46.718, 6074, 39, 15, 78, 42.81, 2565, 8001
2026/09/14 23:08:47.718, 6074, 27, 9, 77, 38.40, 2565, 8001
2026/09/14 23:08:48.719, 6073, 98, 60, 82, 46.07, 2145, 8001
2026/09/14 23:08:49.721, 6073, 29, 11, 79, 39.08, 2565, 8001
2026/09/14 23:08:50.721, 7097, 85, 59, 81, 41.14, 1965, 8001
2026/09/14 23:08:51.723, 7157, 97, 57, 81, 62.43, 2205, 8001
2026/09/14 23:08:52.724, 7123, 88, 42, 81, 55.06, 2145, 8001
2026/09/14 23:08:53.724, 7157, 92, 62, 81, 60.85, 2010, 8001
2026/09/14 23:08:54.728, 7097, 96, 56, 82, 51.53, 2100, 8001
2026/09/14 23:08:55.728, 7097, 100, 75, 83, 80.41, 1950, 8001
2026/09/14 23:08:56.728, 7091, 22, 6, 78, 45.63, 2565, 8001
2026/09/14 23:08:57.728, 7091, 100, 63, 81, 55.03, 2055, 8001
2026/09/14 23:08:58.729, 7116, 26, 7, 78, 46.85, 2565, 8001
2026/09/14 23:08:59.730, 7116, 64, 31, 78, 43.49, 2550, 8001
2026/09/14 23:09:00.731, 7115, 24, 7, 78, 41.20, 2550, 8001
2026/09/14 23:09:01.732, 7115, 25, 7, 78, 42.87, 2565, 8001
2026/09/14 23:09:02.733, 7115, 36, 15, 81, 47.25, 2475, 8001
2026/09/14 23:09:03.733, 7097, 30, 9, 78, 38.21, 2565, 8001
2026/09/14 23:09:04.734, 7097, 33, 7, 76, 31.80, 1965, 8001
2026/09/14 23:09:05.735, 7097, 47, 23, 79, 50.40, 2550, 8001
2026/09/14 23:09:06.737, 7096, 26, 7, 77, 41.56, 2565, 8001
2026/09/14 23:09:07.737, 7098, 51, 26, 80, 41.12, 2385, 8001
2026/09/14 23:09:08.738, 7097, 70, 37, 80, 53.65, 2565, 8001
2026/09/14 23:09:09.740, 7097, 23, 6, 78, 33.71, 2565, 8001
2026/09/14 23:09:10.741, 7097, 42, 21, 78, 41.54, 2535, 8001
2026/09/14 23:09:11.741, 7097, 25, 9, 78, 34.47, 2565, 8001
2026/09/14 23:09:12.742, 7097, 22, 6, 79, 38.78, 2070, 8001
2026/09/14 23:09:13.742, 7097, 75, 57, 81, 43.78, 2055, 8001
2026/09/14 23:09:14.743, 7097, 100, 54, 79, 54.21, 2145, 8001
2026/09/14 23:09:15.745, 7097, 82, 42, 81, 53.55, 1980, 8001
2026/09/14 23:09:16.745, 7092, 27, 9, 79, 49.91, 2565, 8001
2026/09/14 23:09:17.746, 7092, 39, 20, 79, 43.89, 2565, 8001
2026/09/14 23:09:18.747, 7092, 44, 21, 81, 40.19, 2055, 8001
2026/09/14 23:09:19.747, 7092, 100, 66, 80, 63.36, 2325, 8001
2026/09/14 23:09:20.749, 7086, 98, 52, 80, 60.16, 2535, 8001
2026/09/14 23:09:21.749, 7086, 75, 41, 80, 45.62, 2505, 8001
