stage,count,total_seconds,mean_ms,max_ms
PdfiumQueue,20,0.000131,0.00655,0.031
PdfOpen,20,0.026281,1.31405,3.546
TextExtract,694,8.741981,12.596514409221902,92.183
DocumentContext,20,0.10343000000000001,5.1715,24.905
PdfRender,694,16.812356,24.22529682997118,417.58
LayoutPreprocess,694,16.237347,23.396753602305477,131.71
LayoutQueue,694,6394.165384999999,9213.494791066283,14762.066
LayoutInference,694,367.927809,530.1553443804034,1557.491
LayoutReadback,694,0.004371000000000001,0.0062982708933717576,0.183
LayoutPostprocess,694,0.00838,0.01207492795389049,0.23
TextPrepare,694,0.101581,0.14637031700288183,3.405
TextFinish,1388,14.332113,10.325729827089337,292.087
LinkValidate,20,0.44683999999999996,22.342,133.384
ParseTotal,20,1766.4257169999998,88321.28585,358636.226
TsrPreprocess,175,0.165799,0.9474228571428571,8.678
TsrQueue,334,6.15634,18.432155688622753,622.408
TsrInference,175,36.771527999999996,210.12301714285715,470.143
TsrPostprocess,175,0.012085,0.06905714285714286,2.426
TableCellPreprocess,159,1.22448,7.7011320754716985,29.868
TableCellInference,159,83.13496,522.8613836477988,1006.232
TableCellPostprocess,159,0.00543,0.034150943396226416,0.571
TableExternal,159,127.560055,802.2644968553459,1792.693
TableFill,159,0.270589,1.701817610062893,13.138
