case,file,pages,median_seconds,round_1_seconds,round_2_seconds,warnings
baseline-c2,2403.01632v4.pdf,47,63.3611821665,68.905536958,57.816827375,"{'ContentLayoutOverlap': 7, 'EmptyModelRegion': 2}"
baseline-c2,2410.05779v3.pdf,16,31.911159603999998,35.599423791,28.222895417,{}
baseline-c2,2603.01919v2.pdf,23,46.24771989600001,57.37018075,35.125259042,"{'InvalidTsrInput': 1, 'TableStructureUnavailable': 1}"
baseline-c2,2604.18583v1.pdf,15,14.0948737085,10.790106417,17.399641,"{'ContentLayoutOverlap': 2, 'EmptyModelRegion': 1}"
baseline-c2,2604.18584v1.pdf,32,36.090714666500006,23.844609542,48.336819791,"{'ContentLayoutOverlap': 6, 'EmptyModelRegion': 1}"
baseline-c2,2604.21959v1.pdf,3,3.019076771,2.279182375,3.758971167,{}
baseline-c2,2303.18223v16.pdf,144,198.493317688,199.594983042,197.391652334,"{'ContentLayoutOverlap': 5, 'EmptyModelRegion': 1}"
baseline-c2,2609.12610v1.pdf,12,12.010942021,8.806321667,15.215562375,{'ContentLayoutOverlap': 4}
baseline-c2,2606.17056v1.pdf,25,22.875813104000002,17.205558125,28.546068083,{}
baseline-c2,2609.12973v1.pdf,24,20.891751499999998,17.452873708,24.330629292,"{'ContentLayoutOverlap': 4, 'EmptyModelRegion': 1}"
baseline-c2,2609.13008v1.pdf,31,24.428482479000003,21.563649125,27.293315833,{}
baseline-c2,2609.13019v1.pdf,54,51.866059854499994,47.736733042,55.995386667,"{'ContentLayoutOverlap': 10, 'TableStructureUnavailable': 2, 'TableTextAssignmentFailed': 2}"
baseline-c2,2609.13100v1.pdf,58,61.58070777099999,59.117104917,64.044310625,{'ContentLayoutOverlap': 3}
baseline-c2,2609.13141v1.pdf,26,28.698836479,31.299342958,26.09833,{'ContentLayoutOverlap': 1}
baseline-c2,2609.13146v1.pdf,17,16.528059854,12.536760875,20.519358833,"{'ContentLayoutOverlap': 1, 'TableStructureUnavailable': 1, 'TableTextAssignmentFailed': 1}"
baseline-c2,SQLMorph_ Query Mutation and Fine-Grained Metrics for Text-to-SQL Evaluation.pdf,13,27.9781885625,30.295642792,25.660734333,"{'ContentLayoutOverlap': 1, 'EmptyModelRegion': 1}"
