case,stage,mean_calls_per_corpus,mean_cumulative_seconds_per_corpus
baseline-c2,DocumentContext,20.0,0.08843635549999998
baseline-c2,LayoutInference,694.0,426.90149256
baseline-c2,LayoutPostprocess,694.0,0.012088904499999999
baseline-c2,LayoutPreprocess,694.0,16.289818437499996
baseline-c2,LayoutQueue,694.0,2747.5758182255
baseline-c2,LayoutReadback,694.0,0.007189827500000002
baseline-c2,LinkValidate,20.0,0.35632712499999997
baseline-c2,ParseTotal,20.0,844.2405529780001
baseline-c2,PdfOpen,20.0,0.0405631845
baseline-c2,PdfRender,694.0,15.858302566000003
baseline-c2,PdfiumQueue,20.0,0.00013599849999999998
baseline-c2,TableCellInference,160.0,92.1968548705
baseline-c2,TableCellPostprocess,160.0,0.0031639780000000004
baseline-c2,TableCellPreprocess,160.0,1.2302669945000002
baseline-c2,TableExternal,160.0,138.6089672705
baseline-c2,TableFill,160.0,0.34040112199999994
baseline-c2,TextExtract,694.0,8.210202756000001
baseline-c2,TextFinish,1388.0,14.8337522575
baseline-c2,TextPrepare,694.0,0.16421666299999998
baseline-c2,TsrInference,164.0,39.10919858449999
baseline-c2,TsrPostprocess,164.0,0.008501395500000002
baseline-c2,TsrPreprocess,164.0,0.148651601
baseline-c2,TsrQueue,324.0,5.870191889999999
fast-c2,DocumentContext,20.0,0.09245395899999999
fast-c2,LayoutInference,694.0,370.0903916775001
fast-c2,LayoutPostprocess,694.0,0.008242853
fast-c2,LayoutPreprocess,694.0,14.6536389905
fast-c2,LayoutQueue,694.0,2364.511302496
fast-c2,LayoutReadback,694.0,0.008157722000000003
fast-c2,LinkValidate,20.0,0.3984941454999999
fast-c2,ParseTotal,20.0,731.5043058960002
fast-c2,PdfOpen,20.0,0.0279104175
fast-c2,PdfRender,694.0,14.609485491500001
fast-c2,PdfiumQueue,20.0,0.000264253
fast-c2,TableCellInference,160.0,87.67317949549998
fast-c2,TableCellPostprocess,160.0,0.0022533709999999997
fast-c2,TableCellPreprocess,160.0,1.0900444145
fast-c2,TableExternal,160.0,132.97988570650003
fast-c2,TableFill,160.0,0.269366646
fast-c2,TextExtract,694.0,8.152844860499998
fast-c2,TextFinish,1388.0,13.404097999000005
fast-c2,TextPrepare,694.0,0.09532080600000001
fast-c2,TsrInference,164.0,35.388856995000005
fast-c2,TsrPostprocess,164.0,0.0070214725000000006
fast-c2,TsrPreprocess,164.0,0.123332755
fast-c2,TsrQueue,324.0,8.658116353500002
