timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/15 00:18:37.235, 1441, 26, 5, 61, 9.08, 315, 6001
2026/09/15 00:18:38.239, 1719, 7, 3, 62, 17.47, 2070, 8001
2026/09/15 00:18:39.240, 2140, 19, 10, 63, 19.28, 2190, 8001
2026/09/15 00:18:40.240, 3369, 99, 58, 67, 39.14, 2490, 8001
2026/09/15 00:18:41.240, 3354, 100, 58, 69, 39.03, 2175, 8001
2026/09/15 00:18:42.240, 3351, 99, 55, 69, 55.07, 2385, 8001
2026/09/15 00:18:43.241, 3352, 99, 57, 70, 53.26, 2250, 8001
2026/09/15 00:18:44.241, 3396, 100, 58, 70, 54.91, 2385, 8001
2026/09/15 00:18:45.241, 3342, 99, 57, 70, 53.92, 2370, 8001
2026/09/15 00:18:46.241, 3318, 98, 60, 72, 54.42, 2385, 8001
2026/09/15 00:18:47.242, 3319, 76, 24, 69, 45.19, 2565, 8001
2026/09/15 00:18:48.242, 3318, 99, 57, 71, 52.50, 2100, 8001
2026/09/15 00:18:49.242, 3317, 86, 38, 70, 56.35, 2565, 8001
2026/09/15 00:18:50.243, 3320, 98, 57, 73, 54.97, 2265, 8001
2026/09/15 00:18:51.243, 3319, 99, 55, 72, 46.96, 2295, 8001
2026/09/15 00:18:52.244, 3320, 100, 59, 72, 54.47, 2130, 8001
2026/09/15 00:18:53.244, 3320, 70, 19, 74, 53.39, 2250, 8001
2026/09/15 00:18:54.244, 3318, 99, 55, 72, 47.32, 2130, 8001
2026/09/15 00:18:55.245, 3319, 66, 6, 70, 47.59, 2565, 8001
2026/09/15 00:18:56.245, 3320, 63, 5, 70, 42.85, 2565, 8001
2026/09/15 00:18:57.245, 3320, 99, 55, 73, 50.28, 2175, 8001
2026/09/15 00:18:58.246, 3318, 99, 55, 73, 54.90, 2160, 8001
2026/09/15 00:18:59.246, 3319, 99, 55, 73, 54.81, 2100, 8001
2026/09/15 00:19:00.246, 3325, 69, 14, 72, 48.93, 2415, 8001
2026/09/15 00:19:01.247, 3377, 99, 59, 75, 41.32, 2355, 8001
2026/09/15 00:19:02.247, 3325, 99, 58, 75, 55.08, 2325, 8001
2026/09/15 00:19:03.247, 3325, 100, 57, 75, 55.35, 2385, 8001
2026/09/15 00:19:04.248, 3325, 76, 17, 75, 42.61, 2520, 8001
2026/09/15 00:19:05.248, 3320, 98, 59, 74, 51.16, 2220, 8001
2026/09/15 00:19:06.248, 3320, 99, 51, 76, 49.68, 2160, 8001
2026/09/15 00:19:07.249, 3319, 78, 26, 75, 50.07, 2550, 8001
2026/09/15 00:19:08.249, 3325, 98, 53, 77, 50.50, 2355, 8001
2026/09/15 00:19:09.249, 3324, 99, 53, 77, 51.81, 2250, 8001
2026/09/15 00:19:10.249, 3324, 98, 57, 75, 54.77, 2205, 8001
2026/09/15 00:19:11.250, 3326, 99, 56, 76, 54.74, 2340, 8001
2026/09/15 00:19:12.250, 3326, 71, 20, 77, 53.10, 2535, 8001
2026/09/15 00:19:13.250, 3324, 100, 53, 77, 51.14, 2385, 8001
2026/09/15 00:19:14.251, 3324, 5, 3, 72, 41.57, 2565, 8001
2026/09/15 00:19:15.251, 3325, 98, 61, 76, 51.93, 2415, 8001
2026/09/15 00:19:16.251, 3318, 81, 23, 77, 50.29, 2310, 8001
2026/09/15 00:19:17.251, 1478, 5, 3, 72, 38.07, 2565, 8001
