unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789402717.230676,1514411,1514409,,12.65625,34,0,0,4,1
1789402718.236692,1514411,1514409,96.4,1126.09765625,69,0,4096,12,1
1789402718.2367985,1514445,1514411,,9.765625,1,0,0,3,1
1789402718.236862,1514447,1514411,,9.703125,1,0,0,2,1
1789402718.2369184,1514449,1514411,,9.828125,1,0,0,2,3
1789402718.2369757,1514451,1514411,,9.7578125,1,0,0,2,0
1789402718.237027,1514453,1514411,,9.65234375,1,0,0,2,0
1789402719.2422702,1514411,1514409,81.5,1549.87890625,70,0,4096,60,7
1789402719.2423515,1514445,1514411,3.0,13.078125,1,0,0,11,4
1789402719.242402,1514447,1514411,2.0,12.953125,1,0,0,10,4
1789402719.2424467,1514449,1514411,2.0,13.0234375,1,0,0,10,4
1789402719.2424927,1514451,1514411,3.0,13.01171875,1,0,0,10,12
1789402719.2425375,1514453,1514411,3.0,12.91796875,1,0,0,14,10
1789402720.2479548,1514411,1514409,116.3,1615.01953125,72,0,8192,95,10
1789402720.2480412,1514445,1514411,0.0,13.078125,1,0,0,11,4
1789402720.2480934,1514447,1514411,3.0,12.953125,1,0,0,18,5
1789402720.248144,1514449,1514411,3.0,18.26953125,1,0,0,16,4
1789402720.2481897,1514451,1514411,2.0,16.25390625,1,0,0,14,25
1789402720.248237,1514453,1514411,3.0,12.83984375,1,0,0,18,14
1789402721.253871,1514411,1514409,102.4,1723.4921875,73,0,8192,95,10
1789402721.2539597,1514445,1514411,0.0,13.078125,1,0,0,11,4
1789402721.254018,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402721.254072,1514449,1514411,81.5,37.54296875,1,0,0,198,196
1789402721.2541227,1514451,1514411,57.7,22.07421875,1,0,0,144,107
1789402721.2541716,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402722.25953,1514411,1514409,172.0,1829.46484375,76,0,8192,95,10
1789402722.259614,1514445,1514411,0.0,13.078125,1,0,0,11,4
1789402722.2596629,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402722.2597077,1514449,1514411,75.6,50.734375,1,0,0,436,342
1789402722.2597497,1514451,1514411,20.9,22.0703125,1,0,0,159,127
1789402722.2597902,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402723.265019,1514411,1514409,176.0,1979.34765625,76,0,8192,95,10
1789402723.2650976,1514445,1514411,0.0,13.078125,1,0,0,11,4
1789402723.2651489,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402723.2651956,1514449,1514411,63.7,76.8984375,1,0,0,660,493
1789402723.265241,1514451,1514411,3.0,22.07421875,1,0,0,163,133
1789402723.2652857,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402724.2714593,1514411,1514409,185.8,2117.765625,83,0,8192,95,10
1789402724.27155,1514445,1514411,0.0,13.078125,1,0,0,11,4
1789402724.271608,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402724.271664,1514449,1514411,16.9,76.8984375,1,0,0,669,496
1789402724.271717,1514451,1514411,14.9,50.734375,1,0,0,172,209
1789402724.2717683,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402725.278413,1514411,1514409,173.8,2184.19921875,83,0,8192,95,10
1789402725.278518,1514445,1514411,0.0,13.078125,1,0,0,11,4
1789402725.278589,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402725.2786548,1514449,1514411,11.9,76.8984375,1,0,0,676,498
1789402725.2787192,1514451,1514411,5.0,50.734375,1,0,0,178,211
1789402725.2787821,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402726.2861202,1514411,1514409,165.7,2196.09765625,83,0,8192,95,10
1789402726.2862253,1514445,1514411,0.0,13.078125,1,0,0,11,4
1789402726.286295,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402726.2863598,1514449,1514411,11.9,76.8984375,1,0,0,683,501
1789402726.2864218,1514451,1514411,0.0,50.734375,1,0,0,178,211
1789402726.286482,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402727.2917364,1514411,1514409,125.3,2181.1953125,83,0,23543808,96,10
1789402727.2918193,1514445,1514411,11.9,19.421875,1,0,0,43,21
1789402727.2918735,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402727.291926,1514449,1514411,1.0,76.8984375,1,0,0,684,508
1789402727.291971,1514451,1514411,0.0,50.734375,1,0,0,178,211
1789402727.292014,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402728.2975106,1514411,1514409,192.9,2274.44921875,86,0,23543808,96,10
1789402728.2975912,1514445,1514411,26.8,24.62890625,1,0,0,62,27
1789402728.2976446,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402728.2976923,1514449,1514411,9.9,76.8984375,1,0,0,690,519
1789402728.2977364,1514451,1514411,0.0,50.734375,1,0,0,178,211
1789402728.2977788,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402729.3029044,1514411,1514409,145.2,2299.5703125,86,0,23543808,96,10
1789402729.3029802,1514445,1514411,0.0,24.62890625,1,0,0,62,27
1789402729.3030384,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402729.3030818,1514449,1514411,7.0,76.8984375,1,0,0,696,521
1789402729.3031235,1514451,1514411,0.0,50.734375,1,0,0,178,211
1789402729.3031645,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402730.3083713,1514411,1514409,151.2,2305.08203125,86,0,23543808,96,10
1789402730.3084466,1514445,1514411,0.0,24.62890625,1,0,0,62,27
1789402730.3084958,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402730.3085406,1514449,1514411,12.9,76.8984375,1,0,0,705,524
1789402730.3085825,1514451,1514411,0.0,50.734375,1,0,0,178,211
1789402730.3086228,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402731.3140779,1514411,1514409,160.1,2246.8203125,86,0,23543808,96,10
1789402731.3141584,1514445,1514411,0.0,24.62890625,1,0,0,62,27
1789402731.314208,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402731.3142529,1514449,1514411,13.9,76.8984375,1,0,0,716,553
1789402731.3142962,1514451,1514411,0.0,50.734375,1,0,0,178,211
1789402731.3143373,1514453,1514411,0.0,12.83984375,1,0,0,18,14
1789402732.3200576,1514411,1514409,182.9,2322.08203125,86,0,30076928,97,10
1789402732.320145,1514445,1514411,0.0,24.62890625,1,0,0,62,27
1789402732.3201997,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402732.3202515,1514449,1514411,8.9,76.8984375,1,0,0,724,555
1789402732.3203015,1514451,1514411,0.0,50.734375,1,0,0,178,211
1789402732.3203487,1514453,1514411,37.8,67.23828125,1,0,0,85,79
1789402733.326439,1514411,1514409,187.8,2350.71484375,86,0,30076928,97,10
1789402733.3265321,1514445,1514411,0.0,24.62890625,1,0,0,62,27
1789402733.3265955,1514447,1514411,0.0,12.953125,1,0,0,18,5
1789402733.3266554,1514449,1514411,5.0,76.8984375,1,0,0,727,558
1789402733.3267126,1514451,1514411,0.0,50.734375,1,0,0,178,211
1789402733.3267663,1514453,1514411,7.0,67.23828125,1,0,0,90,91
