timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/15 00:13:05.965, 1449, 14, 8, 57, 10.38, 1890, 6001
2026/09/15 00:13:06.969, 2157, 12, 4, 57, 15.39, 1890, 8001
2026/09/15 00:13:07.969, 3508, 38, 28, 59, 17.24, 1890, 7001
2026/09/15 00:13:08.969, 3749, 13, 5, 59, 24.47, 2340, 8001
2026/09/15 00:13:09.970, 5787, 79, 42, 63, 39.05, 2370, 8001
2026/09/15 00:13:10.970, 6087, 25, 7, 62, 41.20, 2580, 8001
2026/09/15 00:13:11.970, 6086, 100, 79, 65, 41.52, 2100, 8001
2026/09/15 00:13:12.971, 6082, 68, 29, 64, 47.76, 2550, 8001
2026/09/15 00:13:13.971, 6080, 99, 60, 66, 33.91, 2235, 8001
2026/09/15 00:13:14.971, 6093, 73, 40, 67, 54.30, 2475, 8001
2026/09/15 00:13:15.972, 6093, 96, 54, 67, 44.45, 2250, 8001
2026/09/15 00:13:16.972, 6094, 97, 53, 67, 55.34, 2355, 8001
2026/09/15 00:13:17.972, 6094, 97, 58, 68, 51.96, 2430, 8001
2026/09/15 00:13:18.973, 6092, 75, 23, 68, 51.68, 2580, 8001
2026/09/15 00:13:19.973, 6074, 81, 37, 68, 50.92, 2325, 8001
2026/09/15 00:13:20.973, 6245, 74, 28, 69, 53.67, 2475, 8001
2026/09/15 00:13:21.974, 6213, 24, 9, 67, 38.62, 2580, 8001
2026/09/15 00:13:22.974, 6198, 68, 39, 70, 46.63, 2100, 8001
2026/09/15 00:13:23.974, 6195, 21, 6, 68, 42.28, 2100, 8001
2026/09/15 00:13:24.975, 6194, 60, 11, 71, 50.82, 2475, 8001
2026/09/15 00:13:25.975, 6092, 73, 41, 69, 40.00, 2565, 8001
2026/09/15 00:13:26.976, 6077, 28, 8, 68, 33.38, 2565, 8001
2026/09/15 00:13:27.976, 6079, 97, 65, 71, 38.88, 2055, 8001
2026/09/15 00:13:28.976, 6096, 84, 46, 70, 51.46, 2550, 8001
2026/09/15 00:13:29.976, 6097, 29, 10, 71, 35.03, 2100, 8001
2026/09/15 00:13:30.977, 6096, 73, 23, 70, 52.79, 2535, 8001
2026/09/15 00:13:31.977, 6095, 100, 69, 74, 43.85, 2040, 8001
2026/09/15 00:13:32.977, 6096, 80, 31, 72, 53.89, 2355, 8001
2026/09/15 00:13:33.978, 6078, 43, 17, 70, 43.85, 2565, 8001
2026/09/15 00:13:34.978, 6071, 29, 8, 70, 40.82, 2490, 8001
2026/09/15 00:13:35.978, 6071, 23, 6, 70, 38.11, 2565, 8001
2026/09/15 00:13:36.978, 6072, 86, 46, 71, 45.39, 2520, 8001
2026/09/15 00:13:37.979, 6079, 97, 54, 73, 54.37, 2310, 8001
2026/09/15 00:13:38.979, 6077, 56, 6, 73, 51.15, 2565, 8001
2026/09/15 00:13:39.979, 6077, 97, 53, 73, 53.92, 2355, 8001
2026/09/15 00:13:40.979, 6077, 97, 57, 74, 53.21, 2055, 8001
2026/09/15 00:13:41.980, 6240, 96, 49, 73, 50.30, 2025, 8001
2026/09/15 00:13:42.980, 6241, 63, 13, 72, 50.06, 2565, 8001
2026/09/15 00:13:43.980, 6238, 99, 53, 73, 51.80, 2055, 8001
2026/09/15 00:13:44.980, 6234, 93, 54, 74, 52.74, 2475, 8001
2026/09/15 00:13:45.981, 6108, 96, 55, 76, 53.96, 2355, 8001
2026/09/15 00:13:46.981, 6071, 98, 55, 74, 54.83, 2130, 8001
2026/09/15 00:13:47.981, 6071, 84, 62, 75, 41.38, 2160, 8001
