unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789402385.9673536,1505854,1505852,,2.40625,1,3588096,0,4,2
1789402386.973247,1505854,1505852,88.5,1039.36328125,71,24649728,4096,43,4
1789402386.973362,1505888,1505854,,9.83203125,1,17076224,0,15,1
1789402386.9734178,1505890,1505854,,9.74609375,1,0,0,2,1
1789402386.9734697,1505892,1505854,,9.78125,1,0,0,2,0
1789402386.9735188,1505894,1505854,,9.63671875,1,0,0,2,1
1789402386.9735649,1505896,1505854,,9.6796875,1,0,0,2,0
1789402387.9785624,1505854,1505852,77.6,1755.92578125,72,24731648,4096,91,6
1789402387.9786422,1505888,1505854,5.0,13.078125,1,17076224,0,23,8
1789402387.9786904,1505890,1505854,2.0,12.9921875,1,0,0,10,4
1789402387.978734,1505892,1505854,4.0,12.9765625,1,0,0,10,8
1789402387.9787776,1505894,1505854,4.0,12.87109375,1,0,0,10,2
1789402387.978821,1505896,1505854,3.0,12.9296875,1,0,0,10,10
1789402388.9839191,1505854,1505852,99.5,1984.7421875,73,24731648,4096,133,7
1789402388.9839945,1505888,1505854,0.0,13.078125,1,17076224,0,23,8
1789402388.9840422,1505890,1505854,0.0,12.9921875,1,0,0,10,4
1789402388.9840863,1505892,1505854,0.0,12.9765625,1,0,0,10,8
1789402388.984129,1505894,1505854,0.0,12.87109375,1,0,0,10,2
1789402388.98417,1505896,1505854,0.0,12.9296875,1,0,0,10,10
1789402389.9892256,1505854,1505852,128.3,2133.66796875,75,24731648,4096,145,7
1789402389.989299,1505888,1505854,0.0,13.078125,1,17076224,0,23,8
1789402389.9893427,1505890,1505854,3.0,12.9921875,1,0,0,18,7
1789402389.9893863,1505892,1505854,0.0,12.9765625,1,0,0,10,8
1789402389.989426,1505894,1505854,0.0,12.87109375,1,0,0,10,2
1789402389.989464,1505896,1505854,0.0,12.9296875,1,0,0,10,10
1789402390.9946356,1505854,1505852,112.4,2148.2890625,75,24731648,8192,152,7
1789402390.994716,1505888,1505854,0.0,13.078125,1,17076224,0,23,8
1789402390.9947639,1505890,1505854,0.0,12.9921875,1,0,0,18,7
1789402390.994807,1505892,1505854,0.0,12.9765625,1,0,0,10,8
1789402390.9948478,1505894,1505854,0.0,12.87109375,1,0,0,10,2
1789402390.9949138,1505896,1505854,0.0,12.9296875,1,0,0,10,10
1789402391.9997787,1505854,1505852,112.4,2151.66796875,75,24731648,8192,208,7
1789402391.999852,1505888,1505854,3.0,13.078125,1,17076224,0,31,8
1789402391.9998958,1505890,1505854,0.0,12.9921875,1,0,0,18,7
1789402391.9999356,1505892,1505854,0.0,12.9765625,1,0,0,10,8
1789402391.999973,1505894,1505854,0.0,12.87109375,1,0,0,10,2
1789402392.000011,1505896,1505854,0.0,12.9296875,1,0,0,10,10
1789402393.0052328,1505854,1505852,121.3,2151.78515625,75,24731648,8192,213,7
1789402393.0053103,1505888,1505854,0.0,13.078125,1,17076224,0,31,8
1789402393.0053573,1505890,1505854,0.0,12.9921875,1,0,0,18,7
1789402393.0054004,1505892,1505854,0.0,12.9765625,1,0,0,10,8
1789402393.0054414,1505894,1505854,0.0,12.87109375,1,0,0,10,2
1789402393.005481,1505896,1505854,0.0,12.9296875,1,0,0,10,10
1789402394.0108736,1505854,1505852,97.5,2250.2421875,75,24731648,8192,215,7
1789402394.0109572,1505888,1505854,0.0,13.078125,1,17076224,0,31,8
1789402394.0110111,1505890,1505854,0.0,12.9921875,1,0,0,18,7
1789402394.01106,1505892,1505854,0.0,12.9765625,1,0,0,10,8
1789402394.0111086,1505894,1505854,71.6,35.74609375,1,0,0,176,53
1789402394.011155,1505896,1505854,54.7,21.91796875,1,0,0,141,106
1789402395.0184336,1505854,1505852,146.9,2377.61328125,77,24731648,8192,215,7
1789402395.0185168,1505888,1505854,0.0,13.078125,1,17076224,0,31,8
1789402395.0185702,1505890,1505854,0.0,12.9921875,1,0,0,18,7
1789402395.0186186,1505892,1505854,0.0,12.9765625,1,0,0,10,8
1789402395.0186663,1505894,1505854,76.4,50.58984375,1,0,0,415,183
1789402395.0187132,1505896,1505854,5.0,21.91796875,1,0,0,145,106
1789402396.0237448,1505854,1505852,170.1,2482.87109375,79,24731648,8192,215,7
1789402396.023822,1505888,1505854,0.0,13.078125,1,17076224,0,31,8
1789402396.0238762,1505890,1505854,0.0,12.9921875,1,0,0,18,7
1789402396.0239224,1505892,1505854,0.0,12.9765625,1,0,0,10,8
