case,file,pages,seconds,page_errors,degraded
before-ocr-off/c2,2403.01632v4.pdf,47,6.918541717,0,False
before-ocr-off/c2,2410.05779v3.pdf,16,4.694115732,0,False
before-ocr-off/c2,2412.05210v1.pdf,12,8.26630272,0,False
before-ocr-off/c2,2303.18223v16.pdf,144,20.44063156,0,False
before-ocr-off/c2,2604.18583v1.pdf,15,3.363686766,0,False
before-ocr-off/c2,2603.01919v2.pdf,23,7.929356717,0,False
before-ocr-off/c2,2604.21959v1.pdf,3,0.277072986,0,False
before-ocr-off/c2,2604.18584v1.pdf,32,4.605522451,0,False
before-ocr-off/c2,2606.17056v1.pdf,25,4.211427162,0,False
before-ocr-off/c2,2609.04180v1.pdf,23,4.892806301,0,False
before-ocr-off/c2,2609.04184v1.pdf,8,1.194535433,0,False
before-ocr-off/c2,2609.04203v1.pdf,20,3.163709667,0,False
before-ocr-on/c2,2403.01632v4.pdf,47,23.568387989,0,False
before-ocr-on/c2,2303.18223v16.pdf,144,41.305985296,0,False
before-ocr-on/c2,2410.05779v3.pdf,16,22.097813237,0,False
before-ocr-on/c2,2412.05210v1.pdf,12,14.686521927,0,False
before-ocr-on/c2,2603.01919v2.pdf,23,21.008624697,0,False
before-ocr-on/c2,2604.18583v1.pdf,15,13.554059022,0,False
before-ocr-on/c2,2604.21959v1.pdf,3,6.253627886,0,False
before-ocr-on/c2,2604.18584v1.pdf,32,33.852467165,0,False
before-ocr-on/c2,2606.17056v1.pdf,25,26.7420951,0,False
before-ocr-on/c2,2609.04184v1.pdf,8,12.989483279,0,False
before-ocr-on/c2,2609.04180v1.pdf,23,15.425155888,0,False
before-ocr-on/c2,2609.04203v1.pdf,20,6.397428259,0,False
final-ocr-on/c2,2403.01632v4.pdf,47,21.970492885,0,False
final-ocr-on/c2,2303.18223v16.pdf,144,38.705602764,0,False
final-ocr-on/c2,2410.05779v3.pdf,16,19.038484256,0,False
final-ocr-on/c2,2412.05210v1.pdf,12,15.257260551,0,False
final-ocr-on/c2,2603.01919v2.pdf,23,20.262329104,0,False
final-ocr-on/c2,2604.18583v1.pdf,15,7.573092673,0,False
final-ocr-on/c2,2604.21959v1.pdf,3,4.052840713,0,False
final-ocr-on/c2,2606.17056v1.pdf,25,25.230562435,0,False
final-ocr-on/c2,2604.18584v1.pdf,32,32.187395958,0,False
final-ocr-on/c2,2609.04180v1.pdf,23,13.384830196,0,False
final-ocr-on/c2,2609.04184v1.pdf,8,11.003851693,0,False
final-ocr-on/c2,2609.04203v1.pdf,20,6.078346257,0,False
final-ocr-on/c5,2410.05779v3.pdf,16,28.93418035,0,False
final-ocr-on/c5,2412.05210v1.pdf,12,32.169704817,0,False
final-ocr-on/c5,2603.01919v2.pdf,23,48.854036778,0,False
final-ocr-on/c5,2604.18583v1.pdf,15,32.085799538,0,False
final-ocr-on/c5,2403.01632v4.pdf,47,64.267640808,0,False
final-ocr-on/c5,2604.21959v1.pdf,3,16.64323327,0,False
