timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/15 00:30:49.156, 1475, 5, 3, 73, 32.41, 2565, 8001
2026/09/15 00:30:50.160, 2108, 16, 4, 73, 25.47, 2565, 8001
2026/09/15 00:30:51.160, 3247, 45, 36, 72, 20.40, 1890, 8001
2026/09/15 00:30:52.160, 3637, 41, 11, 72, 21.90, 1890, 8001
2026/09/15 00:30:53.161, 5695, 100, 61, 75, 29.72, 2160, 8001
2026/09/15 00:30:54.161, 6079, 38, 16, 75, 48.42, 2565, 8001
2026/09/15 00:30:55.161, 6078, 100, 65, 77, 42.65, 2145, 8001
2026/09/15 00:30:56.161, 6056, 63, 29, 78, 49.56, 2505, 8001
2026/09/15 00:30:57.161, 6055, 99, 59, 78, 46.95, 2190, 8001
2026/09/15 00:30:58.162, 6055, 98, 59, 76, 54.74, 2010, 8001
2026/09/15 00:30:59.162, 6055, 97, 55, 77, 55.26, 2190, 8001
2026/09/15 00:31:00.163, 6060, 99, 56, 78, 55.09, 2250, 8001
2026/09/15 00:31:01.163, 6062, 95, 51, 77, 55.24, 2220, 8001
2026/09/15 00:31:02.163, 6061, 53, 14, 76, 59.19, 2565, 8001
2026/09/15 00:31:03.164, 6067, 54, 9, 76, 39.69, 2565, 8001
2026/09/15 00:31:04.164, 7091, 59, 22, 78, 50.92, 2565, 8001
2026/09/15 00:31:05.165, 7085, 68, 21, 78, 52.29, 2220, 8001
2026/09/15 00:31:06.165, 7084, 71, 22, 79, 53.53, 2490, 8001
2026/09/15 00:31:07.165, 7086, 59, 10, 76, 49.37, 2475, 8001
2026/09/15 00:31:08.166, 7090, 86, 41, 78, 47.31, 2175, 8001
2026/09/15 00:31:09.166, 7090, 39, 15, 77, 42.09, 2565, 8001
2026/09/15 00:31:10.166, 7089, 25, 8, 77, 45.74, 2565, 8001
2026/09/15 00:31:11.166, 7091, 99, 68, 78, 43.34, 2010, 8001
2026/09/15 00:31:12.167, 7090, 77, 31, 78, 51.85, 2385, 8001
2026/09/15 00:31:13.167, 7090, 24, 7, 76, 47.49, 2145, 8001
2026/09/15 00:31:14.167, 7089, 85, 36, 76, 52.83, 2295, 8001
2026/09/15 00:31:15.168, 7091, 69, 22, 77, 52.51, 2565, 8001
2026/09/15 00:31:16.168, 7090, 49, 22, 77, 43.39, 2565, 8001
2026/09/15 00:31:17.168, 7090, 98, 66, 79, 50.22, 1905, 8001
2026/09/15 00:31:18.168, 7084, 33, 12, 76, 48.28, 2520, 8001
2026/09/15 00:31:19.169, 7084, 95, 57, 78, 48.69, 2370, 8001
2026/09/15 00:31:20.169, 7089, 76, 45, 75, 44.98, 2250, 8001
2026/09/15 00:31:21.169, 7091, 66, 35, 80, 50.04, 2340, 8001
2026/09/15 00:31:22.170, 7090, 95, 59, 79, 56.70, 2130, 8001
2026/09/15 00:31:23.170, 7090, 24, 7, 76, 40.06, 2565, 8001
2026/09/15 00:31:24.170, 7089, 41, 17, 76, 38.73, 2475, 8001
2026/09/15 00:31:25.171, 7105, 48, 17, 78, 44.56, 2535, 8001
2026/09/15 00:31:26.171, 7105, 94, 56, 79, 53.20, 2355, 8001
2026/09/15 00:31:27.171, 7105, 73, 41, 78, 49.08, 2370, 8001
2026/09/15 00:31:28.172, 7104, 31, 8, 77, 45.77, 2565, 8001
2026/09/15 00:31:29.172, 7105, 98, 62, 78, 52.50, 1980, 8001
2026/09/15 00:31:30.172, 7085, 100, 58, 79, 54.60, 2205, 8001
2026/09/15 00:31:31.173, 7083, 86, 41, 79, 52.46, 2205, 8001
2026/09/15 00:31:32.173, 7076, 18, 6, 75, 38.88, 2565, 8001
2026/09/15 00:31:33.173, 7277, 99, 70, 78, 40.27, 2040, 8001
2026/09/15 00:31:34.173, 7131, 26, 9, 76, 42.54, 2565, 8001
2026/09/15 00:31:35.174, 7108, 21, 6, 75, 40.70, 2565, 8001
2026/09/15 00:31:36.174, 7105, 36, 11, 77, 38.02, 2565, 8001
2026/09/15 00:31:37.175, 7103, 99, 74, 80, 47.55, 2280, 8001
2026/09/15 00:31:38.175, 7096, 91, 52, 80, 57.08, 2295, 8001
2026/09/15 00:31:39.175, 7094, 45, 22, 78, 50.09, 2490, 8001
2026/09/15 00:31:40.175, 7082, 85, 38, 77, 53.86, 2460, 8001
2026/09/15 00:31:41.176, 7082, 63, 16, 78, 48.37, 2565, 8001
2026/09/15 00:31:42.176, 7081, 98, 51, 78, 47.65, 2070, 8001
2026/09/15 00:31:43.176, 7083, 97, 53, 79, 54.36, 2130, 8001
2026/09/15 00:31:44.177, 7082, 24, 8, 76, 36.84, 2565, 8001
2026/09/15 00:31:45.177, 7076, 91, 65, 78, 39.13, 2265, 8001
2026/09/15 00:31:46.177, 7076, 21, 6, 76, 47.15, 2565, 8001
2026/09/15 00:31:47.178, 7075, 61, 29, 77, 38.99, 2490, 8001
2026/09/15 00:31:48.178, 7083, 34, 14, 77, 51.52, 2565, 8001
2026/09/15 00:31:49.178, 7082, 39, 13, 77, 46.32, 2565, 8001
2026/09/15 00:31:50.178, 7082, 89, 43, 77, 53.79, 2445, 8001
2026/09/15 00:31:51.179, 7082, 24, 7, 76, 44.39, 2565, 8001
2026/09/15 00:31:52.179, 7081, 51, 25, 77, 42.92, 2475, 8001
2026/09/15 00:31:53.179, 7083, 21, 7, 76, 46.41, 2565, 8001
2026/09/15 00:31:54.180, 7082, 46, 21, 77, 48.65, 2520, 8001
2026/09/15 00:31:55.180, 7082, 98, 52, 79, 52.76, 2235, 8001
2026/09/15 00:31:56.180, 7083, 54, 15, 80, 48.02, 2565, 8001
2026/09/15 00:31:57.181, 7083, 99, 74, 79, 57.69, 1950, 8001
2026/09/15 00:31:58.181, 7076, 97, 53, 78, 55.08, 2250, 8001
