timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/15 00:16:00.578, 1480, 29, 5, 59, 9.11, 285, 6001
2026/09/15 00:16:01.582, 2152, 17, 7, 60, 14.64, 1890, 7001
2026/09/15 00:16:02.583, 3449, 44, 21, 62, 16.62, 1965, 8001
2026/09/15 00:16:03.583, 3793, 47, 4, 61, 21.12, 1995, 8001
2026/09/15 00:16:04.583, 5800, 17, 9, 68, 34.03, 2565, 8001
2026/09/15 00:16:05.584, 6107, 82, 59, 68, 44.80, 2070, 8001
2026/09/15 00:16:06.584, 6160, 81, 53, 68, 46.00, 2490, 8001
2026/09/15 00:16:07.585, 6108, 7, 3, 65, 43.29, 2580, 8001
2026/09/15 00:16:08.585, 6107, 100, 74, 69, 41.26, 2175, 8001
2026/09/15 00:16:09.585, 6089, 28, 9, 67, 46.42, 2580, 8001
2026/09/15 00:16:10.585, 6077, 98, 54, 69, 51.08, 2295, 8001
2026/09/15 00:16:11.586, 6077, 98, 54, 69, 55.15, 2430, 8001
2026/09/15 00:16:12.586, 6076, 96, 60, 72, 52.81, 2385, 8001
2026/09/15 00:16:13.586, 6078, 78, 33, 72, 54.35, 2490, 8001
2026/09/15 00:16:14.587, 6077, 93, 52, 70, 53.56, 2100, 8001
2026/09/15 00:16:15.587, 6077, 53, 7, 68, 43.93, 2565, 8001
2026/09/15 00:16:16.587, 6077, 94, 53, 72, 48.01, 2100, 8001
2026/09/15 00:16:17.588, 6088, 100, 78, 72, 47.28, 2040, 8001
2026/09/15 00:16:18.588, 6090, 36, 14, 69, 50.75, 2565, 8001
2026/09/15 00:16:19.588, 6089, 21, 6, 69, 39.03, 2565, 8001
2026/09/15 00:16:20.589, 6089, 29, 8, 70, 33.62, 2565, 8001
2026/09/15 00:16:21.589, 6088, 100, 72, 73, 48.54, 2160, 8001
2026/09/15 00:16:22.589, 6078, 24, 7, 69, 45.10, 2565, 8001
2026/09/15 00:16:23.590, 6077, 99, 55, 71, 49.16, 2475, 8001
2026/09/15 00:16:24.590, 6077, 48, 24, 73, 46.94, 2505, 8001
2026/09/15 00:16:25.590, 6089, 98, 59, 73, 53.55, 2235, 8001
2026/09/15 00:16:26.591, 6088, 58, 15, 71, 45.69, 2250, 8001
2026/09/15 00:16:27.591, 6090, 44, 17, 72, 42.41, 2565, 8001
2026/09/15 00:16:28.591, 6089, 22, 6, 71, 40.45, 2565, 8001
2026/09/15 00:16:29.591, 6089, 63, 34, 71, 46.82, 2145, 8001
2026/09/15 00:16:30.592, 6151, 93, 54, 73, 54.35, 2430, 8001
2026/09/15 00:16:31.592, 6097, 99, 55, 74, 53.75, 2040, 8001
2026/09/15 00:16:32.592, 6096, 71, 20, 75, 51.15, 2535, 8001
2026/09/15 00:16:33.592, 6096, 95, 51, 74, 54.58, 2085, 8001
2026/09/15 00:16:34.593, 6096, 98, 57, 73, 49.45, 2235, 8001
2026/09/15 00:16:35.593, 6083, 98, 53, 76, 54.86, 2070, 8001
2026/09/15 00:16:36.593, 6085, 82, 42, 75, 53.96, 2325, 8001
2026/09/15 00:16:37.594, 6083, 93, 49, 74, 54.23, 2325, 8001
2026/09/15 00:16:38.594, 6083, 96, 56, 74, 54.60, 2400, 8001
2026/09/15 00:16:39.594, 6083, 33, 10, 75, 46.43, 2565, 8001
2026/09/15 00:16:40.594, 6084, 25, 7, 72, 40.03, 2565, 8001
2026/09/15 00:16:41.595, 6073, 30, 9, 73, 38.38, 2565, 8001
2026/09/15 00:16:42.595, 6073, 48, 21, 76, 36.09, 2460, 8001
2026/09/15 00:16:43.595, 6071, 45, 18, 75, 51.24, 2550, 8001
2026/09/15 00:16:44.595, 6084, 42, 15, 75, 41.46, 2565, 8001
2026/09/15 00:16:45.596, 6074, 53, 27, 76, 43.28, 2505, 8001
2026/09/15 00:16:46.596, 6085, 22, 7, 73, 37.08, 2565, 8001
2026/09/15 00:16:47.596, 6083, 96, 55, 76, 53.29, 2115, 8001
2026/09/15 00:16:48.597, 6084, 36, 14, 75, 44.81, 2535, 8001
2026/09/15 00:16:49.597, 7097, 100, 76, 76, 49.40, 1995, 8001
2026/09/15 00:16:50.597, 7097, 100, 59, 77, 63.47, 2295, 8001
2026/09/15 00:16:51.598, 7095, 91, 40, 75, 45.58, 2310, 8001
2026/09/15 00:16:52.598, 7096, 97, 57, 77, 51.15, 2370, 8001
2026/09/15 00:16:53.598, 7095, 70, 25, 77, 50.93, 2535, 8001
2026/09/15 00:16:54.598, 7095, 31, 9, 74, 40.99, 2565, 8001
2026/09/15 00:16:55.599, 7095, 90, 64, 77, 38.82, 1995, 8001
