unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789402560.570818,1510990,1510988,,12.578125,33,0,0,6,2
1789402561.576599,1510990,1510988,96.4,1045.26171875,71,0,4096,18,2
1789402561.5766976,1511023,1510990,,9.8515625,1,0,0,2,0
1789402561.576754,1511026,1510990,,9.73046875,1,0,0,2,0
1789402561.5768065,1511028,1510990,,9.703125,1,0,0,2,0
1789402561.576863,1511030,1510990,,9.7734375,1,0,0,2,0
1789402561.576912,1511032,1510990,,9.7265625,1,0,0,2,0
1789402562.5822215,1510990,1510988,78.6,1772.93359375,72,0,4096,64,3
1789402562.582298,1511023,1510990,3.0,13.1640625,1,0,0,10,1
1789402562.5823445,1511026,1510990,5.0,12.91796875,1,0,0,10,15
1789402562.582387,1511028,1510990,2.0,12.95703125,1,0,0,10,14
1789402562.5824296,1511030,1510990,4.0,13.0234375,1,0,0,10,6
1789402562.5824714,1511032,1510990,3.0,12.91015625,1,0,0,10,2
1789402563.5877337,1510990,1510988,99.5,1989.421875,73,0,4096,79,3
1789402563.5878077,1511023,1510990,0.0,13.1640625,1,0,0,10,1
1789402563.587856,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402563.5878994,1511028,1510990,0.0,12.95703125,1,0,0,10,14
1789402563.58794,1511030,1510990,0.0,13.0234375,1,0,0,10,6
1789402563.587981,1511032,1510990,0.0,12.91015625,1,0,0,10,2
1789402564.5931668,1510990,1510988,125.3,2153.42578125,75,0,4096,91,3
1789402564.593247,1511023,1510990,2.0,13.1640625,1,0,0,18,1
1789402564.5932975,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402564.5933444,1511028,1510990,0.0,12.95703125,1,0,0,10,14
1789402564.593388,1511030,1510990,0.0,13.0234375,1,0,0,10,6
1789402564.5934305,1511032,1510990,0.0,12.91015625,1,0,0,10,2
1789402565.5985024,1510990,1510988,110.4,2161.4453125,75,0,8192,105,3
1789402565.598582,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402565.5986316,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402565.598675,1511028,1510990,0.0,12.95703125,1,0,0,10,14
1789402565.598716,1511030,1510990,0.0,13.0234375,1,0,0,10,6
1789402565.5987558,1511032,1510990,0.0,12.91015625,1,0,0,10,2
1789402566.6042666,1510990,1510988,118.3,2180.87109375,75,0,8192,128,3
1789402566.6043422,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402566.6043873,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402566.6044285,1511028,1510990,0.0,12.95703125,1,0,0,10,14
1789402566.6044657,1511030,1510990,0.0,13.0234375,1,0,0,10,6
1789402566.6045024,1511032,1510990,3.0,12.91015625,1,0,0,18,3
1789402567.609779,1510990,1510988,90.5,2196.8671875,75,0,8192,134,3
1789402567.6098585,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402567.6099067,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402567.6099494,1511028,1510990,23.9,26.58203125,1,0,0,68,64
1789402567.609992,1511030,1510990,21.9,22.64453125,1,0,0,73,36
1789402567.6100335,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402568.6155248,1510990,1510988,150.1,2315.74609375,77,0,8192,134,3
1789402568.6156123,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402568.6156712,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402568.6157146,1511028,1510990,80.5,42.4921875,1,0,0,254,171
1789402568.6157582,1511030,1510990,36.8,29.3203125,1,0,0,144,76
1789402568.6157997,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402569.6214924,1510990,1510988,161.0,2419.234375,79,0,8192,134,3
1789402569.621578,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402569.621632,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402569.6216815,1511028,1510990,71.6,48.6796875,1,0,0,544,334
1789402569.6217303,1511030,1510990,7.0,22.046875,1,0,0,149,76
1789402569.6217792,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402570.6269717,1510990,1510988,166.1,2527.375,79,0,8192,134,3
1789402570.627047,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402570.6270964,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402570.6271455,1511028,1510990,50.7,76.9296875,1,0,0,665,393
1789402570.6271882,1511030,1510990,0.0,22.046875,1,0,0,149,76
1789402570.62723,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402571.6325104,1510990,1510988,172.0,2600.640625,80,0,8192,134,3
1789402571.6325896,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402571.6326382,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402571.6326828,1511028,1510990,14.9,76.9296875,1,0,0,673,398
1789402571.6327248,1511030,1510990,6.0,22.046875,1,0,0,153,95
1789402571.6327658,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402572.637909,1510990,1510988,166.1,2670.3203125,80,0,8192,134,3
1789402572.637989,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402572.6380365,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402572.6380808,1511028,1510990,0.0,76.9296875,1,0,0,673,398
1789402572.6381223,1511030,1510990,6.0,22.046875,1,0,0,159,129
1789402572.638164,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402573.6440258,1510990,1510988,180.9,2673.7265625,80,0,8192,134,3
1789402573.6441052,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402573.6441536,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402573.6442008,1511028,1510990,0.0,76.9296875,1,0,0,673,398
1789402573.6442413,1511030,1510990,2.0,22.09375,1,0,0,160,129
1789402573.6442814,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402574.6495428,1510990,1510988,179.0,2759.01953125,83,0,8192,134,3
1789402574.6496236,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402574.6496735,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402574.6497185,1511028,1510990,0.0,76.9296875,1,0,0,673,398
1789402574.649763,1511030,1510990,15.9,50.7578125,1,0,0,170,157
1789402574.6498065,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402575.6558192,1510990,1510988,179.9,2783.69921875,83,0,8192,134,3
1789402575.6559093,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402575.6559627,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402575.6560104,1511028,1510990,2.0,76.9296875,1,0,0,675,398
1789402575.6560566,1511030,1510990,0.0,50.7578125,1,0,0,170,157
1789402575.6561017,1511032,1510990,0.0,12.91015625,1,0,0,18,3
1789402576.6619515,1510990,1510988,125.2,2821.76171875,83,0,8192,134,3
1789402576.6620367,1511023,1510990,0.0,13.1640625,1,0,0,18,1
1789402576.662096,1511026,1510990,0.0,12.91796875,1,0,0,10,15
1789402576.6621459,1511028,1510990,2.0,76.9296875,1,0,0,676,407
1789402576.662195,1511030,1510990,0.0,50.7578125,1,0,0,170,157
