case,stage,count,seconds
before-ocr-off/c2,DocumentContext,12,0.06738971099999999
before-ocr-off/c2,LayoutInference,368,25.991305481999994
before-ocr-off/c2,LayoutPostprocess,368,0.005678206
before-ocr-off/c2,LayoutPreprocess,368,7.330786558000001
before-ocr-off/c2,LayoutQueue,368,86.89262251999999
before-ocr-off/c2,LayoutReadback,368,0.0018595590000000004
before-ocr-off/c2,LinkValidate,12,0.14981143100000002
before-ocr-off/c2,ParseTotal,12,69.246609217
before-ocr-off/c2,PdfOpen,12,0.006398723
before-ocr-off/c2,PdfRender,368,8.625981179999998
before-ocr-off/c2,PdfiumQueue,12,4.5070999999999996e-05
before-ocr-off/c2,TableCellInference,121,4.101967213
before-ocr-off/c2,TableCellPostprocess,121,0.0013366380000000002
before-ocr-off/c2,TableCellPreprocess,121,0.9684989820000001
before-ocr-off/c2,TableExternal,121,163.38164989000003
before-ocr-off/c2,TableFill,121,0.21389377599999998
before-ocr-off/c2,TextExtract,368,5.73877855
before-ocr-off/c2,TextFinish,736,9.915100500000001
before-ocr-off/c2,TextPrepare,368,0.017378726999999997
before-ocr-off/c2,TsrInference,133,32.186472813
before-ocr-off/c2,TsrPostprocess,133,0.008755874999999998
before-ocr-off/c2,TsrPreprocess,133,0.190803335
before-ocr-off/c2,TsrQueue,254,125.855143932
before-ocr-on/c2,DocumentContext,12,0.07479643699999998
before-ocr-on/c2,LayoutInference,368,33.601854547
before-ocr-on/c2,LayoutPostprocess,368,0.005730208999999999
before-ocr-on/c2,LayoutPreprocess,368,7.283213929999999
before-ocr-on/c2,LayoutQueue,368,55.14876054900001
before-ocr-on/c2,LayoutReadback,368,0.0016187519999999998
before-ocr-on/c2,LinkValidate,12,0.15798827699999998
before-ocr-on/c2,Ocr,111,704.769669802
before-ocr-on/c2,OcrDecode,6146,0.017596138999999997
before-ocr-on/c2,OcrDetectionInference,111,17.519383544
before-ocr-on/c2,OcrDetectionPostprocess,111,1.398245851
before-ocr-on/c2,OcrDetectionPreprocess,111,5.199424914
before-ocr-on/c2,OcrOrientationInference,1798,31.04892063200001
before-ocr-on/c2,OcrQueue,3818,532.3337582269999
before-ocr-on/c2,OcrReadback,3707,13.318025733999999
before-ocr-on/c2,OcrRecognitionInference,1798,98.73506854799996
before-ocr-on/c2,OcrRecognitionPreprocess,3596,3.9875768710000004
before-ocr-on/c2,ParseTotal,12,237.13675007500007
before-ocr-on/c2,PdfOpen,12,0.006537131000000001
before-ocr-on/c2,PdfRender,368,8.834226974999998
before-ocr-on/c2,PdfiumQueue,12,4.1160000000000006e-05
before-ocr-on/c2,TableCellInference,121,4.404861629
before-ocr-on/c2,TableCellPostprocess,121,0.001508828
before-ocr-on/c2,TableCellPreprocess,121,0.9786545209999999
before-ocr-on/c2,TableExternal,121,93.98994673899999
before-ocr-on/c2,TableFill,121,0.24527619099999992
before-ocr-on/c2,TextExtract,368,5.625610074999999
before-ocr-on/c2,TextFinish,736,9.782542902
before-ocr-on/c2,TextPrepare,368,0.036222750000000005
before-ocr-on/c2,TsrInference,133,36.036600745
before-ocr-on/c2,TsrPostprocess,133,0.009196228
before-ocr-on/c2,TsrPreprocess,133,0.201389447
before-ocr-on/c2,TsrQueue,254,52.29280905500001
final-ocr-on/c2,DocumentContext,12,0.069492643
final-ocr-on/c2,LayoutInference,368,34.75438343399999
final-ocr-on/c2,LayoutPostprocess,368,0.005007854999999998
final-ocr-on/c2,LayoutPreprocess,368,7.244092703000001
final-ocr-on/c2,LayoutQueue,368,60.40755615900001
final-ocr-on/c2,LayoutReadback,368,0.0018666989999999999
final-ocr-on/c2,LinkValidate,12,0.16278019599999996
final-ocr-on/c2,Ocr,111,637.9742534249999
final-ocr-on/c2,OcrDecode,6146,0.017351514
