timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/15 00:19:50.286, 1454, 29, 5, 60, 9.02, 285, 6001
2026/09/15 00:19:51.291, 1838, 11, 5, 61, 16.63, 1890, 8001
2026/09/15 00:19:52.291, 2397, 18, 7, 61, 17.34, 1890, 8001
2026/09/15 00:19:53.291, 3626, 99, 60, 67, 34.46, 2175, 8001
2026/09/15 00:19:54.291, 3623, 99, 58, 68, 39.14, 2190, 8001
2026/09/15 00:19:55.292, 3475, 99, 57, 69, 54.54, 2370, 8001
2026/09/15 00:19:56.292, 3476, 99, 57, 70, 53.33, 2175, 8001
2026/09/15 00:19:57.292, 3444, 99, 54, 69, 54.64, 2355, 8001
2026/09/15 00:19:58.293, 3443, 98, 58, 71, 55.29, 2235, 8001
2026/09/15 00:19:59.293, 3462, 99, 53, 69, 56.97, 2220, 8001
2026/09/15 00:20:00.293, 3462, 86, 29, 70, 46.56, 2505, 8001
2026/09/15 00:20:01.293, 3463, 100, 59, 70, 56.08, 1980, 8001
2026/09/15 00:20:02.294, 3462, 99, 54, 70, 54.50, 2100, 8001
2026/09/15 00:20:03.294, 3461, 99, 56, 71, 52.31, 2550, 8001
2026/09/15 00:20:04.294, 3443, 99, 53, 71, 50.20, 2160, 8001
2026/09/15 00:20:05.295, 3438, 87, 35, 72, 54.71, 2115, 8001
2026/09/15 00:20:06.295, 3438, 98, 59, 73, 48.88, 2355, 8001
2026/09/15 00:20:07.295, 3443, 99, 57, 74, 54.52, 2340, 8001
2026/09/15 00:20:08.296, 3443, 88, 32, 73, 52.13, 2130, 8001
2026/09/15 00:20:09.296, 3443, 99, 57, 73, 47.03, 2385, 8001
2026/09/15 00:20:10.296, 3444, 99, 54, 74, 54.55, 2250, 8001
2026/09/15 00:20:11.297, 3444, 99, 54, 72, 54.98, 2115, 8001
2026/09/15 00:20:12.297, 3437, 100, 53, 72, 55.12, 2130, 8001
2026/09/15 00:20:13.297, 3456, 11, 6, 70, 37.71, 2550, 8001
2026/09/15 00:20:14.297, 3456, 98, 58, 74, 46.10, 2370, 8001
2026/09/15 00:20:15.298, 3457, 99, 58, 75, 54.54, 2085, 8001
2026/09/15 00:20:16.298, 3456, 83, 33, 73, 53.88, 2250, 8001
2026/09/15 00:20:17.298, 3453, 99, 60, 75, 44.80, 2175, 8001
2026/09/15 00:20:18.299, 3441, 99, 58, 73, 54.96, 2205, 8001
2026/09/15 00:20:19.299, 3442, 91, 43, 75, 48.88, 2490, 8001
2026/09/15 00:20:20.299, 3436, 99, 56, 75, 50.27, 2130, 8001
2026/09/15 00:20:21.300, 3435, 33, 15, 72, 46.69, 2565, 8001
2026/09/15 00:20:22.300, 3441, 98, 57, 74, 53.44, 2325, 8001
2026/09/15 00:20:23.300, 3441, 99, 58, 74, 54.31, 2280, 8001
2026/09/15 00:20:24.300, 3442, 99, 53, 76, 54.92, 2160, 8001
2026/09/15 00:20:25.301, 3442, 65, 15, 74, 43.97, 2565, 8001
2026/09/15 00:20:26.301, 3488, 85, 28, 77, 53.56, 2430, 8001
2026/09/15 00:20:27.301, 3489, 79, 36, 73, 48.17, 2130, 8001
2026/09/15 00:20:28.302, 3517, 99, 53, 76, 54.91, 2295, 8001
2026/09/15 00:20:29.302, 3462, 64, 22, 75, 48.38, 2295, 8001
2026/09/15 00:20:30.302, 1478, 6, 4, 71, 29.92, 2565, 8001
