unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789402790.288682,1515810,1515808,,3.26171875,1,3420160,0,6,0
1789402791.2945998,1515810,1515808,93.4,1123.6015625,69,25264128,4096,44,2
1789402791.294706,1515844,1515810,,9.74609375,1,0,0,2,1
1789402791.2947667,1515846,1515810,,9.70703125,1,0,0,2,0
1789402791.2948225,1515848,1515810,,9.69140625,1,0,0,2,0
1789402791.2948813,1515850,1515810,,9.66015625,1,0,0,2,1
1789402791.294932,1515852,1515810,,9.84375,1,0,0,2,1
1789402792.3001857,1515810,1515808,78.6,1551.09765625,70,25264128,4096,88,4
1789402792.3002677,1515844,1515810,3.0,12.99609375,1,0,0,10,4
1789402792.300318,1515846,1515810,4.0,12.953125,1,0,0,10,9
1789402792.3003633,1515848,1515810,3.0,12.953125,1,0,0,10,5
1789402792.3004088,1515850,1515810,2.0,12.91015625,1,0,0,10,9
1789402792.3004525,1515852,1515810,3.0,13.09375,1,0,0,10,3
1789402793.3056326,1515810,1515808,118.4,1638.94140625,72,25333760,8192,125,5
1789402793.3057103,1515844,1515810,0.0,12.99609375,1,0,0,10,4
1789402793.3057578,1515846,1515810,3.0,12.953125,1,0,0,18,11
1789402793.3058043,1515848,1515810,0.0,12.953125,1,0,0,10,5
1789402793.3058457,1515850,1515810,0.0,12.91015625,1,0,0,10,9
1789402793.3058925,1515852,1515810,3.0,13.09375,1,0,0,18,3
1789402794.3162444,1515810,1515808,98.9,1737.69921875,72,25333760,8192,127,5
1789402794.3163996,1515844,1515810,0.0,12.99609375,1,0,0,10,4
1789402794.3165147,1515846,1515810,0.0,12.953125,1,0,0,18,11
1789402794.3166277,1515848,1515810,76.2,36.40234375,1,0,0,184,38
1789402794.3167367,1515850,1515810,57.4,21.91015625,1,0,0,143,41
1789402794.3168435,1515852,1515810,0.0,13.09375,1,0,0,18,3
1789402795.3218732,1515810,1515808,169.1,1820.3359375,73,25333760,8192,127,5
1789402795.3219492,1515844,1515810,0.0,12.99609375,1,0,0,10,4
1789402795.3219974,1515846,1515810,0.0,12.953125,1,0,0,18,11
1789402795.3220408,1515848,1515810,74.6,50.67578125,1,0,0,422,65
1789402795.3220828,1515850,1515810,16.9,21.91015625,1,0,0,157,86
1789402795.322122,1515852,1515810,0.0,13.09375,1,0,0,18,3
1789402796.3300276,1515810,1515808,174.6,1945.4765625,74,25333760,8192,127,5
1789402796.3301005,1515844,1515810,0.0,12.99609375,1,0,0,10,4
