timestamp,memory.used,utilization.gpu,utilization.memory,temperature.gpu,power.draw,clocks.sm,clocks.mem
2026/09/15 00:21:09.520, 1461, 72, 58, 59, 8.87, 345, 810
2026/09/15 00:21:10.532, 1853, 19, 6, 60, 11.18, 1890, 7001
2026/09/15 00:21:11.533, 2635, 54, 4, 60, 16.85, 1890, 8001
2026/09/15 00:21:12.533, 3597, 65, 33, 65, 30.52, 2355, 8001
2026/09/15 00:21:13.533, 3490, 100, 56, 66, 38.50, 2430, 8001
2026/09/15 00:21:14.533, 3487, 100, 55, 67, 55.27, 2205, 8001
2026/09/15 00:21:15.534, 3467, 99, 58, 68, 54.39, 2175, 8001
2026/09/15 00:21:16.534, 3462, 99, 59, 69, 55.53, 2235, 8001
2026/09/15 00:21:17.534, 3718, 99, 55, 68, 55.16, 2220, 8001
2026/09/15 00:21:18.535, 3708, 98, 58, 70, 49.48, 2400, 8001
2026/09/15 00:21:19.535, 4220, 90, 45, 68, 51.36, 2550, 8001
2026/09/15 00:21:20.535, 4218, 99, 57, 71, 50.96, 2250, 8001
2026/09/15 00:21:21.535, 4218, 100, 55, 70, 54.89, 2415, 8001
2026/09/15 00:21:22.536, 4218, 96, 56, 72, 49.61, 2130, 8001
2026/09/15 00:21:23.536, 4214, 94, 55, 71, 52.33, 2220, 8001
2026/09/15 00:21:24.536, 4214, 93, 54, 72, 52.68, 2370, 8001
2026/09/15 00:21:25.537, 4212, 98, 59, 72, 51.36, 2295, 8001
2026/09/15 00:21:26.537, 4219, 99, 59, 72, 54.77, 2190, 8001
2026/09/15 00:21:27.537, 4219, 62, 4, 72, 50.67, 2295, 8001
2026/09/15 00:21:28.538, 4220, 99, 58, 72, 46.39, 2175, 8001
2026/09/15 00:21:29.538, 4220, 98, 54, 74, 54.70, 2370, 8001
2026/09/15 00:21:30.538, 4218, 99, 56, 73, 54.60, 2220, 8001
2026/09/15 00:21:31.539, 4218, 98, 55, 74, 55.08, 2295, 8001
2026/09/15 00:21:32.539, 4215, 8, 4, 69, 35.60, 2565, 8001
2026/09/15 00:21:33.539, 4214, 99, 58, 73, 52.12, 2070, 8001
2026/09/15 00:21:34.540, 4213, 97, 59, 72, 54.32, 2100, 8001
2026/09/15 00:21:35.540, 4207, 85, 43, 73, 52.02, 2385, 8001
2026/09/15 00:21:36.540, 4207, 99, 60, 73, 45.87, 2085, 8001
2026/09/15 00:21:37.541, 4215, 71, 25, 73, 52.65, 2415, 8001
2026/09/15 00:21:38.541, 4215, 89, 47, 75, 52.43, 2385, 8001
2026/09/15 00:21:39.541, 4213, 63, 22, 72, 49.54, 2460, 8001
2026/09/15 00:21:40.542, 4213, 6, 4, 71, 42.23, 2565, 8001
2026/09/15 00:21:41.542, 4213, 99, 58, 73, 51.92, 2100, 8001
2026/09/15 00:21:42.542, 4213, 98, 54, 75, 54.59, 2325, 8001
2026/09/15 00:21:43.542, 4214, 98, 58, 77, 54.87, 2220, 8001
2026/09/15 00:21:44.543, 4214, 56, 17, 74, 49.41, 2565, 8001
2026/09/15 00:21:45.543, 4213, 67, 27, 76, 53.56, 2535, 8001
2026/09/15 00:21:46.543, 4226, 73, 44, 73, 38.91, 2430, 8001
2026/09/15 00:21:47.544, 4464, 99, 59, 74, 55.36, 2280, 8001
2026/09/15 00:21:48.544, 4410, 78, 25, 76, 47.65, 2175, 8001
2026/09/15 00:21:49.544, 1491, 10, 6, 71, 35.74, 2565, 8001
