unix_seconds,pid,parent_pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789402869.51276,1517363,1517361,,12.61328125,34,0,0,3,3
1789402870.5185924,1517363,1517361,98.4,1134.77734375,69,0,4096,11,3
1789402870.5186987,1517396,1517363,,9.83984375,1,0,0,3,0
1789402870.518758,1517399,1517363,,9.66015625,1,0,0,2,0
1789402870.5188134,1517401,1517363,,9.6484375,1,0,0,2,0
1789402870.51887,1517403,1517363,,9.76171875,1,0,0,2,0
1789402870.518921,1517405,1517363,,9.82421875,1,0,0,2,0
1789402871.5240169,1517363,1517361,84.5,1590.546875,72,0,4096,64,9
1789402871.5241065,1517396,1517363,4.0,13.08984375,1,0,0,11,2
1789402871.5241554,1517399,1517363,2.0,12.90625,1,0,0,10,4
1789402871.5242028,1517401,1517363,2.0,12.9453125,1,0,0,10,2
1789402871.5242434,1517403,1517363,3.0,13.07421875,1,0,0,10,3
1789402871.5242834,1517405,1517363,5.0,13.01171875,1,0,0,18,1
1789402872.5295167,1517363,1517361,114.4,1621.69140625,72,0,8192,94,10
1789402872.5295947,1517396,1517363,2.0,13.08984375,1,0,0,19,3
1789402872.5296404,1517399,1517363,1.0,13.390625,1,0,0,11,4
1789402872.5296829,1517401,1517363,0.0,13.16015625,1,0,0,11,3
1789402872.5297372,1517403,1517363,0.0,13.07421875,1,0,0,10,3
1789402872.529778,1517405,1517363,0.0,13.01171875,1,0,0,18,1
1789402873.5350251,1517363,1517361,101.4,1733.3515625,72,0,8192,94,10
1789402873.5350986,1517396,1517363,0.0,13.08984375,1,0,0,19,3
1789402873.5351455,1517399,1517363,81.6,37.43359375,1,0,0,198,25
1789402873.5351899,1517401,1517363,56.7,21.94140625,1,0,0,143,68
1789402873.5352306,1517403,1517363,0.0,13.07421875,1,0,0,10,3
1789402873.5352805,1517405,1517363,0.0,13.01171875,1,0,0,18,1
1789402874.541403,1517363,1517361,171.9,1808.58203125,73,0,8192,94,10
1789402874.5415146,1517396,1517363,0.0,13.08984375,1,0,0,19,3
