layout,stage,mean_calls_per_corpus,mean_cumulative_seconds_per_corpus
NCHW,pdf_open,20.0,0.012250000000000004
NCHW,text_extract,694.0,5.168200000000001
NCHW,document_context,20.0,0.06424999999999999
NCHW,pdf_render,694.0,12.3613
NCHW,layout_preprocess,694.0,12.12965
NCHW,layout_queue,694.0,47.68365000000003
NCHW,layout_inference,694.0,222.23320000000007
NCHW,layout_readback,694.0,0.045899999999999996
NCHW,layout_postprocess,694.0,0.0061499999999999975
NCHW,text_prepare,694.0,0.04819999999999998
NCHW,text_finish,1388.0,15.492600000000003
NCHW,tsr_preprocess,174.0,0.12810000000000002
NCHW,tsr_queue,334.0,35.0779
NCHW,tsr_inference,174.0,96.2445
NCHW,tsr_postprocess,174.0,0.0033
NCHW,table_cell_preprocess,160.0,1.1553500000000003
NCHW,table_cell_inference,160.0,23.001049999999992
NCHW,table_cell_postprocess,160.0,0.029600000000000005
NCHW,table_external,160.0,155.68435000000002
NCHW,table_fill,160.0,0.26489999999999997
NCHW,link_validate,20.0,0.21535000000000004
NCHW,parse_total,20.0,377.4739499999999
NCHW,result_serialize,20.0,2.4728499999999998
NCHW,worker_total,20.0,380.05289999985683
NHWC,pdf_open,20.0,0.009350000000000004
NHWC,text_extract,694.0,5.129449999999999
NHWC,document_context,20.0,0.06285000000000002
NHWC,pdf_render,694.0,12.00515
NHWC,layout_preprocess,694.0,11.134000000000002
NHWC,layout_queue,694.0,48.03680000000001
NHWC,layout_inference,694.0,170.39600000000002
NHWC,layout_readback,694.0,0.038950000000000005
NHWC,layout_postprocess,694.0,0.0051
NHWC,text_prepare,694.0,0.03575
NHWC,text_finish,1388.0,14.06505
NHWC,tsr_preprocess,174.0,0.12215
NHWC,tsr_queue,334.0,27.176300000000005
NHWC,tsr_inference,174.0,95.82715
NHWC,tsr_postprocess,174.0,0.0037
NHWC,table_cell_preprocess,160.0,1.1269
NHWC,table_cell_inference,160.0,19.93995
NHWC,table_cell_postprocess,160.0,0.026550000000000008
NHWC,table_external,160.0,144.26344999999992
NHWC,table_fill,160.0,0.23130000000000003
NHWC,link_validate,20.0,0.18420000000000003
NHWC,parse_total,20.0,319.5262
NHWC,result_serialize,20.0,2.337149999999999
NHWC,worker_total,20.0,321.9543000000119
